subject_id,workflow_id,task,data.value
82941746,17772,T43,
82941746,17772,T49,
82941746,17772,T55,
82941746,17772,T61,
82941746,17772,T67,
82941746,17772,T73,
82941746,17772,T79,
82941750,17772,T1,[{'2ff4544f62747': 1}]
82941750,17772,T7,[{'03993d432fa92': 1}]
82941750,17772,T13,[{'2b395fc4e7a': 1}]
82941750,17772,T19,[{'cb229a1ba0adb': 1}]
82941750,17772,T25,[{'5cf2b8800b176': 1}]
82941750,17772,T31,[{'bbf6b4711270f': 1}]
82941750,17772,T37,[{'414e475f23745': 1}]
82941750,17772,T43,
82941750,17772,T49,
82941750,17772,T55,
82941750,17772,T61,
82941750,17772,T67,
82941750,17772,T73,
82941750,17772,T79,
82941752,17772,T1,
82941752,17772,T7,
82941752,17772,T13,
82941752,17772,T19,
82941752,17772,T25,
82941752,17772,T31,
82941752,17772,T37,
82941752,17772,T43,
82941752,17772,T49,
82941752,17772,T55,
82941752,17772,T61,
82941752,17772,T67,
82941752,17772,T73,
82941752,17772,T79,
82941850,17772,T1,[{'7df24e749bb17': 2}]
82941850,17772,T7,[{'49ee5b7efe63c': 2}]
82941850,17772,T13,[{'c519ea1bfda8f': 2}]
82941850,17772,T19,[{'85b813dec57b6': 2}]
82941850,17772,T25,
82941850,17772,T31,
82941850,17772,T37,
82941850,17772,T43,
82941850,17772,T49,
82941850,17772,T55,
82941850,17772,T61,
82941850,17772,T67,
82941850,17772,T73,
82941850,17772,T79,
82941851,17772,T1,
82941851,17772,T7,
82941851,17772,T13,
82941851,17772,T19,
82941851,17772,T25,
82941851,17772,T31,
82941851,17772,T37,
82941851,17772,T43,
82941851,17772,T49,
82941851,17772,T55,
82941851,17772,T61,
82941851,17772,T67,
82941851,17772,T73,
82941851,17772,T79,
82941852,17772,T1,[{'15f66d4ae7efe': 1}]
82941852,17772,T7,[{'bf6c2bf09f513': 1}]
82941852,17772,T13,
82941852,17772,T19,
82941852,17772,T25,
82941852,17772,T31,
82941852,17772,T37,
82941852,17772,T43,
82941852,17772,T49,
82941852,17772,T55,
82941852,17772,T61,
82941852,17772,T67,
82941852,17772,T73,
82941852,17772,T79,
82941853,17772,T1,
82941853,17772,T7,
82941853,17772,T13,
82941853,17772,T19,
82941853,17772,T25,
82941853,17772,T31,
82941853,17772,T37,
82941853,17772,T43,
82941853,17772,T49,
82941853,17772,T55,
82941853,17772,T61,
82941853,17772,T67,
82941853,17772,T73,
82941853,17772,T79,
82941854,17772,T1,
82941854,17772,T7,
82941854,17772,T13,
82941854,17772,T19,
82941854,17772,T25,
82941854,17772,T31,
82941854,17772,T37,
82941854,17772,T43,
82941854,17772,T49,
82941854,17772,T55,
82941854,17772,T61,
82941854,17772,T67,
82941854,17772,T73,
82941854,17772,T79,
82941855,17772,T1,[{'2ff4544f62747': 1}]
82941855,17772,T7,[{'03993d432fa92': 1}]
82941855,17772,T13,[{'2b395fc4e7a': 1}]
82941855,17772,T19,[{'cb229a1ba0adb': 1}]
82941855,17772,T25,[{'5cf2b8800b176': 1}]
82941855,17772,T31,[{'bbf6b4711270f': 1}]
82941855,17772,T37,[{'414e475f23745': 1}]
82941855,17772,T43,
82941855,17772,T49,
82941855,17772,T55,
82941855,17772,T61,
82941855,17772,T67,
82941855,17772,T73,
82941855,17772,T79,
82941856,17772,T1,
82941856,17772,T7,
82941856,17772,T13,
82941856,17772,T19,
82941856,17772,T25,
82941856,17772,T31,
82941856,17772,T37,
82941856,17772,T43,
82941856,17772,T49,
82941856,17772,T55,
82941856,17772,T61,
82941856,17772,T67,
82941856,17772,T73,
82941856,17772,T79,
82941858,17772,T1,[{'f8b7b8eb6ec54': 2}]
82941858,17772,T7,[{'bf7e0bd7c1939': 2}]
82941858,17772,T13,[{'c519ea1bfda8f': 2}]
82941858,17772,T19,[{'85b813dec57b6': 2}]
82941858,17772,T25,[{'d0466fadfa1b7': 2}]
82941858,17772,T31,[{'a240dcfa867b1': 2}]
82941858,17772,T37,[{'c53862bdedd15': 2}]
82941858,17772,T43,
82941858,17772,T49,
82941858,17772,T55,
82941858,17772,T61,
82941858,17772,T67,
82941858,17772,T73,
82941858,17772,T79,
