,subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,URL_front,URL_back,column_name,min,max,text,review,
14,63264820,T13,"[['55', '55', '55', '55'], ['(0-20', '(0-20', '(0-20', '(0-20'], ['feet)', 'feet)', 'feet)', 'feet)']]",4,4,55 (0-20 feet),https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Keweenaw_Medora_SUMM_030.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Keweenaw_Medora_SUMM_031.jpg,Percent shoal,55,,pct,Yes,
15,63264871,T13,"[['30?', '30?', '30?', '30?']]",4,4,30?,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Elk7N_11E_S10_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Elk7N_11E_S10_SUMM_005.jpg,Percent shoal,30,,pct,Yes,
16,63264890,T13,"[['10', '10', '10', '10%'], ['', 'apo.', 'apo.', '']]",4,2.5,10 apo.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Livingston_Chemung_47-252_1956_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Livingston_Chemung_47-252_1956_SUMM_001_02.jpg,Percent shoal,10,,pct,Yes,
17,63264899,T13,"[['15', '15', '15', '15'], ['acres', 'acres', 'acres', 'acres'], ['(approx)', '(approx.)', '(approx.)', '(approx)']]",4,3.333333333,15 acres (approx),https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Bass_SUMM_003_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Bass_SUMM_004_B.jpg,Percent shoal,19.5,,pct,Yes,
18,63264906,T13,"[['25', '25', '25', '25'], ['to', 'to', 'to', 'to'], ['35%', '35%', '35', '35%'], ['', '', '%', '']]",4,3,25 to 35% %,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_LittlePike_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_LittlePike_SUMM_001_B.jpg,Percent shoal,25,35,pct,Yes,
19,63264921,T13,"[['15', '15', '15'], ['acres', 'acres', 'acres'], ['(approx)', '(approx.)', '(approx.)']]",3,2.666666667,15 acres (approx.),https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_Bass2_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_Bass2_SUMM_001_B.jpg,Percent shoal,19.5,,pct,Yes,
20,63264926,T13,"[['1st', '1st', '', '1st'], ['-', '-', '', '-'], ['100;', '100;', '1st-100;', '100;'], ['2nd', '2nd', '2nd-95;', '2nd'], ['-', '-', '', '-'], ['96;', '95;', '', '95;'], ['3rd', '3rd', '3rd-35', '3rd'], ['-', '-', '', '-'], ['35', '35', '', '35']]",4,2.888888889,1st - 100; 2nd - 95; 3rd - 35,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_ChainOfLakes_SUMM_20191127133626518_0011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_ChainOfLakes_SUMM_20191127133626518_0012.jpg,Percent shoal,100,,pct,Yes,three lakes on one card
21,63264935,T13,"[['19.7%', '19.7%', '19.7%', '19.7%']]",4,4,19.70%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Menominee_LakeAnn_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Menominee_LakeAnn_SUMM_001_B.jpg,Percent shoal,19.7,,pct,Yes,
22,63264936,T13,"[['76.1', '76.1%', '76.1%', '76.1%'], ['%', '', '', ''], ['10', '10', '10', '10'], ['ft', 'ft.', 'ft', 'ft.'], ['contour', 'contour.', 'contour', 'contour.']]",4,2.4,76.1% % 10 ft contour,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Menominee_Dawn_SUMM_20191204120909155_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Menominee_Dawn_SUMM_20191204120909155_0002.jpg,Percent shoal,76.1,,pct,Yes,
23,63264938,T13,"[['34.0%', '34.0%', '34.0%', '34.0%']]",4,4,34.00%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Menominee_Linnbeck_SUMM_20191204122632435_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Menominee_Linnbeck_SUMM_20191204122632435_0002.jpg,Percent shoal,34,,pct,Yes,
