,subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,URL_front,URL_back,column_name,min,max,text,review,
60,63265892,T13,"[['20', '20', '20', '20'], ['to', 'to', 'to', 'to'], ['25%', '25%', '25%', '25%']]",4,4,20 to 25%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Island_SUMM_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Island_SUMM_003.jpeg,Percent shoal,20,25,pct,Yes,
61,63265896,T13,"[['16', '15', '15', '15'], ['to', 'to', 'to', 'to'], ['20', '20', '20', '20%'], ['per', 'per', 'per', ''], ['cent', 'cent', 'cent', '']]",4,3.2,15 to 20 per cent,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Gulliver_SUMM_290.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Gulliver_SUMM_289.jpeg,Percent shoal,15,20,pct,Yes,
62,63265907,T13,"[['42.8%', '42.8%', '42.8%', '42.8%']]",4,4,42.80%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Cusino_SUMM_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Cusino_SUMM_001.jpeg,Percent shoal,42.8,,pct,Yes,
63,63265925,T13,"[['15', '15', '15', ''], ['a.', 'a.', 'a.', ''], ['50%', '', '50%', '50%']]",4,3,15 a. 50%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Bluegill_SUMM_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Bluegill_SUMM_019.jpeg,Percent shoal,50,,pct,Yes,
64,63265929,T13,"[['', '2.5', '2.5-2.7', '2.5'], ['', '-', '-', '-'], ['', '2.7', '', '2.7'], ['', '', '', '-'], ['2.5-2.7-estimate', 'estimate', 'estimate', 'estimate']]",4,2.2,2.5 - 2.7 - estimate,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Ashford_SUMM_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Ashford_SUMM_011.jpeg,Percent shoal,2.5,2.7,pct,Yes,
65,63265961,T13,"[['10', '10', '10', '10'], ['to', 'to', 'to', 'to'], ['15', '15', '15', '15']]",4,4,10 to 15,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Chub_SUMM_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Chub_SUMM_005.jpeg,Percent shoal,10,15,pct,Yes,
66,63265975,T13,"[['(20', ""(20')"", ""(20')"", '(20'], ['feet)', '', '', 'feet)'], ['41.2%', '41.2%', '41.2%', '41.2%']]",4,2.666666667,(20 feet) 41.2%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Alcona_Crystal_SUMM_Doc0482.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Alcona_Crystal_SUMM_Doc0481.jpg,Percent shoal,41.2,,pct,Yes,
67,63265986,T13,"[['shore', 'shore', 'shore', 'shore'], ['10', '10', '10', '10'], ['to', 'to', 'to', 'to'], ['', '15%', '15%', '15%'], ['15%(approx.)', '(approx.)', '(approx)', '(approx.)']]",4,3.4,shore 10 to 15% (approx.),https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/CALHOUN_WARNER_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/CALHOUN_WARNER_SUMM_0002_2.jpeg,Percent shoal,10,15,pct,Yes,
68,63265987,T13,"[['shore', 'shore', 'shore', ''], ['10', '10', '10', '10'], ['to', 'to', 'to', 'to'], ['15@', '15%', '15%', '15%'], ['(approx)', '(approx.)', '(approx.)', '']]",4,3.2,shore 10 to 15% (approx.),https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/CALHOUN_WARNER_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/CALHOUN_WARNER_SUMM_0001_2.jpeg,Percent shoal,10,15,pct,Yes,
69,63266033,T13,"[['10', '10', '10', '10%'], ['est.', 'est.', 'est.', 'est']]",4,3,10 est.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/MONTCALM_RAMUSSEN_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/MONTCALM_RAMUSSEN_SUMM_0001_2.jpeg,Percent shoal,10,,pct,Yes,
70,63266041,T13,"[['100', '100%', '100', '100%'], ['(75%', '(75%', '(75%', '(75%'], ['to', 'to', 'to', 'to'], [""6'"", ""6'"", ""6'"", '6'], ['', '', '', 'feet'], ['contour)/', 'contour)', 'contour)', 'contour)']]",4,2.833333333,100 (75% to 6' feet contour),https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_ARGO_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_ARGO_SUMM_0001_2.jpeg,Percent shoal,100,,pct,Yes,
71,63266052,T13,"[['100', '100', '100', '100'], ['J.', 'J.', 'J.', 'J.'], ['L.', 'L.', 'L.', 'L.'], ['F.', 'F.', 'F.', 'F.']]",4,4,100 j. l. f.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_GEDDES_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_GEDDES_SUMM_0002_2.jpeg,Percent shoal,100,,pct,Yes,
72,63266059,T13,"[['100', '100', '100', '100%'], ['', '', '', '-'], ['60%', '60%', '60%', '60%'], ['to', 'to', 'to', 'to'], ['6', '6', '6', ""6'""], ['ft', 'ft.', 'ft.', ''], ['contour', 'contour', 'contour', 'contour'], ['JLF', '', 'JLF', 'J.L.F.']]",4,2.875,100 - 60% to 6 ft. contour jlf,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_PAPERMILL_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_PAPERMILL_SUMM_0001_2.jpeg,Percent shoal,100,60,pct,Yes,
73,63266068,T13,"[['100', '100%', '100', '100'], ['30%', '30%', '30%', '30%'], ['to', 'to', 'to', 'to'], [""5'"", ""5'"", ""5'"", '5'], ['', '', '', 'ft.'], ['contour', 'contour', 'contour', 'contour'], ['(JLF)', '(JLF)', '', '(JLF)']]",4,3.142857143,100 30% to 5' ft. contour (jlf),https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WAYNE_FLATROCK_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WAYNE_FLATROCK_SUMM_0001_2.jpeg,Percent shoal,100,,pct,Yes,
