subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,location_min,location_max,units,thermo_temp_top,thermo_temp_bottom,units,comments,URL_front,URL_back,column_name
63264367,T17,"[['15-24', '15', '15-24', '15-24'], ['', '-', '', ''], ['', '24', '', ''], ['feet', 'ft.', 'ft.', 'feet']]",4,1.75,15-24 - 24 feet,15,24,feet,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_SUMM_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_SUMM_028.jpg,Thermocline_location
63264377,T17,"[['', '', '', '6'], ['', '', '', '-'], ['6-15', '6-15', '6-15', '15']]",4,1.666666667,6/6/15,6,15,feet,73,55,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Frenchman's_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Frenchman's_032.jpg,Thermocline_location
63264381,T16,[['None']],1,1,None,no,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_McNearney_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_McNearney_007.jpg,Thermocline_Present
63264382,T17,"[['17-27', '17-27’', ""17-27'"", '17-27'], [""'"", '', '', 'feet']]",4,1.5,17-27 ',17,27,feet,65,53,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Monacle_019.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Monacle_020.jpg,Thermocline_location
63264386,T17,"[['15-17', '15-17', '15', '15-17'], ['', '', '-', ''], ['', '', '17', '']]",4,1.666666667,15-17 - 17,15,17,feet,73.5,64.5,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Soldier_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Soldier_018.jpg,Thermocline_location
63264391,T16,[['yes']],1,1,yes,yes,40,feet,55.9,45,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Arnold19N_4W_S2-3_SUMM_016.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Arnold19N_4W_S2-3_SUMM_017.jpg,Thermocline_Present
63264391,T17,"[[""32-40'"", '32', '32-40', '32-40'], ['', '-', '', 'feet'], ['', ""40'"", '', '']]",4,1.333333333,32-40 - 40',32,40,feet,55.9,45,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Arnold19N_4W_S2-3_SUMM_016.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Arnold19N_4W_S2-3_SUMM_017.jpg,Thermocline_location
63264396,T17,"[['15-35', '15-35', '15', ""15-35'""], ['', '', '-', ''], ['', '', '35', ''], ['feet', 'ft', 'feet', '']]",4,1.5,15-35 - 35 feet,15,35,feet,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Crooked_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Crooked_SUMM_001_02.jpg,Thermocline_location
63264397,T17,"[['15', ""15-35'"", '15-35', '15-35'], ['-', '', '', ''], ['35', '', '', ''], ['feet', '', 'feet', 'feet']]",4,1.75,15-35 - 35 feet,15,35,feet,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Crooked_SUMM_029.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Crooked_SUMM_030.jpg,Thermocline_location
63264399,T16,[['?']],1,1,?,NA,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_EightPoint_SUMM_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_EightPoint_SUMM_015.jpg,Thermocline_Present
63264399,T17,[['-']],1,1,-,NA,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_EightPoint_SUMM_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_EightPoint_SUMM_015.jpg,Thermocline_location
63264403,T17,"[['', '6', '', ''], ['', '-', '', ''], ['6-15', '15', '6-15', '6-15'], ['ft', 'ft', 'ft.', 'ft.']]",4,1.75,6 - 6-15 ft,6,15,feet,69,42.4,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_GreenPine_SUMM_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_GreenPine_SUMM_015.jpg,Thermocline_location
63264407,T16,[['-']],1,1,-,no,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Lily_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Lily_SUMM_008.jpg,Thermocline_Present
63264413,T17,"[['15', '15-30', '15', ""15-30'""], ['ft', '', 'ft.', ''], ['to', '', 'to', ''], ['30', '', '30ft.', ''], ['ft', 'ft', '', '']]",4,1.6,15 ft to 30 ft,15,30,feet,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clinton_Burke_037.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clinton_Burke_038.jpg,Thermocline_location
63264414,T17,"[['10', '10-25', '10-25', ""10-25'""], ['-', '', '', ''], ['25', '', '', ''], ['ft.', 'ft.', 'ft.', '']]",4,1.75,10-25 - 25 ft.,10,25,feet,71,52,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Shingle_SUMM_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Shingle_SUMM_016.jpg,Thermocline_location
63264422,T16,[['Yes']],1,1,Yes,yes,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Crawford_Margrethe_SUMM_028.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Crawford_Margrethe_SUMM_029.jpg,Thermocline_Present
63264426,T17,"[['15-25', '15', ""15-25'"", '15-25'], ['', '-', '', ''], ['', '25', '', ''], ['ft.', 'ft.', '', 'feet']]",4,1.5,15-25 - 25 ft.,15,25,feet,19.7,9.9,C,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Cedar_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Cedar_SUMM_007.jpg,Thermocline_location
63264438,T16,"[['[20]', '', 'yes', 'yes'], ['12', '12', '', ''], ['to', 'to', '', ''], ['8', '8', '', ''], ['ft.', 'ft', '', '']]",4,1.8,yes 12 to 8 ft.,yes,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Trout_SUMM_032.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Trout_SUMM_033.jpg,Thermocline_Present
63264448,T17,"[[""9'"", ""9-15'"", ""9'-15'"", ""9'-15'""], ['-', '', '', ''], [""15'"", '', '', '']]",4,1.333333333,9'-15' - 15',9,15,feet,72,57,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_BeatonsLittle_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_BeatonsLittle_SUMM_006.jpg,Thermocline_location
63264449,T17,"[['54'], ['at'], ['19'], ['feet']]",1,1,54 at 19 feet,19,19,feet,54,54,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Chaney_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Chaney_SUMM_008.jpg,Thermocline_location
63264452,T17,"[[""5-10'"", ""5-10'"", '5', '5-10'], ['', '', '-', 'feet'], ['', '', ""10'"", '']]",4,1.333333333,5-10' - 10',5,10,feet,66.7,59.9,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Bluebell_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Bluebell_SUMM_005.jpg,Thermocline_location
63264453,T17,"[['5', ""5-20'"", ""5-20'"", '5-20'], ['-', '', '', 'feet'], ['20’', '', '', '']]",4,1.333333333,5-20' - 20’,5,20,feet,70.5,50.7,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Castle_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Castle_SUMM_004.jpg,Thermocline_location
63264456,T17,"[['7-13’', ""7-13'"", '7-13', ""7-13'""], ['', '', 'feet', '']]",4,1.5,7-13' feet,7,13,feet,61.8,48,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Cloverleaf_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Cloverleaf_SUMM_007.jpg,Thermocline_location
63264458,T17,"[['5', '5', ""5-10'"", '5-10'], ['-', '-', '', ''], ['10', ""10'"", '', ''], ['ft.', '', '', 'feet']]",4,1.5,5 - 10 ft.,5,10,feet,73,62.2,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Cornelia_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Cornelia_SUMM_008.jpg,Thermocline_location
63264479,T17,"[['6', ""6-18'"", '6-18', '6-18'], ['-', '', '', ''], ['18', '', '', ''], ['ft.', '', 'ft.', 'ft.']]",4,1.75,6-18 - 18 ft.,6,18,feet,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Gogebic_SUMM_044.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Gogebic_SUMM_045.jpg,Thermocline_location
