subject_id,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,URL_front,URL_back,column_name,min,max,units,
63265449,"[['', '', '', '(less'], ['', '', '', 'than'], ['', '', '', '20'], ['', '', '', 'ft.)'], ['44%', '44%', '44%', '44%']]",4,1.6,(less than 20 ft.) 44%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Leelanau_LeelanauSouth)_SUMM_076.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Leelanau_LeelanauSouth)_SUMM_077.jpg,Percent shoal,44,,pct,
63265450,"[['(less', '', '', ''], ['than', '', '', ''], [""20')"", '', '', ''], ['35%', '35%', '35%', '35%']]",4,1.75,(less than 20') 35%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Leelanau_LeelanauLake)_SUMM_047.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Leelanau_LeelanauLake)_SUMM_048.jpg,Percent shoal,35,,pct,
63265468,"[[""40'""], ['reported']]",1,1,40' reported,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Livingston_Buck_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Livingston_Buck_SUMM_003.jpg,Percent shoal,NA,,pct,
63265473,"[['25%', '25', '25%', '25%'], ['', '%', '', '']]",4,2,25% %,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Livingston_HalfMoon_SUMM_001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Livingston_HalfMoon_SUMM_002.jpg,Percent shoal,25,,pct,
63265509,"[['80', '80%', '80%', '80']]",4,2,80,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Luce_Hamilton_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Luce_Hamilton_SUMM_004.jpg,Percent shoal,80,,pct,
63265516,"[['20', '20', '20%', '20%']]",4,2,20,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Luce_Long49N_11W_S34_SUMM_016.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Luce_Long49N_11W_S34_SUMM_017.jpg,Percent shoal,20,,pct,
63265543,"[['100', '100%', '100%', '100%'], ['%', '', '', '']]",4,2,100% %,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mackinac_BayCity_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mackinac_BayCity_SUMM_008.jpg,Percent shoal,100,,pct,
63265554,"[['38.71%', '38', '38.71%', '38.7%'], ['', '71%', '', '']]",4,1.5,38.71% 71%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Airport_SUMM_037.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Airport_SUMM_038.jpg,Percent shoal,38.71,,pct,
63265563,"[['90', '90', '90%', '90%']]",4,2,90,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Bass45N_25W_S36_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Bass45N_25W_S36_SUMM_005.jpg,Percent shoal,90,,pct,
63265573,"[['1st', '1st-100;2nd-95;3rd-35', '1st-100%;', '1st-100;'], ['-', '', '2nd-95%;', '2nd-95;'], ['100;', '', '', '3'], ['2nd', '', '3rd-35%', 'rd-35'], ['-', '', '', ''], ['95;', '', '', ''], ['3rd', '', '', ''], ['-', '', '', ''], ['35', '', '', '']]",4,1,1st - 100; 2nd - 95; 3rd - 35,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Chainofs_SUMM_012.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Chainofs_SUMM_013.jpg,Percent shoal,100,,pct,three lakes on one card
