subject_id,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,min,max,units,notes,URL_front,URL_back,column_name
63264942,"[['110-163', '110', '110-163', '110-163'], ['', '-', '', ''], ['', '163', '', '']]",4,1.666666667,110-163 - 163,110,163,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Newaygo_Sylvan_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Newaygo_Sylvan_SUMM_001_B.jpg,Methyl Orange Alk Range
63264946,"[['220', '220-270', '220-270', '220-270'], ['-', '', '', ''], ['270', '', '', '']]",4,1.666666667,220-270 - 270,220,270,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Oakland_BigSeven_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Oakland_BigSeven_SUMM_001_B.jpg,Methyl Orange Alk Range
63264947,"[['84-93', '84', '84-93', '64-93'], ['', '-', '', ''], ['', '93', '', ''], ['ppm', 'ppm', 'ppm.', 'ppm']]",4,1.75,84-93 - 93 ppm,84,93,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Oakland_Deep_SUMM_20191211145550015_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Oakland_Deep_SUMM_20191211145550015_0002.jpg,Methyl Orange Alk Range
63264950,"[['146', '146-173', '146-173', '146-173'], ['-', '', '', ''], ['173', '', '', '']]",4,1.666666667,146-173 - 173,146,173,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Oakland_LowerPettibone_63-564_1952_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Oakland_LowerPettibone_63-564_1952_SUMM_001_02.jpg,Methyl Orange Alk Range
63264961,"[['125-132', '125-132', '125', '125-132'], ['', '', '-', ''], ['', '', '132', '']]",4,1.666666667,125-132 - 132,125,132,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OCEANA_SILVER_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OCEANA_SILVER_SUMM_0001_2.jpg,Methyl Orange Alk Range
63264963,"[['74', '74-90', '74-90', '74-90'], ['-', '', '', ''], ['90', '', '', '']]",4,1.666666667,74-90 - 90,74,90,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OCEANA_PEBAWMA_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OCEANA_PEBAWMA_SUMM_0001_2.jpg,Methyl Orange Alk Range
63264967,"[['170', '170-220', '170', '170-220'], ['-', '', '-', ''], ['220', '', '120', '']]",4,1.666666667,170 - 220,170,220,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Oakland_UpperProud_63-278_1971_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Oakland_UpperProud_63-278_1971_SUMM_001_02.jpg,Methyl Orange Alk Range
63264973,"[['164-183', '164-183', '164-183ppm', '164'], ['', '', '', '-'], ['', '', '', '183'], ['ppm.', 'ppm', '', 'ppm']]",4,1.5,164-183 - 183 ppm,164,183,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_DEVOE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_DEVOE_SUMM_0001_2.jpeg,Methyl Orange Alk Range
63264975,"[['108-111', '108-111', '108-111', '108'], ['', '', '', '-'], ['', '', '', '111']]",4,1.666666667,108-111 - 111,108,111,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_HORSESHOE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_HORSESHOE_SUMM_0001_2.jpeg,Methyl Orange Alk Range
63264984,"[['88-94', '88', '88-94', '84-94'], ['', '-', '', ''], ['', '94', '', ''], ['ppm', 'ppm', 'ppm.', 'ppm']]",4,1.75,88-94 - 94 ppm,88,94,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0001_2.jpeg,Methyl Orange Alk Range
