subject_id,new_key,lakename,county,url_front,url_back,comments,
59071192,52-611,PERCH,MARQUETTE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Perch45N_30W_S4_SUMM_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Perch45N_30W_S4_SUMM_016.jpg,,
59070815,8-192,PINE,BARRY,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_PINE1N10W5678_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_PINE1N10W5678_SUMM_0001_2.jpeg,,
59070816,8-348,PINE,BARRY,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_PINE2N9WSEC8_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_PINE2N9WSEC8_SUMM_0001_2.jpeg,,
59070820,8-348,PINE,BARRY,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_PINE2N9WSEC8_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_PINE2N9WSEC8_SUMM_0002_2.jpeg,,
58687716,38-26,PONDLILY,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Jackson_PondLily1S_2E_S32_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Jackson_PondLily1S_2E_S32_SUMM_006.jpg,,
58687717,38-119,PONDLILY,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Jackson_PondLily2S_2E_S12_SUMM_016.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Jackson_PondLily2S_2E_S12_SUMM_017.jpg,,
59071197,52-412,ROUND,MARQUETTE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Round45N_28W_S6_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Round45N_28W_S6_SUMM_007.jpg,,
59071198,52-1375,ROUND,MARQUETTE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Round45N_29W_S16_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Round45N_29W_S16_SUMM_006.jpg,,
58687568,28-148,SANDS,GRANDTRAVERSE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Sands_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Sands_SUMM_006.jpg,,
58687569,28-152,SANDS,GRANDTRAVERSE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Sands_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Sands_SUMM_010.jpg,,
59071201,52-636,SECTIONFOURTEEN,MARQUETTE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Section14_SUMM_012.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Section14_SUMM_013.jpg,,
