subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,URL_front,URL_back,comments
58746163,T10,"[['427', '427mm', '427mm', '427'], ['mm', '', '', ''], ['(16.8)', '(16.8in)', '', '']]",4,1.333333333,427 mm (16.8),427,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Stueben_GROW_060.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Stueben_GROW_059.jpeg,mm
58746163,T15,"[['448', '448mm', '448mm', '448'], ['mm', '', '', '']]",4,1.5,448 mm,448,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Stueben_GROW_060.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Stueben_GROW_059.jpeg,mm
58746163,T16,"[['448', '448mm', '448mm', '448'], ['mm', '', '', ''], ['(17.6)', '(17.6in)', '', '']]",4,1.333333333,448 mm (17.6),448,Third row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Stueben_GROW_060.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Stueben_GROW_059.jpeg,mm
58746236,T3,"[['...', '.', '...'], ['', '.', ''], ['', '.', '']]",3,1.333333333,... . .,11.3,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_226.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_225.jpeg,
58746250,T3,"[['.', '18.4-20.5', '18.4-20.5', '18.4-20.5'], ['.', '', '', ''], ['.', '', '', '']]",4,1.666666667,18.4-20.5 . .,18.4-20.5,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_140.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_139.jpeg,
58746250,T20,[['1']],1,1,1,1,Fourth row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_140.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_139.jpeg,
58746250,T21,[['...']],1,1,...,25.1,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_140.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_139.jpeg,
58746250,T22,[['25.1']],1,1,25.1,25.1,Fourth row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_140.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_139.jpeg,
58746255,T4,"[['18.5', '18.5', '18.5'], ['', '', '(2#1.0'], ['', '', 'oz.)']]",3,1.666666667,18.5 (2#1.0 oz.),18.5,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_110.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_109.jpeg,
58746258,T2,[['1']],1,1,1,1,First row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_072.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_071.jpeg,
58746258,T4,[['26.7']],1,1,26.7,26.7,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_072.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_071.jpeg,
58746342,T3,"[['.', '9.7'], ['.', ''], ['.', '']]",2,1,. . .,9.7,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_StHelens_GROW_044.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_StHelens_GROW_043.jpeg,
58746342,T9,"[['.', '14.8'], ['.', ''], ['.', '']]",2,1,. . .,14.8,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_StHelens_GROW_044.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_StHelens_GROW_043.jpeg,
58746342,T33,"[['.', '25.7'], ['.', ''], ['.', '']]",2,1,. . .,25.7,6th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_StHelens_GROW_044.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_StHelens_GROW_043.jpeg,
