subject_id,URL 4,URL 8,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T93,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T94,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T98,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T99,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T100,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T104,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T105,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T106,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T110,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T111,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T112,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T116,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T117,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T118,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T122,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T123,,,,,
72066930,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg,,T124,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T2,"[['1', '1', '1']]",3.0,3.0,1,"[1325481.0, 2017299.0, 1484814.0]"
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T3,"[['26.9', '26.9', '26.9']]",3.0,3.0,26.9,"[1325481.0, 2017299.0, 1484814.0]"
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T4,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T8,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T9,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T10,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T14,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T15,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T16,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T20,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T21,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T22,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T26,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T27,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T28,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T32,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T33,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T34,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T38,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T39,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T40,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T44,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T45,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T46,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T50,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T51,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T52,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T56,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T57,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T58,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T62,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T63,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T64,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T68,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T69,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T70,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T74,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T75,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T76,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T80,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T81,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T82,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T86,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T87,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T88,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T92,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T93,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T94,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T98,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T99,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T100,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T104,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T105,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T106,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T110,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T111,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T112,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T116,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T117,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T118,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T122,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T123,,,,,
72066931,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T124,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T2,"[['2', '2']]",2.0,2.0,2,"[1325481.0, 2017299.0]"
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T3,"[['787', '787']]",2.0,2.0,787,"[1325481.0, 2017299.0]"
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T4,"[['787', '787']]",2.0,2.0,787,"[1325481.0, 2017299.0]"
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T8,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T9,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T10,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T14,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T15,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T16,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T20,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T21,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T22,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T26,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T27,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T28,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T32,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T33,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T34,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T38,,,,,
72066932,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,,T39,,,,,
