subject_id,begin_date_day,begin_date_month,begin_date_year,end_date_day,end_date_month,end_date_year,review,URL_front,URL_back,comment
58746541,11,September,1962,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_LittleBear_GROW_066.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_LittleBear_GROW_065.jpeg,
58746542,14,June,1975,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Manuka_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Manuka_GROW_015.jpeg,
58746545,18,June,1970,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_LittleBear_GROW_050.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_LittleBear_GROW_049.jpeg,
58746548,6,October,1964,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_LittleBear_GROW_044.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_LittleBear_GROW_043.jpeg,
58746554,17,October,1979,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Heart_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Heart_GROW_015.jpeg,
58746555,30,August,1974,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Heart_GROW_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Heart_GROW_031.jpeg,
58746584,18,June,1981,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Dixon_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Dixon_GROW_015.jpeg,
58746596,27,October,1981,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bridge_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bridge_GROW_011.jpeg,
58746615,17,July,1973,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_078.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_077.jpeg,
58746621,23,September,1971,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_031.jpeg,
58753884,29,October,1985,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Boyne Falls Pond2.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Boyne Falls Pond2p2.jpg,
58753893,NA,December,1990,NA,January,1991,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix46_GROW.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix46p2_GROW.jpg,two separate survey dates
