subject_id,data.aligned_text,data.consensus_text,column_name,data,units,URL_front,URL_back
58642765,"[['149mm', '149', '149', '149'], ['', '', 'mm', ''], ['', '', '(5.9', ''], ['', '', 'in)', '']]",149 mm (5.9 in),Third row Mean Length ,149,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandLittle_GROW_002.jpg,
58642767,"[['112-173', '112-173mm', '112-173', '4.4-6.8']]",112-173,First row Length Range ,112-173,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,
58642767,"[['136', '136mm', '136', '5.3']]",136,First row Mean Length ,136,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,
58642767,"[['143-165', '143-165mm', '143-165', '5.6-6.5']]",143-165,Second row Length Range ,143-165,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,
58642767,"[['155', '155mm', '155', '6.1']]",155,Second row Mean Length ,155,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg,
58642794,"[['8.50', '8.50-8.50']]",8.5,10th row Length Range ,8.5,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_008.jpg,
58642797,"[['7.91', '0.2=8.9', '7.91']]",7.91,10th row Length Range ,7.91,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_009.jpg,
58642798,"[['5.4-6.2', '5.4-6.2', '0', '5.4'], ['', '', '', '//'], ['', '', '', '6.2']]",5.4-6.2 // 6.2,Second row Length Range ,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_010.jpg,
58642798,"[['5.4-6.3', '5.3-6.7', '5.3-6.7', '5.4-6.2', '5.4-6.2', '5.4-6.2', '5.3'], ['', '', '', '', '', '', '//'], ['', '', '', '', '', '', '6.7']]",5.4-6.2 // 6.7,Third row Length Range ,5.4-6.2,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_010.jpg,
58642798,"[['6.6-7.0', '7.2-8.1', '7.2-8.1', '6.6-7.0', '6.6-7.0', '6.6-7.0', '7.2'], ['', '', '', '', '', '', '//'], ['', '', '', '', '', '', '8.1']]",6.6-7.0 // 8.1,5th row Length Range ,6.6-7.0,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_010.jpg,
58642798,"[['7.2-8.1', '7.2-8.3', '7.2-8.3', '7.2-8.1', '7.2-8.1', '7.2-8.1', '7.2'], ['', '', '', '', '', '', '//'], ['', '', '', '', '', '', '8.3']]",7.2-8.1 // 8.3,6th row Length Range ,7.2-8.1,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_010.jpg,
