"subject_id","methylorange_alk_min_ppm","methylorange_alk_max_ppm","notes"
63265038,111,115,NA
63265039,180,185,NA
63265041,162,163,NA
63265042,0,164,NA
63265046,45,97,NA
63265048,161,185,NA
63265054,93,100,NA
63265065,10,16,NA
63265134,140,190,NA
63265156,1,3,NA
63265174,0,5,"purple"
63265179,10,60,NA
63265180,52,56,NA
63265186,55,56,NA
63265200,162,200,NA
63265201,185,190,NA
63265216,10,25,NA
63265225,10,27,NA
63265249,127,158,NA
63265261,131,134,NA
63265274,146,185,NA
63265276,143,161,NA
63265279,71,98,NA
63265281,136,174,NA
63265289,94,98,NA
63265291,NA,NA,NA
63265316,162,222,NA
63265319,134,192,NA
63265320,184,189,NA
63265326,172,183,NA
63265338,204,210,NA
63265340,210,213,NA
63265341,215,221,NA
63265342,145,180,NA
63265346,NA,NA,NA
63265348,135,143,NA
63265351,88,95,NA
63265355,73,76,NA
63265359,90,137,NA
63265360,140,165,NA
63265365,87,92,NA
63265377,151,170,NA
63265385,NA,NA,NA
63265393,NA,NA,NA
63265397,149,170,NA
63265404,91,93.5,NA
63265407,95,110,NA
63265437,133,149,NA
63265442,30,40,NA
63265455,136,150,NA
63265468,0,104,"phth=4, total=104ppm"
63265469,102,155,NA
63265482,107,205,NA
63265504,2,8,NA
63265510,18,23,NA
63265544,0,17.1,"PH-TH Alk. Range"
63265549,26,70,NA
63265560,10,19,NA
63265580,13.6,20.4,NA
63265603,5,11,NA
63265620,45,52,NA
63265631,97,130,NA
63265633,2,3,NA
63265637,140,168,NA
63265639,57,59,NA
63265643,16,20,NA
63265649,116,136,NA
63265652,19,20,NA
63265661,6,9,NA
63265663,NA,NA,NA
63265664,30,34,NA
63265666,71,92.5,NA
63265682,108,112,NA
63265686,166,172,NA
63265695,148,167,NA
63265696,147,154,NA
63265698,119.7,143.9,NA
63265700,108,140,NA
63265730,192,200,NA
63265733,196,207,NA
63265736,207,210,NA
63265739,99,120,NA
63265746,110,125,NA
63265758,63,77,NA
63265765,128,144,NA
63265776,90,93.5,NA
63265781,112,117,NA
63265788,180,260,NA
63265789,120,154,NA
63265790,134,179,NA
63265792,162,233,NA
63265794,124,176,NA
63265799,150,250,NA
63265801,207,230,NA
63265803,122,176,NA
63265806,NA,NA,NA
63265809,140,173,NA
63265813,167,233,NA
63265837,110,160,NA
63265838,144,178,NA
63265841,210,230,NA
63265842,185,290,NA
63265844,65,90,NA
63265854,116,161,NA
63265856,NA,NA,NA
63265861,41,47,NA
63265874,51.3,85.5,NA
63265876,60,85,NA
63265880,32,45,NA
63265887,32,40,"purple"
63265890,0,27,"purple"
63265901,58,65,"purple"
63265906,7,8,NA
63265914,0,147,"purple"
63265919,31,47,NA
63265920,34,36,"purple"
63265928,160,164,NA
63265929,160,220,NA
63265932,54,62,NA
63265937,100,120,NA
63265943,285,345,NA
63265963,10,19,NA
63265967,NA,NA,NA
63265975,10,16,NA
63265983,145,187,NA
63265989,162,185,NA
63265998,135,165,NA
63266004,53,68,NA
63266005,53,68,NA
63266006,176,202,NA
63266023,52,73,NA
63266027,124,188,NA
63266038,179,210,NA
63266041,198,203,NA
63266046,112,135,NA
63266048,106,148,NA
63266049,111,115,NA
63266051,203,250,NA
63266053,0,164,NA
63266056,162,163,NA
63266061,172,200,NA
63266063,115,186,NA
63266068,178,181,NA
