"subject_id","resorts_min_n","liveries_min_n","cottages_min_n","hotels_homes_min_n","resorts_max_n","liveries_max_n","cottages_max_n","hotels_homes_max_n"
63264888,0,0,0,0,NA,NA,NA,NA
63264889,0,0,0,0,NA,NA,NA,NA
63264890,1,3,300,1,NA,NA,NA,NA
63264891,0,0,NA,0,NA,NA,NA,NA
63264892,NA,NA,NA,NA,NA,NA,NA,NA
63264893,0,0,0,0,NA,NA,NA,NA
63264894,0,0,150,0,NA,NA,NA,NA
63264895,0,0,4,0,NA,NA,NA,NA
63264896,2,3,100,0,NA,NA,NA,NA
63264897,2,1,60,0,NA,NA,70,NA
63264898,NA,NA,NA,NA,NA,NA,NA,NA
63264899,0,0,36,0,NA,NA,NA,NA
63264900,0,0,0,0,NA,NA,NA,NA
63264901,0,0,0,0,NA,NA,NA,NA
63264902,NA,NA,0,NA,NA,NA,NA,NA
63264903,0,0,0,0,NA,NA,NA,NA
63264904,1,1,NA,NA,NA,NA,NA,NA
63264906,1,1,6,NA,NA,NA,8,NA
63264907,0,0,0,0,NA,NA,NA,NA
63264908,0,0,0,0,NA,NA,NA,NA
63264909,1,1,6,NA,NA,NA,8,NA
63264910,NA,NA,1,NA,NA,NA,NA,NA
63264911,NA,NA,1,NA,NA,NA,NA,NA
63264912,1,NA,NA,NA,NA,NA,NA,NA
63264913,0,0,1,0,NA,NA,NA,NA
63264914,NA,NA,1,NA,NA,NA,NA,NA
63264915,NA,3,NA,2,NA,NA,NA,NA
63264916,9,9,110,1,NA,NA,NA,NA
63264917,1,2,6,NA,NA,NA,NA,NA
63264918,NA,2,NA,3,NA,NA,NA,NA
63264919,0,0,0,0,NA,NA,NA,NA
63264920,0,0,0,0,NA,NA,NA,NA
63264921,0,0,36,0,NA,NA,NA,NA
63264922,0,0,4,0,NA,NA,NA,NA
63264923,NA,0,NA,NA,NA,NA,NA,NA
63264924,0,0,40,0,NA,NA,NA,NA
63264925,0,0,1,0,NA,NA,NA,NA
63264926,0,0,0,0,NA,NA,NA,NA
63264927,0,0,0,0,NA,NA,NA,NA
63264928,NA,NA,15,0,NA,NA,NA,NA
63264929,0,0,0,0,NA,NA,NA,NA
63264930,NA,2,NA,NA,NA,NA,NA,NA
63264931,0,0,3,0,NA,NA,NA,NA
63264932,1,1,0,0,NA,NA,NA,NA
63264933,NA,NA,20,NA,NA,NA,NA,NA
63264934,0,0,20,0,NA,NA,NA,NA
63264935,0,1,0,0,NA,NA,NA,NA
63264936,0,0,0,0,NA,NA,NA,NA
63264938,0,0,0,0,NA,NA,NA,NA
63264939,NA,2,15,0,NA,NA,NA,NA
63264940,7,5,93,2,NA,NA,NA,NA
63264941,0,1,14,0,NA,NA,NA,NA
63264942,1,0,25,0,NA,NA,30,NA
63264943,1,1,35,0,NA,NA,NA,NA
63264944,4,4,64,1,NA,NA,NA,NA
63264946,0,0,0,0,NA,NA,NA,NA
63264947,0,0,0,0,NA,NA,NA,NA
63264948,0,0,30,0,NA,NA,NA,NA
63264949,NA,NA,10,NA,NA,NA,NA,NA
63264950,0,1,60,0,NA,NA,NA,NA
63264952,0,2,6,0,NA,NA,NA,NA
63264953,0,2,0,0,NA,NA,NA,NA
63264954,NA,NA,0,NA,NA,NA,NA,NA
63264955,2,2,25,2,NA,NA,NA,2
63264956,1,1,8,NA,NA,NA,NA,NA
63264957,NA,NA,0,NA,NA,NA,NA,NA
63264958,3,NA,50,NA,NA,NA,NA,NA
63264959,3,3,53,0,NA,NA,NA,NA
63264960,1,1,2,0,NA,NA,NA,NA
63264961,6,3,190,0,NA,NA,NA,NA
63264962,NA,NA,6,NA,NA,NA,NA,NA
63264963,0,0,0,0,NA,NA,NA,NA
63264965,0,0,0,0,NA,NA,NA,NA
63264966,0,0,105,0,NA,NA,NA,NA
63264967,0,0,9,0,NA,NA,NA,NA
63264968,1,1,15,NA,NA,NA,NA,NA
63264969,1,1,30,0,NA,NA,NA,NA
63264970,2,2,60,NA,NA,NA,NA,NA
63264971,2,2,30,0,NA,NA,NA,NA
63264972,0,0,0,0,NA,NA,NA,NA
63264973,0,0,1,0,NA,NA,NA,NA
63264974,1,1,15,NA,NA,NA,NA,NA
63264975,1,1,12,NA,NA,NA,NA,NA
63264976,0,1,20,0,NA,NA,NA,NA
63264977,0,0,0,0,NA,NA,NA,NA
63264978,1,1,2,0,NA,NA,NA,NA
63264979,0,0,0,1,NA,NA,NA,NA
63264980,2,2,11,0,NA,NA,NA,NA
63264981,1,7,10,NA,NA,NA,NA,NA
63264982,0,0,0,0,NA,NA,NA,NA
63264983,0,5,45,0,NA,NA,NA,NA
63264984,2,4,23,1,NA,NA,NA,NA
63264985,0,0,12,0,NA,NA,NA,NA
63264986,0,0,0,0,NA,NA,NA,NA
63264987,NA,1,2,NA,NA,NA,NA,NA
63264988,0,2,0,0,NA,NA,NA,NA
63264989,0,0,2,0,NA,NA,NA,NA
63264990,NA,NA,1,NA,NA,NA,NA,NA
63264991,0,0,0,0,NA,NA,NA,NA
63264992,0,0,0,0,NA,NA,NA,NA
63264993,0,0,0,0,NA,NA,NA,NA
63264994,0,0,0,0,NA,NA,NA,NA
63264995,0,0,1,0,NA,NA,NA,NA
63264996,0,0,0,0,NA,NA,NA,NA
63264998,NA,3,NA,NA,NA,NA,NA,NA
63264999,NA,3,NA,NA,NA,NA,NA,NA
63265000,0,0,0,0,NA,NA,NA,NA
63265001,0,0,0,0,NA,NA,NA,NA
63265003,0,1,8,0,NA,NA,NA,NA
63265004,0,0,0,0,NA,NA,NA,NA
63265005,3,1,35,0,NA,NA,NA,NA
63265006,0,0,40,0,NA,NA,NA,NA
63265007,0,0,0,0,NA,NA,NA,NA
63265008,0,0,2,0,NA,NA,NA,NA
63265009,0,0,15,0,NA,NA,NA,NA
63265010,0,0,6,0,NA,NA,NA,NA
63265011,0,0,50,0,NA,NA,NA,NA
63265012,0,0,8,0,NA,NA,10,NA
63265013,0,0,6,0,NA,NA,NA,NA
63265014,0,1,12,0,NA,NA,NA,NA
63265015,NA,0,3,0,NA,NA,NA,NA
63265016,0,0,30,0,NA,NA,NA,NA
63265017,NA,12,12,NA,NA,NA,NA,NA
63265018,1,1,40,0,NA,NA,NA,NA
63265019,1,1,30,0,NA,NA,NA,NA
63265020,1,1,0,0,NA,NA,NA,NA
63265021,0,2,0,0,NA,NA,NA,NA
63265022,0,2,0,0,NA,NA,NA,NA
63265023,0,0,0,0,NA,NA,NA,NA
63265024,1,5,219,0,NA,NA,NA,NA
63265025,NA,1,10,NA,NA,NA,15,NA
63265026,0,0,0,0,NA,NA,NA,NA
63265027,NA,1,10,NA,NA,NA,15,NA
63265028,0,2,113,0,NA,NA,NA,NA
63265029,0,0,46,NA,NA,NA,NA,NA
63265030,0,0,35,0,NA,NA,NA,NA
63265031,0,0,14,0,NA,NA,NA,NA
63265032,0,0,35,0,NA,NA,NA,NA
63265033,0,0,0,0,NA,NA,NA,NA
63265034,0,1,0,0,NA,NA,NA,NA
63265035,NA,1,0,NA,NA,NA,NA,NA
63265036,0,0,0,0,NA,NA,NA,NA
63265037,0,0,0,0,NA,NA,NA,NA
63265038,0,1,2,0,NA,NA,NA,NA
63265039,0,1,36,0,NA,NA,NA,NA
63265040,0,0,0,0,NA,NA,NA,NA
63265041,0,0,NA,0,NA,NA,NA,NA
63265042,0,0,0,0,NA,NA,NA,NA
63265043,0,1,0,0,NA,NA,NA,NA
63265044,2,8,230,1,NA,NA,NA,NA
63265045,0,0,3,0,NA,NA,NA,NA
63265046,2,2,25,1,NA,NA,30,NA
63265047,0,0,1,0,NA,NA,NA,NA
63265048,1,0,8,0,NA,NA,NA,NA
63265049,1,0,25,0,NA,NA,NA,NA
63265050,0,0,13,0,NA,NA,NA,NA
63265051,0,0,NA,0,NA,NA,NA,NA
63265052,0,0,13,0,NA,NA,NA,NA
63265053,0,0,83,0,NA,NA,NA,NA
63265054,0,0,29,0,NA,NA,NA,NA
63265055,0,0,22,0,NA,NA,NA,NA
63265056,0,0,NA,0,NA,NA,NA,NA
63265057,NA,NA,0,NA,NA,NA,NA,NA
63265058,0,0,35,0,NA,NA,NA,NA
63265059,0,0,0,0,NA,NA,NA,NA
63265060,45,25,600,3,NA,NA,NA,NA
63265061,NA,NA,12,0,NA,NA,15,NA
63265062,0,3,196,0,NA,NA,NA,NA
63265063,NA,NA,0,NA,NA,NA,NA,NA
63265064,0,0,0,0,NA,NA,NA,NA
63265065,NA,NA,2,NA,NA,NA,NA,NA
63265066,0,0,0,0,NA,NA,NA,NA
63265067,0,0,0,0,NA,NA,NA,NA
63265068,2,2,25,0,NA,NA,NA,NA
63265069,0,0,0,0,NA,NA,NA,NA
63265071,0,0,NA,0,NA,NA,NA,NA
63265073,NA,0,6,0,NA,NA,NA,NA
63265074,0,0,0,0,NA,NA,NA,NA
63265075,0,0,2,0,NA,NA,NA,NA
63265076,0,0,1,0,NA,NA,NA,NA
63265077,9,NA,100,0,NA,NA,NA,NA
63265079,NA,NA,3,NA,NA,NA,NA,NA
63265080,NA,NA,0,NA,NA,NA,NA,NA
63265082,0,0,0,0,NA,NA,NA,NA
63265083,0,0,0,0,NA,NA,NA,NA
63265084,0,0,0,0,NA,NA,NA,NA
63265085,0,0,0,0,NA,NA,NA,NA
63265086,0,0,2,0,NA,NA,NA,NA
63265087,NA,NA,1,NA,NA,NA,NA,NA
63265088,NA,NA,0,NA,NA,NA,NA,NA
63265089,0,0,0,0,NA,NA,NA,NA
63265091,0,0,0,0,NA,NA,NA,NA
63265092,NA,NA,0,NA,NA,NA,NA,NA
63265093,NA,NA,1,NA,NA,NA,NA,NA
63265094,NA,NA,1,NA,NA,NA,NA,NA
63265095,NA,0,NA,NA,NA,NA,NA,NA
63265096,0,0,0,0,NA,NA,NA,NA
63265097,NA,1,2,NA,NA,NA,NA,NA
63265098,NA,NA,NA,NA,NA,NA,NA,NA
63265099,NA,NA,0,NA,NA,NA,NA,NA
63265100,NA,NA,0,NA,NA,NA,NA,NA
63265101,NA,NA,1,NA,NA,NA,NA,NA
63265102,0,2,2,0,NA,NA,NA,NA
63265103,NA,NA,3,NA,NA,NA,NA,NA
63265104,0,0,5,NA,NA,NA,NA,NA
63265105,NA,NA,0,NA,NA,NA,NA,NA
63265106,0,0,0,0,NA,NA,NA,NA
63265107,0,0,0,0,NA,NA,NA,NA
63265108,NA,NA,0,NA,NA,NA,NA,NA
63265109,0,0,0,0,NA,NA,NA,NA
63265111,0,0,0,0,NA,NA,NA,NA
63265112,0,0,2,0,NA,NA,NA,NA
63265113,NA,NA,0,NA,NA,NA,NA,NA
63265114,0,0,4,0,NA,NA,NA,NA
63265115,NA,NA,0,NA,NA,NA,NA,NA
63265117,NA,NA,0,NA,NA,NA,NA,NA
63265118,NA,NA,1,NA,NA,NA,NA,NA
63265119,0,0,0,0,NA,NA,NA,NA
63265120,0,0,0,0,NA,NA,NA,NA
63265121,NA,NA,12,0,NA,NA,NA,NA
63265123,NA,NA,1,NA,NA,NA,NA,NA
63265124,0,0,0,0,NA,NA,NA,NA
63265125,NA,NA,1,NA,NA,NA,NA,NA
63265126,NA,NA,0,NA,NA,NA,NA,NA
63265127,0,0,0,0,NA,NA,NA,NA
63265128,NA,NA,2,NA,NA,NA,NA,NA
63265129,NA,NA,10,NA,NA,NA,NA,NA
63265130,1,1,10,0,NA,NA,NA,NA
63265131,1,1,30,0,NA,NA,NA,NA
63265133,NA,NA,0,NA,NA,NA,NA,NA
63265134,0,0,NA,0,NA,NA,NA,NA
63265137,NA,NA,1,NA,NA,NA,NA,NA
63265138,NA,NA,5,NA,NA,NA,NA,NA
63265139,NA,NA,0,NA,NA,NA,NA,NA
63265141,NA,NA,2,NA,NA,NA,NA,NA
63265142,0,0,0,0,NA,NA,NA,NA
63265143,NA,NA,1,NA,NA,NA,NA,NA
63265144,0,0,0,0,NA,NA,NA,NA
63265145,0,0,0,0,NA,NA,NA,NA
63265146,0,0,0,0,NA,NA,NA,NA
63265147,NA,0,6,NA,NA,NA,8,NA
63265151,NA,NA,2,NA,NA,NA,NA,NA
63265152,0,0,0,0,NA,NA,NA,NA
63265153,0,0,0,0,NA,NA,NA,NA
63265154,0,0,0,0,NA,NA,NA,NA
63265155,NA,NA,0,NA,NA,NA,NA,NA
63265156,NA,NA,0,NA,NA,NA,NA,NA
63265157,NA,NA,1,NA,NA,NA,NA,NA
63265158,NA,NA,1,NA,NA,NA,NA,NA
63265159,NA,NA,1,NA,NA,NA,NA,NA
63265161,0,0,0,0,NA,NA,NA,NA
63265162,0,0,30,0,NA,NA,NA,NA
63265163,0,0,0,0,NA,NA,NA,NA
63265164,NA,NA,0,NA,NA,NA,NA,NA
63265165,NA,NA,0,NA,NA,NA,NA,NA
63265166,1,1,10,0,NA,NA,NA,NA
63265167,NA,NA,0,NA,NA,NA,NA,NA
63265168,0,0,0,0,NA,NA,NA,NA
63265169,2,3,25,NA,NA,NA,NA,NA
63265170,NA,NA,0,NA,NA,NA,NA,NA
63265171,NA,NA,0,NA,NA,NA,NA,NA
63265172,NA,NA,NA,NA,NA,NA,NA,NA
63265173,0,0,0,0,NA,NA,NA,NA
63265175,NA,1,0,NA,NA,NA,NA,NA
63265176,NA,NA,2,NA,NA,NA,NA,NA
63265177,0,0,0,0,NA,NA,NA,NA
63265178,2,2,35,NA,NA,NA,NA,NA
63265180,0,1,75,0,NA,NA,NA,NA
63265181,NA,3,NA,NA,NA,NA,NA,NA
63265182,0,0,8,0,NA,NA,NA,NA
63265183,0,0,8,0,NA,NA,NA,NA
63265184,2,2,150,0,NA,NA,NA,NA
63265185,0,1,2,0,NA,NA,NA,NA
63265186,1,0,10,0,NA,NA,NA,NA
63265187,0,1,0,0,NA,NA,NA,NA
63265188,0,1,0,0,NA,NA,NA,NA
63265190,2,2,NA,NA,NA,NA,NA,NA
63265191,5,5,50,0,NA,NA,NA,NA
63265192,0,2,10,0,NA,NA,NA,NA
63265193,25,25,228,2,NA,NA,NA,NA
63265194,0,0,0,0,NA,NA,NA,NA
63265195,0,0,100,0,NA,NA,NA,NA
63265196,5,3,150,2,NA,NA,NA,NA
63265197,0,0,0,0,NA,NA,NA,NA
63265198,0,1,16,0,NA,NA,NA,NA
63265199,25,1,225,1,NA,NA,NA,NA
63265200,2,2,50,0,NA,NA,NA,NA
63265201,1,1,15,0,NA,NA,NA,NA
63265202,3,1,35,0,NA,NA,NA,NA
63265203,NA,2,20,0,NA,NA,NA,NA
63265204,4,4,700,2,NA,NA,NA,NA
63265205,0,0,0,0,NA,NA,NA,NA
63265206,2,2,22,1,NA,NA,NA,NA
63265207,0,0,0,0,NA,NA,NA,NA
63265208,0,0,9,0,NA,NA,NA,NA
63265209,0,1,20,0,NA,NA,NA,NA
63265210,0,0,0,0,NA,NA,NA,NA
63265211,0,0,3,0,NA,NA,NA,NA
63265213,NA,NA,6,NA,NA,NA,NA,NA
63265214,0,0,0,0,NA,NA,NA,NA
63265215,0,0,0,0,NA,NA,NA,NA
63265216,0,0,0,0,NA,NA,NA,NA
63265217,NA,NA,1,NA,NA,NA,NA,NA
63265218,0,0,0,0,NA,NA,NA,NA
63265219,0,0,0,0,NA,NA,NA,NA
63265220,0,0,0,0,NA,NA,NA,NA
63265221,0,0,0,0,NA,NA,NA,NA
63265222,0,0,3,0,NA,NA,NA,NA
63265223,0,0,0,0,NA,NA,NA,NA
63265224,0,0,0,0,NA,NA,NA,NA
63265225,0,0,40,0,NA,NA,NA,NA
63265226,0,0,0,0,NA,NA,NA,NA
63265227,0,0,0,0,NA,NA,NA,NA
63265228,NA,NA,2,NA,NA,NA,NA,NA
63265229,NA,NA,2,NA,NA,NA,NA,NA
63265230,NA,NA,2,NA,NA,NA,NA,NA
63265231,0,0,0,0,NA,NA,NA,NA
63265232,0,0,0,0,NA,NA,NA,NA
63265234,0,0,0,0,NA,NA,NA,NA
63265235,10,3,50,0,NA,NA,NA,NA
63265236,0,0,3,0,NA,NA,NA,NA
63265237,0,0,0,0,NA,NA,NA,NA
63265238,0,0,0,0,NA,NA,NA,NA
63265239,2,2,55,1,NA,NA,NA,NA
63265240,0,0,0,0,NA,NA,NA,NA
63265241,0,0,32,0,NA,NA,NA,NA
63265242,NA,NA,4,NA,NA,NA,NA,NA
63265243,0,0,1,0,NA,NA,NA,NA
63265244,0,0,0,0,NA,NA,NA,NA
63265245,0,0,0,0,NA,NA,NA,NA
63265246,0,1,3,0,NA,NA,NA,NA
63265247,0,0,0,0,NA,NA,NA,NA
63265248,0,1,0,0,NA,NA,NA,NA
63265249,0,1,150,0,NA,NA,NA,NA
63265250,0,0,3,0,NA,NA,NA,NA
63265251,5,2,80,0,NA,NA,NA,NA
63265252,1,1,25,0,NA,NA,NA,NA
63265253,0,0,0,0,NA,NA,NA,NA
63265254,0,0,3,0,NA,NA,NA,NA
63265255,0,1,0,0,NA,NA,NA,NA
63265256,4,4,240,0,NA,NA,NA,NA
63265257,0,1,3,0,NA,NA,NA,NA
63265259,0,1,10,0,NA,NA,NA,NA
63265260,1,3,130,0,NA,NA,NA,NA
63265261,NA,NA,8,NA,NA,NA,NA,NA
63265262,1,1,58,0,NA,NA,NA,NA
63265263,0,1,0,0,NA,NA,NA,NA
63265264,2,3,654,1,NA,NA,NA,NA
63265265,15,15,625,0,NA,NA,NA,NA
63265266,2,5,203,0,NA,NA,NA,NA
63265267,0,0,0,0,NA,NA,NA,NA
63265268,0,1,1,0,NA,NA,NA,NA
63265269,0,0,0,0,NA,NA,NA,NA
63265270,0,1,3,0,NA,NA,NA,NA
63265271,0,0,6,0,NA,NA,NA,NA
63265272,0,1,30,0,NA,NA,NA,NA
63265273,0,1,3,0,NA,NA,NA,NA
63265274,0,0,1,0,NA,NA,NA,NA
63265275,0,0,0,0,NA,NA,NA,NA
63265276,1,1,25,0,NA,NA,NA,NA
63265277,1,3,60,1,NA,NA,NA,NA
63265278,1,1,25,0,NA,NA,NA,NA
63265279,1,1,4,0,NA,NA,NA,NA
63265280,NA,NA,0,NA,NA,NA,NA,NA
63265281,1,1,62,0,NA,NA,NA,NA
63265282,0,0,0,0,NA,NA,NA,NA
63265283,0,1,8,0,NA,NA,NA,NA
63265284,5,3,339,NA,NA,NA,NA,NA
63265286,NA,3,12,0,NA,NA,NA,NA
63265288,NA,NA,0,0,NA,NA,NA,NA
63265289,1,1,15,0,NA,NA,NA,NA
63265290,0,0,10,0,NA,NA,NA,NA
63265291,0,0,2,0,NA,NA,NA,NA
63265292,10,4,200,1,NA,NA,NA,NA
63265293,0,0,0,0,NA,NA,NA,NA
63265294,4,0,25,0,NA,NA,NA,NA
63265295,2,3,180,0,NA,NA,NA,NA
63265296,10,10,330,6,NA,NA,NA,NA
63265297,0,0,0,0,NA,NA,NA,NA
63265298,1,2,48,1,NA,NA,NA,NA
63265299,0,0,0,0,NA,NA,NA,NA
63265300,4,1,25,0,NA,NA,NA,NA
63265301,0,2,20,0,NA,NA,NA,NA
63265302,1,1,0,0,NA,NA,NA,NA
63265303,0,1,0,0,NA,NA,NA,NA
63265304,0,0,5,0,NA,NA,NA,NA
63265305,6,6,165,0,NA,NA,NA,NA
63265306,0,0,3,0,NA,NA,NA,NA
63265307,0,1,0,0,NA,NA,NA,NA
63265308,0,1,NA,0,NA,NA,NA,NA
63265309,0,1,0,0,NA,NA,NA,NA
63265310,0,0,4,0,NA,NA,NA,NA
63265311,0,1,0,0,NA,4,NA,NA
63265312,25,10,200,15,NA,NA,NA,NA
63265313,0,0,3,0,NA,NA,NA,NA
63265314,1,2,50,0,NA,NA,NA,NA
63265315,0,0,3,0,NA,NA,NA,NA
63265316,1,2,5,0,NA,NA,NA,NA
63265317,1,1,10,0,NA,NA,NA,NA
63265318,1,1,NA,0,NA,NA,NA,NA
63265319,0,0,20,0,NA,NA,NA,NA
63265320,0,0,NA,0,NA,NA,NA,NA
63265321,NA,1,0,0,NA,NA,NA,NA
63265322,0,1,2,0,NA,NA,NA,NA
63265323,1,2,24,1,NA,NA,NA,NA
63265324,1,2,90,0,NA,NA,NA,NA
63265325,1,1,3,0,NA,NA,NA,NA
63265327,NA,1,NA,NA,NA,NA,NA,NA
63265328,0,0,380,0,NA,NA,NA,NA
63265329,0,0,0,0,NA,NA,NA,NA
63265330,0,1,45,0,NA,NA,NA,NA
63265333,1,1,150,0,NA,NA,NA,NA
63265334,0,0,0,0,NA,NA,NA,NA
63265335,0,0,0,0,NA,NA,NA,NA
63265337,0,0,1,0,NA,NA,NA,NA
63265338,0,0,0,0,NA,NA,NA,NA
63265339,0,0,25,0,NA,NA,NA,NA
63265340,0,0,NA,0,NA,NA,NA,NA
63265342,NA,1,1,NA,NA,NA,NA,NA
63265343,2,6,130,NA,NA,NA,NA,NA
63265344,0,0,210,0,NA,NA,NA,NA
63265345,2,2,4,0,NA,NA,NA,NA
63265346,0,1,20,0,NA,NA,NA,NA
63265347,0,0,0,0,NA,NA,NA,NA
63265348,0,1,17,0,NA,NA,NA,NA
63265349,0,1,30,0,NA,NA,NA,NA
63265350,NA,NA,1,NA,NA,NA,NA,NA
63265351,0,0,1,0,NA,NA,NA,NA
63265352,1,1,2,NA,NA,NA,NA,NA
63265353,0,0,12,0,NA,NA,NA,NA
63265354,0,0,0,0,NA,NA,NA,NA
63265355,8,4,106,1,NA,NA,NA,NA
63265356,0,1,15,0,NA,NA,NA,NA
63265357,0,0,0,0,NA,NA,NA,NA
63265358,2,2,25,0,NA,NA,NA,NA
63265359,0,0,0,0,NA,NA,NA,NA
63265360,2,2,10,0,NA,NA,NA,NA
63265361,1,1,5,0,NA,NA,NA,NA
63265362,NA,1,20,NA,NA,NA,NA,NA
63265363,0,0,1,0,NA,NA,NA,NA
63265364,0,0,0,0,NA,NA,NA,NA
63265365,1,1,6,0,NA,NA,NA,NA
63265366,1,2,40,0,NA,NA,NA,NA
63265367,NA,1,1,NA,NA,NA,NA,NA
63265368,NA,NA,25,NA,NA,NA,NA,NA
63265369,NA,1,35,NA,NA,NA,NA,NA
63265370,NA,NA,NA,NA,NA,NA,NA,NA
63265371,1,0,75,0,NA,NA,NA,NA
63265372,NA,NA,NA,NA,NA,NA,NA,NA
63265373,0,1,0,0,NA,NA,NA,NA
63265374,0,0,10,0,NA,NA,NA,NA
63265375,NA,1,1,NA,NA,NA,NA,NA
63265376,NA,NA,10,NA,NA,NA,NA,NA
63265377,0,NA,0,0,NA,NA,NA,NA
63265378,0,1,1,0,NA,NA,NA,NA
63265379,NA,NA,30,NA,NA,NA,NA,NA
63265380,1,2,2,0,NA,NA,NA,NA
63265381,1,1,54,0,NA,NA,NA,NA
63265382,0,0,0,0,NA,NA,NA,NA
63265383,0,2,94,0,NA,NA,NA,NA
63265384,1,1,18,0,NA,NA,NA,NA
63265385,NA,NA,7,NA,NA,NA,NA,NA
63265386,NA,1,NA,NA,NA,NA,NA,NA
63265387,2,2,250,NA,NA,NA,NA,NA
63265388,NA,1,3,NA,NA,NA,NA,NA
63265389,2,2,50,0,NA,NA,NA,NA
63265390,1,2,10,0,NA,NA,NA,NA
63265391,1,2,12,0,NA,NA,NA,NA
63265392,0,0,100,0,NA,NA,NA,NA
63265393,0,1,3,0,NA,NA,NA,NA
63265394,0,1,50,0,NA,NA,NA,NA
63265395,0,1,0,0,NA,6,NA,NA
63265396,0,0,0,0,NA,NA,NA,NA
63265397,1,3,32,0,NA,NA,NA,NA
63265398,0,0,10,0,NA,NA,NA,NA
63265399,14,3,75,NA,NA,NA,NA,NA
63265400,0,0,0,0,NA,NA,NA,NA
63265401,2,2,10,0,NA,NA,NA,NA
63265402,NA,NA,4,NA,NA,NA,NA,NA
63265403,NA,2,12,NA,NA,NA,NA,NA
63265404,NA,NA,11,NA,NA,NA,NA,NA
63265405,NA,NA,7,NA,NA,NA,NA,NA
63265406,0,0,0,0,NA,NA,NA,NA
63265407,1,2,7,NA,NA,NA,NA,NA
63265408,0,0,0,0,NA,NA,NA,NA
63265409,2,0,30,0,NA,NA,NA,NA
63265410,5,5,200,3,NA,NA,NA,NA
63265411,0,0,0,0,NA,NA,NA,NA
63265412,0,0,0,0,NA,NA,NA,NA
63265414,0,2,30,0,NA,NA,NA,NA
63265415,NA,NA,56,NA,NA,NA,NA,NA
63265416,0,1,25,0,NA,NA,NA,NA
63265417,0,0,0,0,NA,NA,NA,NA
63265418,0,0,0,0,NA,NA,NA,NA
63265419,0,1,5,0,NA,NA,NA,NA
63265420,1,1,4,NA,NA,NA,NA,NA
63265421,1,1,15,1,NA,NA,NA,NA
63265422,0,0,6,0,NA,NA,8,NA
63265423,3,1,2,0,NA,NA,NA,NA
63265424,1,1,5,NA,NA,NA,NA,NA
63265425,0,0,0,0,NA,NA,NA,NA
63265426,1,1,3,NA,NA,NA,NA,NA
63265427,NA,NA,6,NA,NA,NA,NA,NA
63265428,6,8,500,NA,NA,NA,NA,NA
63265429,0,0,0,0,NA,NA,NA,NA
63265430,0,0,8,0,NA,NA,NA,NA
63265431,1,NA,1,NA,NA,NA,NA,NA
63265432,1,NA,73,NA,NA,NA,NA,NA
63265433,0,0,0,0,NA,NA,NA,NA
63265434,1,NA,20,0,NA,NA,NA,NA
63265435,0,0,3,0,NA,NA,NA,NA
63265436,0,0,0,0,NA,NA,NA,NA
63265438,0,0,10,0,NA,NA,NA,NA
63265439,5,3,100,0,NA,NA,NA,NA
63265440,2,2,30,0,NA,NA,NA,NA
63265441,0,1,30,0,NA,NA,NA,NA
63265442,0,0,0,0,NA,NA,NA,NA
63265443,0,0,1,0,NA,NA,NA,NA
63265444,0,0,0,0,NA,NA,NA,NA
63265445,10,5,200,3,NA,NA,NA,NA
63265446,0,0,0,0,NA,NA,NA,NA
63265447,NA,NA,150,0,NA,NA,NA,NA
63265448,4,1,100,1,NA,NA,NA,NA
63265449,12,2,200,NA,NA,NA,NA,NA
63265450,3,1,300,NA,NA,NA,NA,NA
63265451,0,1,0,0,NA,NA,NA,NA
63265452,1,0,0,0,NA,NA,NA,NA
63265453,1,1,35,0,NA,NA,NA,NA
63265454,0,0,5,0,NA,NA,NA,NA
63265455,1,2,6,0,NA,NA,NA,NA
63265456,0,0,1,0,NA,NA,NA,NA
63265457,0,0,0,0,NA,NA,NA,NA
63265458,1,1,3,NA,NA,NA,NA,NA
63265459,0,0,0,0,NA,NA,NA,NA
63265460,2,1,125,0,NA,NA,NA,NA
63265461,0,0,40,0,NA,NA,NA,NA
63265462,0,0,10,0,NA,NA,NA,NA
63265463,6,8,700,1,NA,NA,NA,NA
63265464,NA,0,0,NA,NA,NA,NA,NA
63265465,5,5,325,0,NA,NA,NA,NA
63265466,1,2,154,0,NA,NA,NA,NA
63265467,0,NA,12,0,NA,NA,NA,NA
63265469,0,0,90,0,NA,NA,NA,NA
63265470,1,0,55,NA,NA,NA,NA,NA
63265471,2,2,200,1,NA,NA,NA,NA
63265473,0,1,36,0,NA,NA,NA,NA
63265474,0,0,50,0,NA,NA,NA,NA
63265475,0,1,6,0,NA,NA,NA,NA
63265476,NA,1,40,NA,NA,NA,NA,NA
63265477,NA,2,70,2,NA,NA,NA,NA
63265478,0,0,100,0,NA,NA,NA,NA
63265479,1,5,219,0,NA,NA,NA,NA
63265480,2,8,230,1,NA,NA,NA,NA
63265481,0,1,175,0,NA,NA,NA,NA
63265482,0,0,4,0,NA,NA,NA,NA
63265483,0,0,0,0,NA,NA,NA,NA
63265484,0,0,95,0,NA,NA,NA,NA
63265485,NA,0,NA,NA,NA,NA,NA,NA
63265486,0,0,0,0,NA,NA,NA,NA
63265487,NA,1,200,NA,NA,NA,NA,NA
63265488,0,0,2,0,NA,NA,NA,NA
63265489,NA,NA,1,NA,NA,NA,NA,NA
63265490,NA,1,NA,0,NA,NA,NA,NA
63265491,NA,NA,1,NA,NA,NA,NA,NA
