"subject_id","temp_surface_max_c","temp_surface_min_c","temp_bottom_max_c","temp_bottom_min_c","do_above_thermo_max_ppm","do_above_thermo_min_ppm","do_in_thermo_max_ppm","do_in_thermo_min_ppm","do_below_thermo_max_ppm","do_below_thermo_min_ppm"
63264390,20,19,16,14,6,6,NA,NA,NA,4
63264391,NA,13.667,NA,6.111,NA,9,NA,5,NA,1
63264392,NA,25,NA,7.1,8.6,8.3,0,8.5,NA,NA
63264393,NA,23.889,NA,6.111,NA,7.5,0,3.6,NA,0
63264395,NA,26.111,NA,13.333,NA,7.8,5.3,6.6,NA,NA
63264396,27.2,25,11.1,4.9,7.7,7.1,NA,NA,1.1,0
63264397,27.2,25,11.1,4.9,7.7,7.1,NA,NA,1.1,0
63264398,NA,13.333,NA,13.333,NA,NA,NA,NA,NA,NA
63264399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63264401,NA,26.111,NA,18.333,9.3,8.3,NA,4.2,NA,NA
63264403,NA,22.889,NA,4.056,NA,7,7,1,NA,0
63264404,23.333,22.778,7.1,8,7.8,8.7,0.2,7.6,0,0.3
63264407,NA,26.167,NA,25.222,6.9,7.6,NA,NA,NA,NA
63264408,NA,27.667,NA,25.056,NA,8,NA,NA,NA,NA
63264409,NA,25.889,NA,22.222,7.6,8.3,NA,NA,NA,NA
63264410,22.778,22.222,7.7,8.7,8.7,8.9,7.2,15.3,0.3,3.2
63264411,NA,23.889,NA,18.333,NA,NA,NA,NA,NA,NA
63264412,NA,22.778,NA,9,9,9.2,1.5,9.4,0,1.5
63264413,NA,25.3,NA,6.6,17.7,9.9,NA,NA,NA,NA
63264414,NA,26.667,NA,10.556,9.7,9.1,0.5,9.7,NA,0.2
63264415,26.9,26,NA,19,7.8,0.91,NA,NA,NA,NA
63264416,NA,25,NA,19,5.3,2.3,NA,NA,NA,2.3
63264417,NA,25,6.2,7,9.1,9.5,1.8,8.9,0,1.2
63264418,NA,20.1,NA,11.7,NA,8.6,NA,NA,NA,1.7
63264419,NA,27.222,NA,22.8,7.5,5,NA,NA,NA,NA
63264420,NA,21.5,NA,8.7,NA,9.2,NA,NA,3,10.9
63264421,21.111,19.444,NA,11.5,NA,8,NA,NA,NA,0.1
63264422,NA,21.111,13.333,12.778,7.9,7.4,6,4.1,5.3,0.5
63264424,NA,26.667,NA,20.778,NA,8,NA,NA,NA,1.4
63264425,23.9,22.2,17.8,3.9,9.5,7.8,NA,NA,0,5.8
63264426,NA,23.889,NA,9.7,8.7,8.8,0.2,8.5,NA,0
63264427,22.222,20.556,11.667,8.333,8,7.3,7,0.4,NA,0
63264428,NA,21.111,NA,6.7,6.6,10.7,0.8,7.4,NA,0
63264429,NA,24.444,NA,9.2,NA,14.6,NA,11.6,NA,3.5
63264430,NA,22.5,NA,11.6,8.8,1.7,NA,NA,NA,1
63264431,NA,25.8,NA,19,8.3,7.7,NA,NA,7.7,3.4
63264433,NA,20.556,NA,20,NA,NA,NA,NA,NA,NA
63264434,24.722,24.444,NA,20.556,0.2,8.3,NA,NA,NA,NA
63264435,26.111,25.556,15,22.222,5.8,6.1,1.3,5.5,NA,NA
63264436,NA,22.222,NA,12.222,NA,8.3,NA,5.5,NA,1.1
63264437,NA,26.667,NA,13.611,NA,8.4,NA,NA,NA,2
63264438,NA,20,NA,17.4,9.9,9,NA,NA,NA,3.9
63264439,NA,24.444,12.778,21.111,2.9,9.6,0,2.9,NA,0
63264440,NA,21.111,NA,13.7,8.9,9.4,2.7,9.2,NA,NA
63264441,25,20,20.556,20,7.7,4.9,NA,NA,NA,NA
63264442,NA,21.111,NA,7.222,NA,6.4,NA,4.9,NA,NA
63264443,NA,19.2,NA,15.8,NA,NA,NA,NA,NA,NA
63264444,NA,23.889,NA,7.222,7,7.5,5.1,7,2.2,5.1
63264445,NA,21.111,NA,16.889,NA,9,NA,6.5,NA,4.7
63264447,26.667,25,24.3,22.8,8.2,6.6,NA,NA,NA,NA
63264448,NA,22.778,NA,13.333,NA,5,NA,0.88,NA,1.08
63264449,NA,14.444,NA,12.222,7.16,8.23,NA,NA,NA,NA
63264450,NA,22.611,NA,13.111,NA,4.6,NA,4.3,NA,0.5
63264451,NA,23.333,NA,6.667,NA,NA,NA,NA,NA,NA
63264452,NA,21.111,NA,9.778,NA,3.6,NA,2.8,NA,3.7
63264453,NA,20.556,NA,5.722,NA,5.1,NA,4.8,NA,4
63264454,21.111,20,11.667,7.778,8.2,3.2,6.2,0.5,0.5,0
63264455,NA,21.9,NA,21.8,NA,NA,NA,NA,NA,NA
63264456,21.111,20,11.667,7.778,8.2,3.2,6.1,0.5,0.5,0
63264457,NA,21.667,NA,5.222,NA,6.3,NA,5.6,NA,5.3
63264458,NA,22.611,NA,6,NA,4.8,NA,NA,NA,0.2
63264459,NA,19.611,NA,19,NA,7.4,NA,NA,NA,NA
63264460,NA,16.111,NA,15.556,NA,6,NA,NA,NA,NA
63264461,NA,20,NA,4.444,0.8,4.9,NA,NA,NA,0
63264462,23.8,23,NA,8,8,7.6,NA,NA,NA,2
63264464,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
63264466,NA,22.5,NA,9.111,NA,7,NA,7,NA,2.7
63264467,NA,19.611,NA,17.889,7.9,9.2,NA,NA,NA,NA
63264468,19.444,17.667,NA,16.667,NA,8.3,NA,NA,NA,NA
63264469,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
63264470,NA,22.778,NA,7.778,NA,6.7,6.2,6.7,NA,4.5
63264471,NA,25,NA,5.8,NA,6.7,NA,NA,NA,NA
63264472,NA,24.444,NA,22.222,NA,NA,NA,NA,NA,NA
63264473,NA,19.889,NA,18.111,7.64,7.48,NA,NA,NA,NA
63264474,NA,24.444,NA,19.444,5.7,6.9,3.6,5.7,NA,NA
63264475,NA,24.7,NA,42.1,NA,6.55,NA,NA,NA,NA
63264476,NA,23.9,NA,5.4,NA,NA,NA,NA,NA,NA
63264477,NA,21.667,NA,10.556,NA,8.1,0,7,NA,0
