"subject_id","temp_surface_max_c","temp_surface_min_c","temp_bottom_max_c","temp_bottom_min_c","do_above_thermo_max_ppm","do_above_thermo_min_ppm","do_in_thermo_max_ppm","do_in_thermo_min_ppm","do_below_thermo_max_ppm","do_below_thermo_min_ppm"
63264732,NA,26.111,NA,13.333,7.9,8.5,0.5,4.8,NA,0
63264733,NA,23.333,NA,9.444,NA,7.2,0.5,5.1,NA,0
63264734,NA,17.778,NA,NA,NA,NA,NA,NA,NA,NA
63264735,NA,21.4,NA,18.6,5,4.7,NA,NA,NA,0
63264736,NA,NA,NA,NA,NA,8,NA,NA,0.1,3.5
63264737,NA,26.111,NA,14.444,NA,7,0,6.3,NA,0
63264738,NA,18.889,NA,14.444,2.9,4.6,NA,NA,NA,NA
63264740,NA,23.889,NA,8.889,NA,8,0,8.4,NA,0
63264741,NA,26.667,NA,11.667,NA,6,3.7,0.4,NA,0
63264742,NA,20.556,NA,15.556,NA,9.9,5,10.9,NA,1.4
63264743,NA,24.444,NA,8.8,NA,8.1,NA,NA,1.51,8.6
63264744,NA,23.889,NA,18.889,NA,NA,NA,NA,0,8.5
63264745,NA,26.667,NA,11.111,NA,7.2,0.4,3.1,NA,0.4
63264746,23.889,27.778,NA,6.111,8.2,7.5,12.9,11.9,0.4,8
63264747,NA,27.778,NA,27.222,NA,8,NA,NA,NA,NA
63264748,NA,26.111,NA,7.778,NA,NA,NA,NA,5,0.4
63264749,NA,23.722,NA,6.556,8,6.6,NA,NA,3,10.2
63264750,NA,26.667,NA,23.611,7.8,5.6,NA,NA,NA,NA
63264751,NA,25.556,NA,25,7.6,7.8,NA,NA,NA,NA
63264752,NA,27.778,NA,6.667,7.7,7.6,12,15,0,11
63264754,NA,23.333,NA,9.444,NA,NA,1.6,4.2,0.3,0.3
63264755,NA,21.667,NA,5.8,NA,10.2,NA,4.8,1.2,0.2
63264756,NA,27.778,NA,23.333,7.8,8.4,NA,NA,NA,NA
63264757,NA,26.4,NA,6.6,NA,NA,NA,NA,0.18,7.04
63264758,NA,26.111,NA,NA,NA,NA,NA,NA,0.6,1.7
63264759,NA,26,NA,11,NA,7.9,13.46,8.4,NA,NA
63264760,NA,24.444,NA,9.444,NA,NA,2.8,10.1,0.6,0.6
63264761,NA,25.111,7.222,8.778,7.6,7,NA,NA,0.4,9.8
63264763,NA,25.556,NA,7.222,NA,7.9,NA,NA,NA,3.4
63264764,NA,25.6,NA,17.2,NA,8.3,NA,NA,NA,4.8
63264765,NA,22.5,NA,9.8,0.8,7.4,NA,NA,NA,0.8
63264766,NA,23.4,NA,9.3,2.3,8.4,NA,NA,NA,NA
63264767,NA,23.4,NA,9.3,2.3,8.4,NA,NA,NA,NA
63264768,NA,22.5,NA,9.8,0.8,7.4,NA,NA,NA,0.8
63264769,NA,22.222,NA,20,NA,NA,NA,NA,NA,NA
63264770,NA,19.444,NA,20.556,NA,NA,NA,NA,NA,NA
63264771,NA,25.722,NA,9.667,NA,7.4,1.7,4.5,NA,NA
63264772,NA,24.167,NA,8.222,6.7,7.2,NA,4.1,NA,NA
63264773,NA,24.167,NA,7.889,6.5,6.8,NA,6.9,NA,NA
63264775,NA,23.889,NA,6.667,8.9,9,0.5,7.9,NA,NA
63264776,NA,23.222,NA,7.556,NA,8.3,0.5,7.8,NA,NA
63264777,NA,24.1,NA,21,NA,8.7,NA,NA,NA,NA
63264778,NA,24.1,NA,21,NA,8.7,NA,NA,NA,NA
63264779,NA,22.222,NA,17.5,NA,6.8,NA,4.2,NA,4.2
63264780,22.5,20.556,NA,8.8,7.2,7.9,NA,NA,4.1,6.1
63264781,NA,23.4,NA,11.7,6.7,7.2,NA,NA,NA,6.7
63264782,NA,21.111,NA,7.222,NA,9.1,NA,NA,0,9.9
63264783,22.5,20.556,NA,8.8,7.2,7.9,NA,NA,4.1,6.1
63264784,NA,21.111,NA,NA,NA,8.3,0.2,4.1,NA,0
63264785,NA,23.4,NA,11.7,6.7,7.2,NA,NA,NA,6.7
63264786,NA,26.889,NA,5,NA,6.3,1.6,9.1,NA,NA
63264787,NA,22.5,NA,6.056,NA,7.1,0,1.3,NA,0
63264788,NA,24.444,NA,6.5,NA,7.5,3.4,7.5,NA,NA
63264789,NA,30,NA,7.5,7.9,8.4,3.2,9.1,0,2.2
63264790,NA,25.556,NA,11.389,NA,NA,0,9.4,NA,NA
63264791,NA,23.889,NA,11.111,7.1,8.1,0,7.3,NA,0
63264792,NA,22.5,NA,6.667,NA,8.9,NA,NA,0,9.1
63264793,NA,24.556,NA,6,NA,6.4,NA,2.2,NA,NA
63264794,NA,20.556,NA,14.444,1.2,8.5,NA,NA,NA,NA
63264795,NA,24.889,NA,7.056,6.4,6.9,NA,6.3,NA,NA
63264796,NA,24.5,NA,8.5,NA,NA,NA,9.6,NA,NA
63264797,NA,25.556,NA,12.2,7.5,7.6,0.3,6.9,NA,0
63264798,NA,22.778,NA,6.667,8,8.6,NA,NA,NA,NA
63264799,NA,25.556,NA,6.111,NA,7.9,NA,NA,1.2,1.1
63264800,NA,23.611,NA,6.111,NA,NA,0,7.1,NA,0
63264801,NA,24.167,NA,11.444,NA,6.5,1.7,2.2,NA,NA
63264802,NA,23.889,NA,8.611,NA,8.7,0.6,8.1,NA,NA
63264803,NA,23.333,NA,8.167,NA,7.9,0,10.2,NA,0
63264804,20.4,20,NA,19.9,7.8,7.6,NA,NA,NA,NA
63264805,23.333,22.222,NA,19.5,6.6,7.6,NA,NA,NA,NA
63264806,22.6,21.7,14.4,12,8.1,7,NA,NA,4.1,1.4
63264807,NA,21.111,NA,NA,NA,NA,NA,NA,NA,NA
63264808,NA,15,NA,NA,NA,8,NA,NA,NA,NA
63264809,NA,19.778,NA,17.111,9,8,NA,NA,NA,NA
63264810,21.8,21,NA,9.1,9.1,7.5,NA,NA,4.5,0
63264811,18.6,18.4,17.5,17.4,NA,8,NA,NA,NA,8
63264812,NA,22.2,NA,11.3,NA,7.2,NA,NA,0.5,0
63264814,NA,22.2,NA,11.3,NA,7.2,NA,NA,0.5,0
63264815,NA,22.778,NA,22.222,8.2,8,NA,NA,NA,NA
63264816,NA,22.778,NA,22.222,8,8,NA,NA,NA,NA
63264818,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
63264819,NA,26.667,NA,NA,NA,NA,NA,NA,NA,NA
63264820,NA,22.2,NA,17.8,7.7,6.1,NA,4.3,NA,NA
63264821,NA,22.222,NA,22.6,6,5.3,NA,NA,NA,NA
63264822,NA,25.556,NA,24.444,NA,NA,NA,NA,NA,NA
63264823,NA,21.111,NA,15.389,NA,NA,NA,9.3,NA,1.2
63264824,NA,24.444,NA,11.667,NA,6.8,NA,1.4,NA,NA
63264825,NA,25.222,NA,22.111,NA,6.7,NA,NA,NA,7
63264827,NA,21.667,NA,23.278,NA,7.2,NA,NA,NA,7.2
63264830,NA,24.444,NA,8.8,8.2,8.2,NA,NA,1.5,1.5
63264831,NA,24.278,NA,9,NA,9,6.8,8.3,0.53,2
63264832,NA,23.333,NA,22.778,NA,NA,NA,NA,NA,NA
63264835,NA,27.222,NA,20.556,NA,8.2,NA,NA,NA,10.8
63264836,NA,24.5,NA,6,NA,8.2,NA,5.6,NA,NA
63264839,NA,21.111,NA,NA,NA,NA,NA,NA,NA,NA
63264841,NA,23.333,NA,NA,NA,NA,NA,NA,NA,NA
63264842,NA,23.889,NA,19.444,7.5,8,NA,NA,4,0
63264846,NA,21.111,NA,10.222,NA,8.2,15.1,8.4,NA,3.3
63264847,NA,26.667,NA,11.667,NA,6.8,NA,10,NA,0.6
63264849,NA,25.556,NA,10.278,NA,8.3,NA,NA,NA,4.2
63264850,NA,25.556,NA,11.389,NA,8,2.7,7.3,NA,0
63264851,NA,29.444,NA,NA,NA,NA,NA,NA,NA,NA
63264852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63264853,NA,28.889,NA,NA,NA,NA,NA,NA,NA,NA
63264856,NA,24.444,NA,23.333,NA,NA,NA,NA,NA,NA
63264857,NA,25.556,NA,24.444,NA,NA,NA,NA,NA,NA
63264858,NA,24.444,NA,7.778,NA,NA,NA,NA,NA,2.4
63264859,NA,22.222,NA,22.6,6,5.3,NA,NA,NA,NA
63264860,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
63264861,NA,22.778,NA,10,NA,7.2,1.1,4.6,NA,NA
63264862,NA,29.444,NA,12.8,9.7,7.8,1.9,9.7,NA,NA
63264863,NA,23.7,NA,9,NA,8,NA,NA,NA,0
63264864,NA,25,NA,12.111,NA,7.7,0.4,7.25,NA,NA
63264865,NA,23.889,NA,8.889,NA,9,4.7,10.2,NA,1.3
63264866,NA,21.111,NA,21.2,7.9,8,NA,NA,NA,NA
63264867,NA,22.222,NA,7.778,NA,8,2,8,NA,0
63264868,NA,26.111,NA,6.667,NA,9.5,1.5,8.7,NA,0
63264869,NA,23.333,NA,10.222,NA,8.4,NA,5.9,NA,0
63264870,NA,25,NA,6,NA,9.7,0,5.4,NA,0
63264871,NA,22.778,NA,5.556,8.7,10.3,NA,NA,0,6.7
63264872,NA,24.444,NA,8.889,NA,7,NA,0,NA,0
63264874,NA,25.556,NA,6.111,NA,8.8,4,8,NA,0
63264875,NA,25,NA,10.556,NA,9.5,1.1,7,NA,0
63264876,NA,28.333,NA,21.111,NA,NA,NA,NA,NA,NA
63264877,NA,24.5,NA,23.5,NA,NA,NA,NA,NA,NA
63264878,NA,24.8,NA,7.6,NA,7.7,NA,0,NA,0
63264879,NA,23.889,NA,22.222,NA,8,NA,NA,NA,NA
63264880,NA,23.889,NA,22.222,NA,8,NA,NA,NA,NA
63264881,NA,23.889,NA,15,NA,7.5,NA,7.2,NA,0
63264882,NA,28.889,NA,5,NA,6.8,NA,0,NA,0
63264883,NA,16.667,NA,11.667,NA,7.7,1.5,5.9,NA,NA
63264884,NA,25.556,NA,5,NA,8,4.5,8,NA,4.5
63264885,NA,23,NA,18.4,NA,NA,NA,NA,NA,NA
63264886,NA,31.111,NA,11.3,NA,7.6,2.2,6.2,NA,NA
63264887,NA,23.333,NA,14.8,5.8,11.3,0,5.7,NA,0
63264889,NA,22.222,NA,10,8,3,NA,1,NA,1
63264890,NA,24.444,NA,10,NA,NA,4,5.2,NA,NA
63264891,NA,22.778,NA,7.222,7.2,6.5,4,0.5,NA,0
63264892,NA,25,NA,15,7,0,NA,0,NA,0
63264893,NA,23.333,NA,6.111,NA,8,4,10.9,NA,0
63264894,28.2,25.6,8.4,7.4,7.9,6.8,NA,NA,2.25,0
63264895,24.8,23.1,11.1,10.2,7.6,7.4,NA,NA,2.5,0
63264896,20.4,20,NA,13.2,7.5,4.9,NA,NA,3.4,0
63264897,27,25.4,11.2,8.8,7.4,6.1,NA,NA,4.35,1.25
63264898,NA,23.889,NA,8.889,6,1,NA,0,NA,0
63264899,23.333,19.444,NA,5.1,NA,8.6,NA,4.2,4.2,0.3
63264900,21.667,18.889,8.889,5.556,NA,8.9,1,1,11.7,0
63264901,NA,26.111,NA,NA,NA,NA,NA,NA,NA,NA
63264902,NA,21,NA,8,9.5,9.8,9.5,5.5,NA,4.9
63264903,22.778,21.111,NA,NA,NA,9,NA,NA,NA,NA
63264904,NA,13.889,NA,NA,NA,NA,NA,NA,NA,NA
63264905,18.333,17.222,NA,NA,NA,NA,NA,NA,NA,NA
63264906,NA,21.3,NA,12,NA,NA,NA,NA,NA,NA
63264907,21.667,20,NA,6.111,8.5,8.3,13.3,8.3,10.8,3.4
63264908,26.667,25.556,NA,16.944,6,7.6,6.6,0,NA,NA
63264909,NA,21.3,NA,12,NA,NA,NA,NA,NA,NA
63264910,NA,15,NA,6.667,NA,8.6,8.6,4.2,4.2,0.67
63264911,22.778,21.111,7.1,7,8,8.2,NA,NA,0.6,11.8
63264913,NA,17.778,NA,7.778,NA,8.7,11.9,9,12.6,6
63264914,NA,13.333,NA,NA,NA,NA,NA,NA,NA,NA
63264915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63264916,23.2,21,21.7,20.8,7.8,7.1,NA,NA,7.1,7
63264919,NA,23.3,NA,9.1,NA,4.5,NA,NA,4,7.6
63264920,NA,19.9,NA,11.8,NA,7.2,NA,NA,NA,3.8
63264921,23.333,19.444,NA,5.1,NA,8.6,NA,4.2,4.2,0.3
63264922,23.8,23,18.5,8.6,7.2,7.5,NA,NA,0,0
63264923,NA,26.111,NA,12.222,8,5,3,0,NA,0
63264924,NA,18.889,NA,8.889,NA,8,7,1,NA,0
63264926,25.6,24.1,11.4,18.3,6.8,5.8,NA,NA,NA,1.85
63264927,27,25.2,9.1,7.2,8.65,7.5,NA,NA,5.1,0.25
63264928,NA,17.9,NA,14.3,NA,NA,NA,1.3,NA,NA
63264929,NA,16.111,NA,8.389,8.4,6.9,6.9,0.5,0.5,0
63264930,NA,87.778,NA,18.8,NA,NA,NA,NA,NA,NA
63264931,NA,20,NA,20,NA,8,NA,NA,NA,NA
63264932,22.1,20.3,19.2,18.18,9.3,8.9,NA,NA,NA,8.6
63264933,NA,20,NA,17.3,6.3,9.7,NA,NA,NA,NA
63264934,NA,20,NA,17.3,6.3,9.7,NA,NA,NA,NA
63264935,19.4,26,NA,7.8,6.4,6.4,NA,NA,4.2,3.51
63264936,NA,17.8,NA,10.3,NA,3.5,NA,NA,NA,0
63264937,NA,19.444,NA,8.8,NA,9.3,NA,NA,NA,0
63264938,NA,18.8,NA,8.6,NA,8.4,NA,NA,NA,3
63264939,22.1,18.6,10,5,6.9,6,NA,NA,1.5,0
63264940,NA,21.7,NA,20.7,7.7,8.4,NA,NA,NA,NA
63264941,19.8,21.2,11.2,5.3,8,6.6,NA,NA,3,0
63264942,NA,23.722,NA,6.889,NA,NA,NA,NA,NA,NA
63264943,NA,23.333,NA,20.556,6.9,7.4,NA,NA,NA,NA
63264944,21.667,19.444,NA,16.111,7.7,8.3,3.8,7.3,1.1,0.8
63264946,23.889,22.222,NA,7.778,7,1,NA,NA,NA,0
63264947,26.6,25,NA,6,NA,8.5,NA,NA,0.2,0.2
63264948,NA,24.444,NA,NA,NA,NA,NA,NA,NA,NA
63264949,NA,28.889,NA,7.778,NA,8.3,NA,NA,NA,0.4
63264950,NA,27.222,NA,8.333,NA,8.4,3,9.5,NA,0
63264951,NA,25,NA,22.778,NA,7,NA,NA,NA,NA
63264952,NA,20,NA,19,NA,9.2,NA,NA,NA,NA
63264953,NA,23.5,NA,14,7.4,3.4,NA,NA,NA,0.2
63264954,NA,26.111,NA,9.444,NA,9.4,NA,8.2,NA,7.6
63264955,NA,21.667,NA,9.444,7.7,6.7,0,7.7,NA,0
63264956,NA,21.667,NA,9.444,10.8,10.5,NA,NA,2.8,7.5
63264957,NA,21.667,NA,13.389,NA,8.95,NA,9.5,NA,1.2
63264959,NA,23.889,NA,10.3,7.9,7.7,7.8,7.2,NA,0.3
63264960,26.2,25,20.9,18.2,8.6,7.1,NA,NA,NA,NA
63264961,NA,20.556,NA,20.222,NA,5.9,NA,NA,NA,5.9
63264962,NA,27.778,NA,6.667,NA,8.3,NA,NA,NA,2.2
63264963,NA,24.444,NA,9.222,NA,9.9,4.8,9.6,NA,NA
63264964,NA,25,NA,7,NA,6.5,3.6,6.4,0.4,2.2
63264965,NA,25.556,NA,23.6,6.7,7,NA,NA,NA,NA
63264966,NA,18.333,NA,9.111,7.7,8.3,1.5,4.9,NA,0
63264967,26.667,23.889,NA,NA,9,7,8,3,NA,0
63264968,NA,22.778,NA,8.222,NA,NA,NA,NA,NA,0
63264969,NA,25.9,NA,11.6,7.6,8,0.3,6.1,NA,0
63264970,NA,20.4,13.2,12.4,9.9,5.5,NA,NA,NA,3.3
63264971,NA,26,NA,15.5,6.9,7.5,1.5,6.9,NA,NA
63264972,25,24,9.7,8.8,7.6,7.7,NA,NA,0,0.6
63264973,24.444,21.667,NA,11.2,0.5,8,NA,NA,0,3
63264974,NA,25,NA,19.8,6.8,6.5,NA,NA,NA,3.25
63264975,NA,21.6,NA,14.6,7.1,8.5,NA,NA,NA,NA
63264976,NA,8.889,NA,NA,NA,NA,NA,NA,NA,NA
63264977,NA,28.333,NA,14.4,1.8,8.1,NA,NA,NA,NA
63264978,NA,20.9,NA,18.6,NA,7.5,NA,NA,NA,0
63264979,25.556,23.333,NA,19.1,0.4,9,NA,NA,NA,NA
63264980,NA,24.9,NA,13.1,7.2,7,0.2,6.7,NA,0
63264981,22.778,22.222,NA,8.333,NA,8.8,NA,5,1.2,0.3
63264982,22.5,20,NA,10.167,NA,8.5,9.7,5,NA,NA
63264983,NA,24.444,NA,15,7.2,6.5,0,0.2,NA,0
63264984,NA,24.8,NA,6.5,9.2,8.9,NA,NA,0.5,0
63264985,NA,23.889,NA,5.556,6.9,7.3,8.2,6.9,6.9,8.2
63264986,NA,22.4,20,18.9,5,5.8,NA,NA,NA,NA
63264987,NA,23.333,NA,11.111,4.9,5.7,NA,3,NA,NA
63264988,NA,25.556,NA,16.667,2.6,6.4,NA,NA,4,3
63264989,NA,17.1,NA,5.6,NA,6.8,NA,NA,NA,2.4
63264990,NA,22,NA,12,NA,7.6,NA,NA,NA,1.9
63264991,NA,18.2,NA,10.2,NA,4,NA,NA,NA,1
63264992,NA,20.556,NA,5.833,7.6,8.5,NA,NA,NA,NA
63264993,NA,24.167,NA,20,NA,4.6,NA,NA,NA,2.8
63264994,NA,16.8,NA,7.4,NA,NA,NA,5.62,NA,NA
63264995,NA,18.1,NA,6.9,NA,4,NA,NA,NA,4
63264996,NA,23.889,NA,8.333,8.9,8.9,4.3,2.3,NA,9
63264997,23.889,23.333,10.6,7.2,7.1,6.6,NA,NA,NA,0
63264998,NA,18.5,NA,16.5,NA,9.6,NA,NA,NA,NA
63264999,NA,18.5,NA,16.5,NA,9.6,NA,NA,NA,NA
63265001,NA,15.9,NA,14.6,NA,NA,NA,NA,NA,NA
63265002,NA,21.111,NA,19.8,7.1,5.4,NA,NA,NA,NA
63265003,NA,26.111,NA,6.944,9,8,13,12,1,0
63265004,NA,23.7,NA,8.3,7.3,7,NA,NA,0.9,4.7
63265006,NA,25.333,NA,7.167,NA,7,NA,3,NA,3
63265007,NA,28,NA,4.7,0.3,3,NA,NA,2.4,0
63265008,NA,20,NA,15.1,NA,7.5,NA,NA,0,0.1
63265009,NA,26.111,NA,9.278,NA,7.8,0.5,7.3,NA,0
63265010,NA,22.667,NA,9.278,NA,8,NA,3,NA,1
63265011,NA,24.444,NA,8.889,NA,8,NA,2,NA,0
63265012,NA,26.111,NA,7.778,NA,7,NA,7,NA,3
63265013,NA,10,NA,18.2,7.25,5.4,NA,NA,NA,NA
63265014,NA,22.1,NA,22,NA,8.5,NA,NA,NA,8.5
63265015,NA,25,NA,7.778,NA,6,3,0,NA,0
63265016,NA,20.278,NA,4,NA,9,NA,NA,NA,4
63265017,NA,25.556,NA,7.2,NA,7.8,NA,NA,0.6,3.4
63265018,NA,26.111,NA,6.667,NA,NA,NA,NA,NA,NA
63265019,NA,23.222,NA,10.167,7.3,7.5,0.8,7.3,NA,0
63265020,NA,20,NA,18.889,7.75,6.9,NA,NA,NA,0
63265021,NA,19.8,NA,18.9,NA,4.1,NA,NA,NA,NA
63265022,NA,19.8,NA,18.9,NA,4.1,NA,NA,NA,NA
63265024,23.1,20.9,7.7,7.2,9.8,7.9,NA,NA,0.6,0
63265025,NA,27.056,NA,8.111,NA,8.8,1.6,8.6,0,1.6
63265027,NA,27.056,NA,NA,NA,8.8,1.6,8.6,0,1.6
63265028,NA,27,NA,22.7,7.5,7.4,NA,NA,NA,6.3
63265029,23.889,21.111,21.111,20,10.5,8.9,NA,NA,NA,NA
63265030,NA,25.556,NA,23,6.97,6.11,NA,NA,NA,6.11
63265031,22.4,21.7,12.6,12.2,8.6,7.8,NA,NA,3.2,7.8
63265032,NA,25.556,NA,23,6.97,6.11,NA,NA,NA,6.11
63265033,NA,20.9,NA,20,7.3,5.5,NA,NA,5.5,0.6
63265034,NA,26.667,NA,21.7,6.2,5,NA,NA,NA,NA
63265035,NA,25,NA,11.111,4.9,6.4,NA,NA,0,1.9
63265036,NA,20.9,NA,20,7.3,5.5,NA,NA,5.5,0.6
63265037,23.889,21.111,23.333,21.111,11.9,7.35,NA,NA,NA,NA
63265038,NA,23.5,NA,22,NA,NA,NA,NA,NA,NA
63265039,NA,24.444,NA,5.556,8,7,NA,NA,NA,3
63265040,23.889,21.111,23.333,21.111,11.9,7.35,NA,NA,NA,NA
63265041,NA,24,NA,23,4.7,4.5,NA,NA,NA,NA
63265043,NA,20.5,NA,9.9,NA,8.1,NA,NA,8.1,0
63265044,23.2,22.6,15.6,8.9,6.8,4.3,NA,NA,0,0
63265045,NA,21.111,NA,7.222,10.2,11,11.2,12.4,0.3,7.8
63265046,19.8,19.7,NA,NA,8.1,8.7,NA,NA,NA,NA
63265047,NA,15,NA,8.8,NA,8.8,NA,0.5,NA,NA
63265048,NA,22.778,NA,10.4,NA,7.5,NA,NA,0.3,2
63265049,NA,24.5,NA,7.9,NA,7.53,NA,NA,1.03,5.82
63265050,NA,22.222,NA,6.111,8.4,10.5,11.8,8.6,0.1,8
63265051,NA,16.667,NA,NA,NA,NA,NA,NA,NA,NA
63265052,NA,22.778,NA,5.556,10,9.7,9.9,12.6,0.4,9.9
63265053,NA,18.889,NA,17.778,10,8,NA,NA,NA,NA
63265054,NA,22.4,NA,16.4,5.4,5,1.1,5,NA,NA
63265055,NA,21.667,NA,13.333,NA,8.1,3.4,7.1,NA,0
63265056,NA,20,NA,NA,9,7,NA,NA,NA,0
63265057,NA,23.889,NA,NA,NA,NA,NA,NA,NA,NA
63265058,NA,21.667,NA,13.333,NA,8.1,3.4,7.1,NA,0
63265059,NA,22.222,NA,5.556,8.2,8.1,NA,NA,2.4,0
63265060,23.333,21.667,NA,21.667,7.8,8.7,NA,NA,NA,NA
63265061,NA,23.889,NA,13.889,7.6,7.4,NA,NA,NA,NA
63265062,NA,22.5,NA,21.667,8.1,7.6,NA,NA,NA,NA
63265063,NA,22.778,NA,5.556,NA,NA,0.5,6.7,NA,0
63265064,19.3,18.9,NA,5,8.8,9,0.2,8.7,NA,0
63265065,NA,17.778,NA,10.222,8.7,9.2,NA,NA,NA,1.1
63265066,19.6,18.9,NA,4.8,7.9,8.6,0,7.9,NA,0
63265067,NA,20.389,NA,11.611,NA,8.2,5.4,0.1,NA,NA
63265068,NA,16.9,8.2,8.6,7,8,0,0.4,NA,NA
63265069,NA,23.889,NA,9.6,NA,9.3,0.4,9.1,NA,NA
63265070,NA,21.667,NA,14.2,NA,8.3,NA,NA,4.2,4.2
63265071,NA,21.556,NA,7,NA,NA,0,4.1,NA,NA
63265072,NA,24.2,NA,24,NA,7.8,0.5,7.5,NA,0
63265073,NA,21.667,NA,10,NA,7.4,0.7,7.7,NA,0.3
63265074,NA,25.556,NA,5.7,NA,8.9,0.1,8.8,NA,0
63265075,NA,23.333,NA,6.222,3.9,11.9,3.9,11.9,NA,0.25
63265076,NA,26.111,NA,15,NA,5,NA,8,NA,6
63265077,21.667,21.111,20,19.444,9.2,8.4,NA,NA,5.3,3.3
63265078,NA,23.333,NA,NA,NA,NA,NA,NA,NA,NA
63265079,NA,23.889,NA,18.6,9.8,10.1,NA,NA,NA,NA
63265081,NA,22,NA,11.7,8.6,4.6,NA,NA,2.8,4.2
63265082,NA,21.111,NA,5.556,1,8,8,1,1,0
63265084,NA,22.222,NA,8.333,7.2,6,0.6,7,NA,6
63265086,NA,27.778,NA,21.667,NA,1,NA,NA,NA,NA
63265087,NA,22.222,NA,14.444,NA,9,NA,8,NA,6
63265088,NA,23.333,NA,21.667,7.5,4,NA,NA,NA,NA
63265089,NA,21.2,NA,20.7,9.6,9.8,NA,NA,NA,NA
63265090,NA,22.222,NA,16.889,NA,NA,NA,NA,NA,NA
63265091,NA,23.333,NA,20.556,10,9,NA,NA,NA,NA
63265093,NA,21.111,NA,20.556,NA,7.5,NA,NA,NA,NA
63265094,NA,23.333,NA,NA,NA,NA,NA,NA,NA,NA
63265095,NA,19.444,NA,18.889,NA,7,NA,NA,NA,NA
63265098,NA,22.778,NA,22.222,NA,7.5,NA,NA,NA,NA
63265099,NA,23.333,NA,22.222,NA,7.4,NA,NA,NA,NA
63265101,NA,11.667,NA,11.667,NA,8,NA,NA,NA,NA
63265102,NA,23.333,NA,15.556,NA,NA,NA,NA,NA,NA
63265103,NA,17.222,NA,NA,NA,NA,NA,NA,NA,NA
63265105,NA,22.222,NA,14.9,NA,NA,NA,NA,NA,NA
63265106,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA
63265107,NA,19.444,NA,16.111,NA,8,NA,NA,NA,NA
63265108,NA,15.556,NA,NA,NA,NA,NA,NA,NA,NA
63265109,NA,NA,NA,6.6,6.8,6.2,7.4,6.8,0,1.2
63265110,NA,28.889,NA,13.889,6,4.5,NA,NA,NA,NA
63265112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63265113,NA,23.889,NA,NA,NA,NA,NA,NA,NA,NA
63265114,NA,21.111,NA,13.889,NA,NA,NA,NA,NA,NA
63265115,NA,20,NA,5,NA,7,5,2,NA,0
63265116,NA,21.667,NA,3.333,9,8,11,10,8,7
63265117,NA,27.778,NA,7.778,NA,5,NA,5,NA,0
63265118,NA,22.222,NA,13.333,NA,8,NA,NA,1,0
63265119,NA,21.667,NA,3.889,NA,9,NA,9,NA,8.5
63265121,NA,21.8,NA,9.2,8.6,7,5,8.6,2,5
63265122,NA,15.556,NA,NA,NA,NA,NA,NA,NA,NA
63265123,NA,17.222,NA,7.222,NA,10,NA,5,1,0
63265124,NA,23.8,NA,10,NA,9.4,NA,7,1.5,3.8
63265125,NA,21.667,NA,13.889,NA,9,NA,11,NA,13
63265127,NA,25,NA,6.6,1.9,6.9,NA,NA,0,0
63265128,NA,19.444,NA,17.778,NA,7.8,NA,NA,NA,NA
63265129,NA,24.444,NA,15,5.8,5.2,0.5,5.8,NA,5
63265130,NA,25.556,NA,17.2,7.1,8.5,NA,NA,NA,1.6
63265132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63265133,NA,11.111,NA,NA,NA,NA,NA,NA,NA,NA
63265134,NA,26.111,NA,8.333,13,7.3,NA,NA,NA,NA
63265137,NA,23.889,NA,NA,NA,NA,NA,NA,NA,NA
63265138,NA,21.111,NA,10,8,7,7,1,NA,0
63265139,NA,14.2,NA,14.2,NA,NA,NA,NA,NA,NA
63265140,NA,15.556,NA,5,NA,NA,NA,5.2,0,0
63265141,NA,22.222,NA,20,NA,NA,NA,NA,NA,NA
63265142,NA,23.333,NA,NA,NA,NA,NA,NA,NA,NA
63265143,NA,18.889,NA,16.667,NA,NA,NA,NA,NA,NA
63265144,NA,19.444,NA,7.778,NA,8,1,8,1,0
63265145,NA,19.444,NA,7.722,NA,10,NA,NA,NA,0.48
63265146,NA,23.8,NA,NA,NA,8.8,NA,7.8,NA,3.2
63265147,21.111,19.444,NA,11.5,NA,8,NA,NA,NA,0.1
63265148,NA,26.667,NA,11.667,NA,7,NA,2,NA,1.1
63265149,NA,23.333,NA,13.333,NA,8,8,0,NA,NA
63265151,NA,20,20,19.444,NA,NA,NA,NA,NA,NA
63265154,NA,20.2,NA,8.6,7.2,6.4,0,6.4,NA,0
63265155,17.778,16.111,NA,NA,NA,NA,NA,NA,NA,NA
63265156,NA,20.556,NA,20,NA,NA,NA,NA,NA,NA
63265157,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
63265158,NA,23.333,NA,NA,8.6,7.8,1.3,0.5,NA,NA
63265160,NA,24.444,NA,NA,NA,NA,NA,NA,NA,NA
63265161,NA,26,NA,25,NA,NA,NA,NA,NA,NA
63265163,NA,23.9,NA,19.1,7.2,7.4,NA,NA,NA,7.1
