"subject_id","thermocline_loc_min_m","thermocline_loc_max_m","flag_bottom","thermocline_present"
63265808,9.144,11.887,NA,"yes"
63265810,3.657,7.62,NA,"yes"
63265811,5.181,7.924,NA,"yes"
63265814,3.048,6.705,NA,NA
63265816,3.657,7.62,NA,"yes"
63265817,NA,NA,NA,NA
63265819,2.438,9.144,NA,"yes"
63265820,6.096,10.667,NA,"yes"
63265821,1.829,5.486,NA,"yes"
63265834,4.572,7.62,NA,"yes"
63265836,3.048,7.62,NA,"yes"
63265840,6.096,NA,NA,NA
63265841,2.133,3.962,NA,"yes"
63265843,3.048,NA,NA,NA
63265844,2.743,10.667,NA,NA
63265846,3.048,8.382,NA,"yes"
63265847,NA,NA,NA,NA
63265848,4.419,3.657,NA,"yes"
63265849,4.572,9.144,NA,NA
63265850,7.62,10.667,NA,NA
63265851,NA,NA,NA,"no"
63265853,6.705,10.667,NA,NA
63265854,3.81,9.144,"yes","yes"
63265855,2.286,6.096,NA,"yes"
63265856,3.048,7.62,NA,"yes"
63265857,NA,NA,NA,NA
63265858,4.572,NA,NA,NA
63265859,6.096,NA,NA,"yes"
63265864,NA,NA,NA,NA
63265867,4.572,9.144,NA,NA
63265869,NA,NA,NA,NA
63265872,2.743,4.572,NA,NA
63265873,3.657,4.572,NA,NA
63265874,2.743,4.572,NA,NA
63265875,7.62,9.144,NA,NA
63265876,NA,NA,NA,NA
63265879,NA,NA,NA,"no"
63265885,5.486,10.058,NA,NA
63265886,4.572,10.667,NA,"yes"
63265890,NA,NA,NA,NA
63265892,6.096,10.667,NA,"yes"
63265894,3.353,5.791,"yes","yes"
63265898,NA,NA,NA,NA
63265900,NA,NA,NA,NA
63265901,NA,NA,NA,NA
63265907,5.486,7.315,NA,"yes"
63265911,3.048,9.144,NA,NA
63265913,6.4,8.839,NA,"yes"
63265914,NA,NA,NA,NA
63265916,3.048,9.144,NA,NA
63265920,NA,NA,NA,NA
63265921,NA,NA,NA,NA
63265922,NA,NA,NA,"no"
63265923,NA,NA,NA,NA
63265926,3.962,5.791,"yes",NA
63265931,13.715,15.239,NA,"yes"
63265932,3.048,9.144,NA,NA
63265934,NA,NA,NA,NA
