"subject_id","dam_height_min_m","dam_height_max_m"
63265144,NA,NA
63265222,NA,NA
63265239,NA,NA
63265246,NA,NA
63265251,NA,NA
63265265,1.524,NA
63265270,NA,NA
63265277,NA,NA
63265286,NA,NA
63265288,NA,NA
63265312,NA,NA
63265313,NA,NA
63265316,NA,NA
63265318,0.406,NA
63265320,NA,NA
63265325,NA,NA
63265329,NA,NA
63265346,NA,NA
63265363,NA,NA
63265366,NA,NA
63265371,NA,NA
63265377,NA,NA
63265382,NA,NA
63265392,NA,NA
63265396,NA,NA
63265398,NA,NA
63265431,NA,NA
63265439,NA,NA
63265442,NA,NA
63265454,0.457,NA
63265492,0.457,NA
63265495,NA,NA
63265506,NA,NA
63265507,1.829,2.438
63265508,1.219,NA
63265542,NA,NA
63265544,NA,NA
63265553,NA,NA
63265568,3.048,3.657
63265580,0.914,1.219
63265606,NA,NA
63265630,NA,NA
63265632,NA,NA
63265638,0.457,NA
63265640,NA,NA
63265643,6.096,NA
63265656,0.102,0.152
63265661,NA,NA
63265692,NA,NA
63265697,0.914,NA
63265700,NA,NA
63265704,NA,NA
63265714,0.508,NA
63265747,NA,NA
63265755,NA,NA
63265771,1.524,NA
63265784,NA,NA
63265798,NA,NA
63265805,0.61,NA
63265849,NA,NA
63265874,NA,NA
63265898,NA,NA
63265918,NA,NA
63265938,NA,NA
63265953,NA,NA
63266000,NA,NA
63266015,NA,NA
63266019,NA,NA
63266021,NA,NA
63266033,NA,NA
63266061,NA,NA
63266079,NA,NA
