"subject_id","front","back"
48697702,"https://panoptes-uploads.zooniverse.org/subject_location/1492c37c-6131-459c-b4fd-8c4072532b58.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/5e081867-71f3-4acd-b318-bc5dce2bf2e3.jpeg"
48697709,"https://panoptes-uploads.zooniverse.org/subject_location/b2e3c961-3b03-426f-87e4-ea2608ffba0d.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/5bffacc3-7ef0-4a58-9bbb-724c5e246be2.jpeg"
48697712,"https://panoptes-uploads.zooniverse.org/subject_location/08135b85-c546-4c98-8213-2a5e6211c6ca.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/e3030ea5-7ba9-459c-bd77-b336ca78ede3.jpeg"
48697714,"https://panoptes-uploads.zooniverse.org/subject_location/934d5a5f-f9d4-43e6-9de8-016b293e0adf.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/d60823b1-f42d-4029-9422-6ba406af5fbe.jpeg"
48697718,"https://panoptes-uploads.zooniverse.org/subject_location/587bce8a-e790-4d5a-a5df-ff30be1ee9af.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/46d2fbbe-7131-4a32-be8f-2c864dbf443f.jpeg"
48697720,"https://panoptes-uploads.zooniverse.org/subject_location/88272334-74eb-499e-b437-63e61f4f5465.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/a2ca8cae-0d4c-4f38-ba6b-edaa5e38a8c8.jpeg"
48697723,"https://panoptes-uploads.zooniverse.org/subject_location/8a518f1e-d8e0-4a2b-b290-8fa50dc2d218.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/a36ad7ae-51a5-4227-97b7-ab4535ba9c02.jpeg"
48697724,"https://panoptes-uploads.zooniverse.org/subject_location/b59bd2e9-148e-4497-8aa0-4825193346d6.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/0f5e650a-8c51-425b-9d23-d5d185ea71a0.jpeg"
48697725,"https://panoptes-uploads.zooniverse.org/subject_location/090e1b4a-6fe2-4745-b4f3-be3c6eb57eb1.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/14273c34-9e37-4694-a0ee-023744a9f904.jpeg"
48697726,"https://panoptes-uploads.zooniverse.org/subject_location/d438af02-61c2-48fe-b894-aa05bad24f6f.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/fc3880f1-ad81-4790-aa9c-62f0556028b2.jpeg"
48697727,"https://panoptes-uploads.zooniverse.org/subject_location/0b3f4013-f1c4-4fa9-b590-f72cf4a9f0bc.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/5baf5918-01c0-47a7-b5e8-53eccda33ec4.jpeg"
48697728,"https://panoptes-uploads.zooniverse.org/subject_location/9b7c50ff-71e9-42ef-8a0d-ec348cd84c24.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/34ef699a-2c5a-40e8-967f-40fbc8970cb3.jpeg"
48697731,"https://panoptes-uploads.zooniverse.org/subject_location/a2c91999-f6bc-4891-a721-cf7c288c8518.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/48a94af5-e813-4ff5-9662-fd10ba80409d.jpeg"
48697733,"https://panoptes-uploads.zooniverse.org/subject_location/73c055ba-7971-4836-a2e1-989e6038658c.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/cb41bb92-490c-4090-9ef6-47f6e623f443.jpeg"
48697734,"https://panoptes-uploads.zooniverse.org/subject_location/460bde93-acf2-43c8-b3ae-976f6c6900ab.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/1ff2aa70-22e7-4b56-9430-1c286eb68313.jpeg"
48697735,"https://panoptes-uploads.zooniverse.org/subject_location/5056ad71-290c-4fee-b5dd-0be5e0891238.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/1619f597-cae8-425e-a083-de0237b43a56.jpeg"
48697737,"https://panoptes-uploads.zooniverse.org/subject_location/98adc66c-011b-4e3e-bfa4-25682be1cb40.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/4144b0fc-8d26-461a-8a9f-0b160e74e090.jpeg"
48697739,"https://panoptes-uploads.zooniverse.org/subject_location/2cbc014a-50a9-4599-ab21-4edb39683d8a.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/917a0e81-c023-40ee-9b3c-90d51aa74d31.jpeg"
48697741,"https://panoptes-uploads.zooniverse.org/subject_location/dc9b4ab8-2e04-4fe1-9773-b722bca31f3f.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/a0907258-d8b7-43a4-8d30-bace2ee0ca17.jpeg"
48697742,"https://panoptes-uploads.zooniverse.org/subject_location/5e2eb6c7-d6ae-4deb-a0cc-bee52a16e2cf.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/663a35ca-d396-4537-b86b-633ca6bc3521.jpeg"
48697744,"https://panoptes-uploads.zooniverse.org/subject_location/73084172-b67f-47e0-98c8-abe119aa4815.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/777267c0-a480-4ab1-8d20-9e887a0d10de.jpeg"
48697746,"https://panoptes-uploads.zooniverse.org/subject_location/4c36e757-d357-4676-81df-6c7d16802cd1.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/251d3ddb-452d-4e1d-a737-01f382055586.jpeg"
48697748,"https://panoptes-uploads.zooniverse.org/subject_location/977b4c4b-2786-4cc1-ba40-409ad4648018.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/a108a998-ee0c-4555-b8d7-b900b707bafc.jpeg"
48697749,"https://panoptes-uploads.zooniverse.org/subject_location/87be7174-1859-428a-bb9f-d69bc526a4d5.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/c08489a7-84c9-4861-a8a7-c8b0fbadf213.jpeg"
48697750,"https://panoptes-uploads.zooniverse.org/subject_location/cbe09a57-84c1-43d4-8577-79dd42ab31ae.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/8653aa56-2887-489b-a1ed-ecd056cfc647.jpeg"
48697751,"https://panoptes-uploads.zooniverse.org/subject_location/3ab2bd4a-0bbb-43ed-9128-831d43dd644e.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/fbb13926-6aac-4df3-ae45-e48bac815fea.jpeg"
48697752,"https://panoptes-uploads.zooniverse.org/subject_location/953ca893-f025-4aaa-8576-dfa1c141e3e1.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/2f48e0a8-3642-4222-93a3-322f02ef7303.jpeg"
48697929,"https://panoptes-uploads.zooniverse.org/subject_location/8757e71a-7191-4742-9760-d44e94095745.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/5e8c47bd-f36d-4262-b2fb-6060596ade12.jpeg"
48697936,"https://panoptes-uploads.zooniverse.org/subject_location/d3762408-9f70-4e3d-af5a-5e45248f5ef7.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/f723151c-de87-4dba-ab7f-345c8e8801d8.jpeg"
48697940,"https://panoptes-uploads.zooniverse.org/subject_location/bb1405e6-f4e0-45ca-a2ae-76e73c72b653.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/f61eb656-490c-48ac-acd9-61c13e628166.jpeg"
48697942,"https://panoptes-uploads.zooniverse.org/subject_location/9611d9fc-0f3c-40ec-8d05-bdc948396239.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/b89aea9b-aa27-4810-875b-ea80e50b23ee.jpeg"
48697946,"https://panoptes-uploads.zooniverse.org/subject_location/136bc080-383e-420f-a418-ebd1a0f4b83f.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/f88b4c6f-95f8-449f-afb2-0dcfb42e6d65.jpeg"
48697948,"https://panoptes-uploads.zooniverse.org/subject_location/e029772c-d37a-4c7a-bc4d-0703c5ffa56e.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/b0d802df-0baf-4ae7-83de-74968088ffed.jpeg"
48697949,"https://panoptes-uploads.zooniverse.org/subject_location/19e49ae3-e0f7-4f12-a24a-8110f626cf7b.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/12d19ed9-fd4f-4d63-a21d-dd6b472c994d.jpeg"
48697952,"https://panoptes-uploads.zooniverse.org/subject_location/8eb4eefa-5835-4d7a-8875-dcc7a6cfe355.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/ff77ada7-460e-4249-8d04-56d5d6623de7.jpeg"
48697953,"https://panoptes-uploads.zooniverse.org/subject_location/5ba2d0fa-bdee-4055-8000-c44f2b9ca9ad.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/cf4ff145-8f0b-4de7-b34a-a46dd1ec74d4.jpeg"
48697954,"https://panoptes-uploads.zooniverse.org/subject_location/f38631ac-2c7e-498a-8194-4ad4f8898ff8.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/061a7d8a-59f7-48f2-a2f8-95c32f2610dc.jpeg"
48697955,"https://panoptes-uploads.zooniverse.org/subject_location/01ae4262-921b-4bfe-b0f0-5500090c5481.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/55e765c1-a645-4ace-8ca3-563c718ebced.jpeg"
48697957,"https://panoptes-uploads.zooniverse.org/subject_location/34c6a022-a777-45af-89b9-eddfea591ebc.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/5b40e2a0-eb3a-4fda-90b5-2ed1b078f026.jpeg"
48698155,"https://panoptes-uploads.zooniverse.org/subject_location/813b2af0-4078-43bd-a8c7-d55e17040e4d.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/85c00cd5-4152-4c5d-b689-ff3e4fac5d5b.jpeg"
48698161,"https://panoptes-uploads.zooniverse.org/subject_location/024b3b54-6a62-40b7-adc1-9c1069fa0f1f.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/8be6fe0d-9fa9-4e46-a1c3-59e8f1b2b86b.jpeg"
48698167,"https://panoptes-uploads.zooniverse.org/subject_location/32720b3b-1f9f-4f23-8a33-5d47583fbea2.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/94e812d5-7c25-4068-b43c-1eebc1378fd6.jpeg"
48698171,"https://panoptes-uploads.zooniverse.org/subject_location/3391d177-bc51-45bc-bb55-1075c7b6df40.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/a573f279-0c32-4ad8-9ddc-f2e94cd8c451.jpeg"
48698174,"https://panoptes-uploads.zooniverse.org/subject_location/cd211f8c-4ac0-4997-b342-7cf15ff2465f.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/a5c6ee72-2922-4d2c-817b-d122458f0b99.jpeg"
48698179,"https://panoptes-uploads.zooniverse.org/subject_location/b9b28df9-3223-45f4-b0f4-b23c4d5467e2.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/7f94c515-651c-4c95-a210-0578441faf22.jpeg"
48698186,"https://panoptes-uploads.zooniverse.org/subject_location/190a0d02-1056-4a23-b079-0b9afccb1ca7.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/6dbdd246-45db-4513-81a9-ea76c669e5e5.jpeg"
