"subject_id","project_id","workflow_id","subject_set_id","metadata","locations","classifications_count"
58642450,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313151715951_0003.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0003.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0003.jpeg""}",4
58642451,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313151715951_0004.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0004.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0004.jpeg""}",4
58642452,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313151715951_0007.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0007.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0007.jpeg""}",4
58642453,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313151715951_0005.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0005.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0005.jpeg""}",4
58642454,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313151715951_0006.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0006.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0006.jpeg""}",4
58642455,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313151715951_0008.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0008.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0008.jpeg""}",4
58642457,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313152044534_0010.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152044534_0010.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152044534_0010.jpeg""}",4
58642458,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313152044534_0011.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152044534_0011.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152044534_0011.jpeg""}",4
58642459,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313152123646_0001.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0001.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0001.jpeg""}",4
58642460,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313151715951_0009.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0009.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0009.jpeg""}",4
58642461,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313152123646_0002.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0002.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0002.jpeg""}",5
58642462,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313152123646_0004.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0004.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0004.jpeg""}",4
58642463,9462,17792,93210,"{""id"":""Keweenaw_Clear_FISHc_20200313152838133_0004.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0004.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0004.jpeg""}",4
58642464,9462,17792,93210,"{""id"":""Keweenaw_Bailey_FISHc_20200313152123646_0003.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0003.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0003.jpeg""}",4
58642465,9462,17792,93210,"{""id"":""Keweenaw_Clear_FISHc_20200313152838133_0006.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0006.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0006.jpeg""}",4
58642466,9462,17792,93210,"{""id"":""Keweenaw_Clear_FISHc_20200313152838133_0005.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0005.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0005.jpeg""}",6
58642467,9462,17792,93210,"{""id"":""Keweenaw_Clear_FISHc_20200313152838133_0008.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0008.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0008.jpeg""}",6
58642468,9462,17792,93210,"{""id"":""Keweenaw_Eliza_FISHc_20200313154627930_0001.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154627930_0001.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154627930_0001.jpeg""}",6
58642469,9462,17792,93210,"{""id"":""Keweenaw_Clear_FISHc_20200313152838133_0007.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0007.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0007.jpeg""}",4
58642470,9462,17792,93210,"{""id"":""Keweenaw_Eliza_FISHc_20200313154525513_0001.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154525513_0001.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154525513_0001.jpeg""}",4
58642471,9462,17792,93210,"{""id"":""Keweenaw_Eliza_FISHc_20200313154627930_0002.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154627930_0002.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154627930_0002.jpeg""}",4
58642472,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155651942_0014.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155651942_0014.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155651942_0014.jpeg""}",4
58642474,9462,17792,93210,"{""id"":""Keweenaw_Eliza_FISHc_20200313154627930_0003.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154627930_0003.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154627930_0003.jpeg""}",5
58642475,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155651942_0012.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155651942_0012.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155651942_0012.jpeg""}",4
58642476,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155651942_0013.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155651942_0013.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155651942_0013.jpeg""}",5
58642477,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0005.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0005.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0005.jpeg""}",4
58642478,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0007.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0007.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0007.jpeg""}",4
58642479,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0006.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0006.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0006.jpeg""}",5
58642480,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0008.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0008.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0008.jpeg""}",5
58642481,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0009.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0009.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0009.jpeg""}",4
58642482,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0010.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0010.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0010.jpeg""}",6
58642483,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0011.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0011.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0011.jpeg""}",4
58642484,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0013.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0013.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0013.jpeg""}",4
