card_name,age_group,number_of_fish,length_range,mean_length,comments
Iron_PaintEast_GROW_022,7,2,34.6-36.0,35.3,
Iron_PaintEast_GROW_022,8,1,36.3,36.3,
Iron_PaintPond_GROW_010.jpg,0,13,9.0-11.1,10,
Iron_PaintPond_GROW_010.jpg,2,3,19.8-28.1,23.6,
Iron_PaintPond_GROW_014.jpg,0,25,9.8-13.1,11.5,
Iron_PaintPond_GROW_014.jpg,1,1,19.1,19.1,
Iron_PaintPond_GROW_014.jpg,2,1,24.5,24.5,
Iron_PaintPond_GROW_014.jpg,3,5,23.8-30.5,27.2,
Iron_PaintPond_GROW_014.jpg,4,1,32.1,32.1,
Iron_PaintPond_GROW_019.jpg,0,7,10.0-12.6,10.7,
Iron_PaintPond_GROW_019.jpg,1,6,16.-18.7,17.7,
Iron_PaintPond_GROW_019.jpg,2,4,20.2-23.9,22.1,
Iron_PaintPond_GROW_023.jpg,0,0,10.2-12.6,11.2,
Iron_PaintPond_GROW_023.jpg,1,9,15.5-19.3,17.3,
Iron_PaintPond_GROW_023.jpg,2,1,22.5,22.5,
Iron_PaintPond_GROW_023.jpg,4,4,26.8-27.6,27,
Iron_PaintPond_GROW_023.jpg,5,1,31.2,31.2,
Iron_Stanley_GROW_035.jpg,6,1,32.5,32.5,
Iron_Stanley_GROW_035.jpg,7,1,33.6,33.6,
Iron_Stanley_GROW_046.jpg,0,4,7.3-9.4,8.1,
Iron_Stanley_GROW_046.jpg,1,4,16.2-17.2,16.8,
Iron_Stanley_GROW_046.jpg,2,1,25.4,25.4,
Iron_Stanley_GROW_046.jpg,3,1,29.5,29.5,
Iron_Stanley_GROW_050.jpg,0,8,7.0-13.0,9.1,
Iron_Stanley_GROW_050.jpg,1,5,17.5-19.0,18.4,
Iron_Stanley_GROW_055.jpg,1,3,12.0-12.8,12.4,
Iron_Stanley_GROW_055.jpg,2,1,19.3,19.3,
Iron_Stanley_GROW_055.jpg,3,2,28.0-29.8,28.9,
Iron_Stanley_GROW_060.jpg,0,1,9.4-12.0,10.3,
Iron_Stanley_GROW_060.jpg,1,2,19.8-19.8,19.8,
Iron_Stanley_GROW_060.jpg,3,7,25.3-29.6,28.3,
Iron_Stanley_GROW_060.jpg,6,1,38.5,38.5,
Lapeer_Long8N_10E_S18_FISHc_002.jpg,8,1,45,45,
Lenawee_Hudson()_GROW_005.jpg,2,7,26.0-27.9,27,
Luce_MudMcMillan_FISHs_003.jpg,9,1,46.75,46.75,
Mackinac_Brevort_GROW_004.jpg,8,5,965-1067,1003,mm
Mackinac_Brevort_GROW_004.jpg,9,2,1062-1143,1102,
Mackinac_Brevort_GROW_157.jpg,11,1,54.5,54.5,
Mackinac_Brevort_GROW_361.jpg,8,1,,40.7,
Mackinac_BrevortLittle_GROW_002.jpg,2,1,51.5,51.5,
Midland_Sanford_GROW_035.jpg,2,1,16.9,16.9,
Otsego_Bear_GROW_076.jpeg,2,14,24.8-30.4,29.6,
Ottawa_Macatawa_GROW_18.jpeg,8,1,43,NA,
Ottawa_Macatawa_GROW_18.jpeg,9,NA,NA,NA,
Ottawa_Macatawa_GROW_18.jpeg,10,2,45,NA,
Ottawa_Macatawa_GROW_20.jpeg,8,1,43,NA,very similar to other card but muskie and walleye data flipped
Ottawa_Macatawa_GROW_20.jpeg,9,,NA,NA,very similar to other card but muskie and walleye data flipped
Ottawa_Macatawa_GROW_20.jpeg,10,2,45,NA,very similar to other card but muskie and walleye data flipped
Ottawa_Macatawa_GROW_095.jpeg,3,1,344,344,mm      
Schoolcraft_BigIsland_GROW_008.jpeg,2,1,20.5,20.5,
Schoolcraft_Crooked_GROW_026.jpeg,3,1,21.2,21.2,
Schoolcraft_Indian_GROW_007.jpeg,4,1,41,NA,
Schoolcraft_McKeever_GROW_010.jpeg,3,2,25.5-31.2,28.4,
Schoolcraft_McKeever_GROW_010.jpeg,4,1,33,33,
Schoolcraft_McKeever_GROW_010.jpeg,5,1,30.1,30.1,
Schoolcraft_McKeever_GROW_022.jpeg,3,2,24.1-24.7,24.4,
StJoseph_Clear_GROW_34.jpeg,3,1,29.6,NA,
Tuscola_Murphy_GROW_005.jpeg,5,8,27.1-34.3,30.5,
Tuscola_Murphy_GROW_010.jpeg,6,2,31.2-34.5,32.8,Male
Tuscola_Murphy_GROW_010.jpeg,3,1,25.7,25.7,Male
Tuscola_Murphy_GROW_010.jpeg,4,7,23.4-26.7,25.3,Female
Tuscola_Murphy_GROW_010.jpeg,4,8,26.8-30.7,28.5,Male
Tuscola_Murphy_GROW_010.jpeg,4,8,26.8-30.7,27,Female
Tuscola_Murphy_GROW_010.jpeg,5,2,27.2,27.2,Male
Tuscola_Murphy_GROW_010.jpeg,5,1,23.4-30.7,27,Female
Tuscola_Murphy_GROW_010.jpeg,7,2,40.5,40.5,Female
Tuscola_Murphy_GROW_011.jpeg,3,1,20.8,20.8,male
Tuscola_Murphy_GROW_011.jpeg,3,2,21.2-23.2,22.2,immature
Tuscola_Murphy_GROW_011.jpeg,4,27,20.1-27.6,25,male
Tuscola_Murphy_GROW_011.jpeg,4,7,21.5-28.2,25.3,immature
Tuscola_Murphy_GROW_011.jpeg,5,2,25.7-31.8,28.8,male
Tuscola_Murphy_GROW_011.jpeg,5,4,34.7-28.5,36.8,female
Tuscola_Murphy_GROW_011.jpeg,5,3,25.8-27.5,26.5,Immature
VanBuren_Bakersons_GROW_007.jpeg,1,7,6.5,16.5,
VanBuren_Bakersons_GROW_007.jpeg,3,3,22.3-27.5,24.4,
VanBuren_Bakersons_GROW_007.jpeg,4,30,27.9-32.7,30.7,
VanBuren_Bakersons_GROW_007.jpeg,5,15,29.7-34.6,33.2,
VanBuren_Bakersons_GROW_007.jpeg,6,29,33.3-39.2,35.2,
VanBuren_Bakersons_GROW_007.jpeg,7,29,33.6-42.0,37.8,
VanBuren_Bakersons_GROW_007.jpeg,8,4,37.5-42.2,39.8,
VanBuren_Bakersons_GROW_008.jpeg,4,1,36.5,36.5,
VanBuren_Bakersons_GROW_008.jpeg,5,1,30.6,30.6,
VanBuren_Bakersons_GROW_015,3,11,26.0-34.0,30.7,
VanBuren_Bakersons_GROW_015,4,16,29.7-34.8,32.6,
VanBuren_Bakersons_GROW_015,5,3,34.0-37.2,35.8,
VanBuren_Bakersons_GROW_016,1,1,10.4,15.7,
VanBuren_Bakersons_GROW_016,3,8,24.9-28.8,25.4,
VanBuren_Bakersons_GROW_016,4,91,28.6-36.2,31.9,
VanBuren_Bakersons_GROW_016,6,6,36.2-39.0,36.8,
VanBuren_Bakersons_GROW_016,7,2,39.0-40.1,39.2,
VanBuren_Bakersons_GROW_016,8,2,44.2-44.9,41.7,
VanBuren_Bakersons_GROW_028,6,1,33.6,,from note on the back of the card
VanBuren_Bakersons_GROW_029,6,1,36,36,
VanBuren_Bakersons_GROW_036,2,2,26.6-27.9,27.2,
VanBuren_Bakersons_GROW_036,3,1,32.9,32.9,
VanBuren_Bakersons_GROW_037,1,5,21.0-23.7,22.7,
