subject_id,new_key,lakename,county,url_front,url_back,comments
59969902,NA,SWETTS,OCEANA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OCEANA_SWETTS_FISHc_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OCEANA_SWETTS_FISHc_0001_2.jpg,too many lakes match TRS
59969905,NA,SWETTS,OCEANA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OCEANA_SWETTS_FISHc_0002_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/OCEANA_SWETTS_FISHc_0002_2.jpg,too many lakes match TRS
59970158,66-277,TANLUND,ONTONAGON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ONTONAGON_TANLUND_FISHc_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ONTONAGON_TANLUND_FISHc_0001_2.jpg,matched by TRS
59970159,66-277,TANLUND,ONTONAGON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ONTONAGON_TANLUND_FISHc_0002_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ONTONAGON_TANLUND_FISHc_0002_2.jpg,matched by TRS
59970160,66-277,TANLUND,ONTONAGON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ONTONAGON_TANLUND_FISHc_0003_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ONTONAGON_TANLUND_FISHc_0003_2.jpg,matched by TRS
59970161,66-277,TANLUND,ONTONAGON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ONTONAGON_TANLUND_FISHc_0004_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ONTONAGON_TANLUND_FISHc_0004_2.jpg,matched by TRS
58755237,NA,TWINS,LAPEER,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Lapeer_Twins_FISHc_019.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Lapeer_Twins_FISHc_020.jpg,grow card delete
58755239,NA,TWINS,LAPEER,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Lapeer_Twins_FISHc_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Lapeer_Twins_FISHc_008.jpg,grow card delete
58751182,NA,TWINSOUTH,GRANDTRAVERSE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/GrandTraverse_TwinSouth_FISHc_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/GrandTraverse_TwinSouth_FISHc_011.jpg,no TRS provided
59106296,NA,UNNAMED,OTTAWA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Ottawa_Unnamed_FISHc_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Ottawa_Unnamed_FISHc_001.jpeg,no match to TRS
59965474,7-386,UNNAMEDBOG,BARAGA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_UNNAMEDBOG_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_UNNAMEDBOG_FISHc_0001_2.jpeg,matched by TRS and acres
58752607,38-20,WATERLOOMILLPOND,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_008.jpg,matched by TRS and acres
58752608,38-20,WATERLOOMILLPOND,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_012.jpg,matched by TRS and acres
58752609,38-20,WATERLOOMILLPOND,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_010.jpg,matched by TRS and acres
58752610,38-20,WATERLOOMILLPOND,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_014.jpg,matched by TRS and acres
58752611,38-20,WATERLOOMILLPOND,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_016.jpg,matched by TRS and acres
58752612,38-20,WATERLOOMILLPOND,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_018.jpg,matched by TRS and acres
58752614,38-20,WATERLOOMILLPOND,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_019.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_WaterlooMillPond_FISHc_020.jpg,matched by TRS and acres
