subject_id,URL 4,URL 8,workflow_id,task,data.value
80048628,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Livingston_Appleton_GROW_052.jpeg,,20390,T1,[{'II / 2': 3}]
80048677,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Crawford_Glory_GROW_082.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Crawford_Glory_GROW_083.jpeg,20390,T1,[{'I / 1': 3}]
80048677,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Crawford_Glory_GROW_082.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Crawford_Glory_GROW_083.jpeg,20390,T7,[{'II / 2': 3}]
82937320,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Alcona_Horseshoe_GROW_Doc0670.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Alcona_Horseshoe_GROW_Doc0671.jpg,20390,T1,[{'II / 2': 3}]
