task,column_name
T12,Game Category Choices
T13,Game Category Extras
T14,n/a
T15,Forage Category Choices
T16,Forage Category Extras
T17,n/a
T18,Coarse Category Choices
T19,Coarse Category Extras
T20,n/a
T21,Obnoxious Category Choices
T22,Obnoxious Category Extras
T23,
T25,Categories of fish on this card
