subject_id,subject_id_match
63341190,58687244
63341190,58687244
63341190,58687244
63341190,58687244
63341190,58687244
63341190,58687244
63341190,58687244
63341190,58687244
63341190,58687244
63341190,58687244
63341190,58687244
63341190,58687244
63341190,58687244
63341191,58687263
63341191,58687263
63341191,58687263
63341191,58687263
63341191,58687263
63341191,58687263
63341191,58687263
63341191,58687263
63341191,58687263
63341191,58687263
63341191,58687263
63341191,58687263
63341191,58687263
63341193,58687275
63341193,58687275
63341193,58687275
63341193,58687275
63341193,58687275
63341193,58687275
63341193,58687275
63341193,58687275
63341193,58687275
63341193,58687275
63341193,58687275
63341193,58687275
63341193,58687275
63341194,58687247
63341194,58687247
63341194,58687247
63341194,58687247
63341194,58687247
63341194,58687247
63341194,58687247
63341194,58687247
63341194,58687247
63341194,58687247
63341194,58687247
63341194,58687247
63341194,58687247
63341195,58687267
63341195,58687267
63341195,58687267
63341195,58687267
63341195,58687267
63341195,58687267
63341195,58687267
63341195,58687267
63341195,58687267
63341195,58687267
63341195,58687267
63341195,58687267
63341195,58687267
63341196,58687298
63341196,58687298
63341196,58687298
63341196,58687298
63341196,58687298
63341196,58687298
63341196,58687298
63341196,58687298
63341196,58687298
63341196,58687298
63341196,58687298
63341196,58687298
63341196,58687298
63341197,58687301
63341197,58687301
63341197,58687301
63341197,58687301
63341197,58687301
63341197,58687301
63341197,58687301
63341197,58687301
63341197,58687301
63341197,58687301
63341197,58687301
63341197,58687301
63341197,58687301
63341198,58687305
63341198,58687305
63341198,58687305
63341198,58687305
63341198,58687305
63341198,58687305
63341198,58687305
63341198,58687305
63341198,58687305
63341198,58687305
63341198,58687305
63341198,58687305
63341198,58687305
63341199,58687307
63341199,58687307
63341199,58687307
63341199,58687307
63341199,58687307
63341199,58687307
63341199,58687307
63341199,58687307
63341199,58687307
63341199,58687307
63341199,58687307
63341199,58687307
63341199,58687307
63341200,58687276
63341200,58687276
63341200,58687276
63341200,58687276
63341200,58687276
63341200,58687276
63341200,58687276
63341200,58687276
63341200,58687276
63341200,58687276
63341200,58687276
63341200,58687276
63341200,58687276
63341201,58687310
63341201,58687310
63341201,58687310
63341201,58687310
63341201,58687310
63341201,58687310
63341201,58687310
63341201,58687310
63341201,58687310
63341201,58687310
63341201,58687310
63341201,58687310
63341201,58687310
63341202,58687314
63341202,58687314
63341202,58687314
63341202,58687314
63341202,58687314
63341202,58687314
63341202,58687314
63341202,58687314
63341202,58687314
63341202,58687314
63341202,58687314
63341202,58687314
63341202,58687314
63341203,58687379
63341203,58687379
63341203,58687379
63341203,58687379
63341203,58687379
63341203,58687379
63341203,58687379
63341203,58687379
63341203,58687379
63341203,58687379
63341203,58687379
