subject_id,Filename,Reason for Removal,Removed?
59964437,OGEMAW_GEORGE_GROW_0005_1.jpeg_OGEMAW_GEORGE_GROW_0005_2.jpeg,,Yes
59964441,OGEMAW_GEORGE_GROW_0007_1.jpeg_OGEMAW_GEORGE_GROW_0007_2.jpeg,,Yes
59965856,BARRY_LONG2N9WSEC15162021_FISHc_0024_1.jpeg_BARRY_LONG2N9WSEC15162021_FISHc_0024_2.jpeg,"FISHs, not FISHc",Yes
59966203,BRANCH_LONGT7SR6W_FISHc_0002_1.jpeg_BRANCH_LONGT7SR6W_FISHc_0002_2.jpeg,BOTF not FISHc,Yes
59966698,Kalamazoo_Barton_FISHc_019.jpg_Kalamazoo_Barton_FISHc_020.jpg,,Yes
59966926,Livingston_Bishop_FISHc_029.jpg_Livingston_Bishop_FISHc_030.jpg,"SEIN, not FISHc",Yes
59966928,Livingston_Bishop_FISHc_031.jpg_Livingston_Bishop_FISHc_032.jpg,"SEIN, not FISHc",Yes
59966942,Livingston_Crooked(East+West)_FISHc_020.jpg_Livingston_Crooked(East+West)_FISHc_021.jpg,invalid filename,Yes
59966965,Livingston_HalfMoon_FISHc_037.jpg_Livingston_HalfMoon_FISHc_038.jpg,"LFCAS, not FISHc",Yes
59966966,Livingston_HalfMoon_FISHc_039.jpg_Livingston_HalfMoon_FISHc_040.jpg,"LFCAS, not FISHc",Yes
59967859,Marquette_Engmans_FISHc_013.jpg_Marquette_Engmans_FISHc_014.jpg,,Yes
59969181,"MONTMORENCY_PUG_FISHc_0001_1.jpeg_MONTMORENCY_PUG_FISHc_0001_2.jpeg
","FISHs, not FISHc",Yes
59970306,OSCEOLA_ROSE_FISHc_0018_1.jpg_OSCEOLA_ROSE_FISHc_0018_2.jpg,"FISHc page, not card",Yes
61361482,WASHTENAW_GEDDES_FISHc_0003_1.jpeg_WASHTENAW_GEDDES_FISHc_0003_2.jpeg,FISHs ,Yes
61361485,WASHTENAW_GEDDES_FISHc_0005_1.jpeg_WASHTENAW_GEDDES_FISHc_0005_2.jpeg,FISHs ,Yes
,CALHOUN_TURTLE_GROW_0001_2.jpeg_CALHOUN_WABASCON_GROW_0001_1.jpeg,,Yes
,CALHOUN_WABASCON_GROW_0002_2.jpeg_CALHOUN_WARNER_GROW_0001_1.jpeg,,Yes
,CASS_DIAMOND_GROW_0001_2.jpeg_CASS_DIAMOND_GROW_0002_1.jpeg,,Yes
,Cheboygan_Long_GROW_058.jpg_Cheboygan_Mary_GROW_002.jpg,,Yes
,Cheboygan_Mary_GROW_003.jpg_Cheboygan_Melavey_GROW_005.jpg,,Yes
,Cheboygan_Melavey_GROW_006.jpg_Cheboygan_Mullett_GROW_123.jpg,,Yes
,Cheboygan_Mullett_GROW_126.jpg_Cheboygan_Mullett_GROW_127.jpg,,Yes
,Cheboygan_Mullett_GROW_128.jpg_Cheboygan_Mullett_GROW_129.jpg,,Yes
,Cheboygan_Mullett_GROW_138.jpg_Cheboygan_Mullett_GROW_139.jpg,,Yes
,Cheboygan_Mullett_GROW_142.jpg_Cheboygan_Mullett_GROW_143.jpg,,Yes
,Cheboygan_Mullett_GROW_144.jpg_Cheboygan_Mullett_GROW_145.jpg,,Yes
,Cheboygan_Mullett_GROW_146.jpg_Cheboygan_Mullett_GROW_159.jpg,,Yes
,Cheboygan_Mullett_GROW_160.jpg_Cheboygan_Mullett_GROW_270.jpg,,Yes
,Cheboygan_Mullett_GROW_271.jpg_Cheboygan_Mullett_GROW_272.jpg,,Yes
,Cheboygan_Mullett_GROW_273.jpg_Cheboygan_Mullett_GROW_297.jpg,,Yes
,Cheboygan_Mullett_GROW_298.jpg_Cheboygan_Munro_GROW_017.jpg,,Yes
,Cheboygan_Munro_GROW_022.jpg_Cheboygan_Roberts_GROW_001.jpg,,Yes
