"new_key","lat_dd","long_dd","mdnrid","nhdid"
"31-1277",46.94058,-88.84755,"L32970","116542939"
"31-1278",47.26608,-88.433,"L34188","116542497"
"31-1279",47.20946,-88.61957,"L46972","120007759"
"31-1280",46.82271,-88.83341,"L43094","117626033"
"31-1281",46.59173,-88.74965,NA,NA
"31-13",46.45005,-88.72521,"L32521","123392638"
"31-140",46.42721,-88.88843,"L42306","123393009"
"31-141",46.43248,-88.86927,"L38436","123392940"
"31-142",46.42958,-88.87621,"L39935","123392972"
"31-156",46.52804,-88.68593,"L41996","117627525"
"31-157",46.52832,-88.70121,"L38614","117627531"
"31-159",46.51054,-88.72204,"L40550","117627599"
"31-160",46.50998,-88.73038,"L37580","117627609"
"31-165",46.51415,-88.71677,"L40544","117627583"
"31-167",46.59452,-88.74364,"L40984","117627123"
"31-184",46.58721,-88.7851,"L39191","117627203"
"31-188",46.58332,-88.78427,"L40453","123390972"
"31-189",46.58035,-88.78533,"L36642","123391018"
"31-195",46.58915,-88.80593,"L42586","123390859"
"31-214",46.59137,-88.82538,"L36892","123390811"
"31-226",46.57276,-88.78232,"L37294","123391063"
"31-228",46.57713,-88.79584,"L37432","123391049"
"31-236",46.57998,-88.8051,"L40676","123391040"
"31-24",46.45165,-88.69343,"L42368","117627685"
"31-242",46.5736,-88.76788,"L36617","117627285"
"31-244",46.57082,-88.76954,"L42671","117627309"
"31-258",46.56637,-88.75954,"L36757","117627339"
"31-261",46.55443,-88.75593,"L42500","117627411"
"31-263",46.55804,-88.75454,"L37160","117627381"
"31-266",46.54971,-88.78204,"L40069","123391394"
"31-281",46.54776,-88.75677,"L39280","117627459"
"31-289",46.54721,-88.76621,"L40593","{F294AEF2-B3DD-4658-BAAA-CFAB9E460550}"
"31-29",46.43665,-88.70732,"L33321","117627695"
"31-290",46.54215,-88.76206,"L37250","123391490"
"31-296",46.54414,-88.78057,"L38527","123391464"
"31-3",46.47776,-88.74177,"L38497","123392323"
"31-300",46.54887,-88.7476,"L39370","117627443"
"31-310",46.52998,-88.76288,"L36865","123391637"
"31-314",46.53498,-88.7726,"L37174","123391606"
"31-317",46.52571,-88.77406,"L49014",NA
"31-331",46.51721,-88.74371,"L40239","117627581"
"31-34",46.43899,-88.72538,"L35383","123392716"
"31-39",46.42708,-88.74425,"L36192","{D81F2860-57E8-4FE8-99E6-149F3AB08624}"
"31-41",46.50248,-88.76177,"L37054","123392114"
"31-42",46.50054,-88.77093,"L42421","123392185"
"31-420",46.5165,-88.98221,"L42741","123392092"
"31-51",46.46748,-88.75371,"L41491","123392450"
"31-540",46.61248,-88.8476,"L42414","123390585"
"31-545",46.61471,-88.86093,"L42482","123390562"
"31-56",46.45297,-88.78379,"L48257",NA
"31-585",46.66582,-88.90871,"L32926","123390259"
"31-60",46.44443,-88.74788,"L35384","123392688"
"31-612",46.65471,-88.9071,"L33201","123390318"
"31-613",46.65445,-88.91131,"L34579","123390303"
"31-65",46.44026,-88.81565,"L36793","123392747"
"31-697",46.7083,-88.85615,"L42997","117626477"
"31-698",46.71147,-88.8528,"L37897","117626459"
"31-7",46.46471,-88.71815,"L39748","117627667"
"31-700",46.71481,-88.8645,"L41528","117626451"
"31-707",46.70094,-88.85533,"L42237","117626529"
"31-760",46.83471,-88.84482,"L37567","117626013"
"31-763",46.84344,-88.86268,"L39348","117625929"
"31-765",46.84199,-88.8699,"L38340","400f28cd-5adf-4cea-b25a-7a7d2cf7ed83"
"31-766",46.84643,-88.86201,"L40659","117625903"
"31-767",46.85137,-88.87093,"L37252","117625857"
"31-771",46.83721,-88.87093,"L38727","117625969"
"31-772",46.84018,-88.87631,"L37918","117625953"
"31-781",46.83443,-88.87982,"L41229","117625985"
"31-792",46.8111,-88.8676,"L39995","117626085"
"31-818",46.76193,-88.9326,"L32452","b0cbc811-6d19-44c6-9aa8-ad91009008b5"
"31-825",46.91332,-88.57371,"L36510","117625661"
"31-826",46.93387,-88.59232,"L33055","8793bfe2-93f5-4b54-81b4-448c04903ed0"
"31-837",46.93165,-88.79927,"L34148","116542983"
"31-84",46.42169,-88.7944,"L34347","123393006"
"31-843",46.9225,-88.78889,"L33700","117625635"
"31-909",46.89915,-88.83121,"L35850","116543277"
"31-910",46.90748,-88.81704,"L33717","116543223"
"31-915",46.88971,-88.85121,"L35180","116543343"
"31-942",46.87518,-88.86882,"L33122","116543387"
"31-950",46.86933,-88.87913,"L34552","116543431"
"31-970",46.8636,-88.90093,"L32104","116543453"
"31-973",46.85943,-88.85399,"L39500","117625797"
"31-982",47.0036,-88.39482,"L34593","116542701"
"31-993",47.06637,-88.49704,"L35220","116542669"
"32-1",43.68166,-83.20871,"L9755","152237948"
"32-10",43.97012,-83.25517,"L3264","152237816"
"32-11",43.85076,-82.64787,"L2498","155399412"
"32-12",43.81004,-83.01706,"L11944","152237893"
"32-3",43.90888,-83.33815,"L2049","152237855"
"32-5",43.96388,-83.1776,"L9382","152237832"
"32-8",43.96827,-83.25537,"L8016","152237823"
"32-9",43.96537,-83.25545,"L2441","152237822"
"33-1",42.49916,-84.17231,"L11025","145333066"
"33-106",42.66388,-84.40398,"L10690","152094651"
"33-107",42.67973,-84.52137,"L6645","152094619"
"33-11",42.45749,-84.21398,"L1187","152094752"
"33-110",42.64193,-84.54676,"L521","152094684"
"33-111",42.77554,-84.25343,"L6090","152094487"
"33-114",42.72471,-84.26565,NA,NA
"33-118",42.76809,-84.28571,"L10718","152094494"
"33-119",42.76583,-84.28529,"L929","152094499"
"33-120",42.7626,-84.28561,"L6552","152094512"
"33-128",42.75804,-84.39898,"L930","152094516"
"33-129",42.73943,-84.39954,"L10959","152094542"
"33-13",42.46249,-84.16759,"L724","145333578"
"33-137",42.76804,-84.56259,"L7468","152094507"
"33-149",42.72008,-84.56816,NA,NA
"33-150",42.71668,-84.51104,"L12277","152094562"
"33-154",42.75141,-84.42139,"L48216",NA
"33-155",42.69395,-84.53191,"L11634","152094584"
"33-156",42.51206,-84.37936,"L4157","152094739"
"33-157",42.60775,-84.49062,"L2193","152094700"
"33-158",42.60382,-84.48767,"L13768","152094705"
"33-159",42.60233,-84.48613,"L13768","152094705"
"33-160",42.69471,-84.50753,"L7691","152094586"
"33-161",42.72177,-84.52094,"L5758","152094557"
"33-162",42.72006,-84.5201,NA,NA
"33-163",42.72045,-84.51936,NA,NA
"33-164",42.63822,-84.50403,"L12274","152094685"
"33-165",42.63731,-84.50279,"L3288","152094686"
"33-166",42.63259,-84.50364,"L2407","152094691"
"33-167",42.67933,-84.48064,"L6285","152094621"
"33-168",42.68149,-84.48237,"L11121","152094616"
"33-169",42.68155,-84.48667,"L3181","152094617"
"33-170",42.67932,-84.48683,"L1079","152094623"
"33-171",42.54543,-84.38349,NA,NA
"33-172",42.66321,-84.58566,"L3626","152094658"
"33-173",42.66064,-84.51215,"L13696","152094660"
"33-174",42.65585,-84.50976,"L10294","152094666"
"33-175",42.65841,-84.56889,"L1060","152094664"
"33-177",42.61,-84.58854,"L6427","152094702"
"33-178",42.64995,-84.50755,"L9993","152094672"
"33-18",42.42499,-84.19426,"L7357","145333852"
"33-27",42.51277,-84.31648,"L12242","152094735"
"33-42",42.47249,-84.38565,"L10701","152094749"
"33-47",42.45527,-84.54037,"L7620","152094754"
"33-55",42.53166,-84.17593,"L9684","152094726"
"33-6",42.47749,-84.16787,"L5014","145333241"
"33-74",42.52332,-84.33815,"L11141","152094732"
"33-88",42.57691,-84.43141,"L49004",NA
"33-9",42.47749,-84.22731,"L10916","152094746"
"33-98",42.52443,-84.54843,NA,NA
"34-100",42.9914,-84.932,"L6199","151870718"
"34-101",42.99136,-84.92964,"L928","151870717"
"34-102",42.78973,-85.08816,"L9919","157067779"
"34-103",42.83146,-84.85855,"L156","152094405"
"34-104",43.06705,-85.12289,"L15686","152707629"
"34-14",42.80138,-85.07926,"L4278","157067751"
"34-14.1",42.8086,-85.07648,"L11129","157067744"
"34-16",42.79554,-85.0987,"L16750","157067756"
"34-17",42.78443,-85.11565,"L19750","157067788"
"34-21",42.86082,-85.21176,"L14357","152708039"
"34-22",42.83638,-85.27482,"L19818","157067726"
"34-23",42.82749,-85.2837,"L21165","157067736"
"34-32",42.95287,-84.90273,"L48424",NA
"34-34",42.88919,-84.91239,"L48423",NA
"34-36",42.88206,-85.06272,"L6651","152708024"
"34-37",42.91804,-85.14259,"L21231","152707975"
"34-39",42.89888,-85.17148,"L22774","152708001"
"34-4",42.77138,-84.93954,"L8713","152094511"
"34-43",42.8836,-85.21565,"L17438","152708023"
"34-50",42.97706,-84.9503,NA,NA
"34-51",42.96684,-84.9134,NA,NA
"34-58",43.02069,-85.29227,"L48383",NA
"34-62",42.98388,-85.23982,"L14906","152707811"
"34-66",43.09131,-84.84342,NA,NA
"34-69",43.08138,-85.06232,"L10909","152707582"
"34-73",43.11332,-85.12259,"L14784","152707507"
"34-75",43.11751,-85.18406,NA,NA
"34-76.1",43.11225,-85.16882,"L16079","152707511"
"34-78",43.08193,-85.18037,"L22526","152707589"
"34-8",42.77388,-84.88759,"L7071","152094505"
"34-82",43.08984,-85.23617,NA,NA
"34-93",42.944,-85.12609,"L18832","152707939"
"34-94",42.83748,-85.28354,"L18659","157067721"
"34-95",43.07904,-85.2402,"L18524","152707595"
"34-96",43.08067,-85.23741,"L20711","152707593"
"34-97",43.08138,-85.23492,"L18564","152707592"
"34-98",43.08241,-85.23693,"L19748","152707588"
"34-99",42.98113,-85.01311,"L7820","152707815"
"35-1",44.33916,-83.64287,"L1449","118253399"
"35-100",44.39638,-83.76204,"L7845","118252979"
"35-101",44.4011,-83.77426,"L6840","118252953"
"35-102",44.37989,-83.76637,"L11066","118253139"
"35-103",44.37999,-83.82954,"L13713","118253211"
"35-104",44.3486,-83.86954,"L7415","118253477"
"35-105",44.35416,-83.87926,"L10020","118253443"
"35-106",44.36888,-83.71482,"L3014","118253209"
"35-109",44.34721,-83.64954,"L6235","118253341"
"35-111",44.41278,-83.57316,"L5104","118252763"
"35-112",44.37721,-83.58343,NA,NA
"35-13",44.31555,-83.72093,NA,NA
"35-154",44.38038,-83.3434,NA,NA
"35-170",44.34514,-83.34745,"L13972","118253099"
"35-173",44.50555,-83.77232,"L10141","83977125"
"35-174",44.50221,-83.82732,"L1603","83977151"
"35-175",44.48277,-83.88149,"L4486","83977347"
"35-176",44.48582,-83.84954,"L5757","83977267"
"35-177",44.48055,-83.84843,"L229","83977341"
"35-178",44.48221,-83.8276,"L3099","83977219"
"35-179",44.47721,-83.84649,"L14089","83977373"
"35-180",44.47527,-83.87343,"L3289","83977393"
"35-182-184",44.4523,-83.87889,"L3271","83977505"
"35-190",44.4386,-83.87926,"L8214","83977563"
"35-192",44.42956,-83.86131,"L10110","118252803"
"35-193",44.49678,-83.73278,"L4771","83977137"
"35-194",44.4986,-83.76232,"L1547","83977135"
"35-195",44.49027,-83.7251,"L7270","83977157"
"35-198",44.48721,-83.7201,"L578","83977171"
"35-199",44.46332,-83.72232,"L2993","83977413"
"35-2",44.33749,-83.65343,"L5488","118253445"
"35-200",44.45588,-83.67721,"L12830","83977399"
"35-201",44.47257,-83.57251,"L6850","83977435"
"35-205",44.43552,-83.44289,"L11167","83977349"
"35-214",44.43471,-83.41704,"L10844","83977389"
"35-216",44.50415,-83.3726,"L9996","83977023"
"35-219",44.47221,-83.35982,"L12593","83977123"
"35-226",44.43904,-83.39158,"L4120","83977287"
"35-237",44.4361,-83.35704,"L7189","83977311"
"35-239",44.20291,-83.73525,"L4811","118254477"
"35-240",44.48557,-83.84645,"L11891","83977283"
"35-241",44.20115,-83.71888,"L678","118254425"
"35-242",44.20622,-83.71768,"L5822","118254373"
"35-243",44.33898,-83.84107,NA,NA
"35-244",44.44272,-83.39999,"L9174","83977293"
"35-245",44.44047,-83.40357,"L7283","83977317"
"35-246",44.25513,-83.56748,NA,NA
"35-247",44.49804,-83.33466,"L13135","122383359"
"35-248",44.36687,-83.60202,"L9377","118253129"
"35-3",44.32755,-83.65452,"L8969","118253567"
"35-4",44.33943,-83.6601,"L9967","167791873"
"35-5",44.33055,-83.66676,"L5021","118253529"
"35-54",44.31332,-83.48593,"L12814","120020697"
"35-7",44.33693,-83.67065,"L11099","118253451"
"35-84",44.28355,-83.45321,"L4588","118253727"
"35-9",44.32555,-83.68093,"L13821","118253593"
"35-92",44.33666,-83.35482,"L1885","118253191"
"35-93",44.32582,-83.39701,"L7122","118253327"
"35-94",44.41527,-83.80871,"L12811","118252889"
"35-95",44.40971,-83.82371,"L12948","118252887"
"35-96",44.41499,-83.85399,"L10866","118252855"
"35-97",44.40565,-83.86353,"L10342","118252955"
"35-98",44.40416,-83.8776,"L897","118253021"
"35-99",44.40027,-83.76537,"L10331","118252959"
"36-1017",46.32471,-88.65399,"L44461","117627761"
"36-1019",46.32915,-88.66593,"L43418","117627757"
"36-1022",46.32221,-88.67232,"L44974","111860181"
"36-1023",46.32637,-88.69121,"L45472","{78C0AE0D-0109-4A9C-A39C-EC438BA684CD}"
"36-1024",46.32498,-88.7001,"L43598","111860177"
"36-103",46.03443,-88.34593,"L43542","111861337"
"36-104",46.02471,-88.30454,"L46380","111861353"
"36-1058",46.2561,-88.69427,"L45752","111860569"
"36-108",46.00971,-88.29399,"L45256","111861393"
"36-1091",46.30026,-88.77593,"L43729","111860405"
"36-110",46.00637,-88.30871,"L46224","111861419"
"36-112",46.00332,-88.31649,"L43518","111861427"
"36-1122",46.26915,-88.82871,"L32638","111860553"
"36-1124",46.2489,-88.84708,"L35431","111860595"
"36-1145",46.31832,-88.91177,"L36048","111860311"
"36-1152",46.32082,-88.92204,"L37368","111860299"
"36-1154",46.32082,-88.9301,"L42444","111860289"
"36-1155",46.32554,-88.93149,"L48236","111860241"
"36-1159",46.32637,-88.93621,"L42505","111860241"
"36-1160",46.32082,-88.93343,"L43074","111860307"
"36-1164",46.32026,-88.94677,"L39779","111860309"
"36-1166",46.32665,-88.94288,"L38532","111860247"
"36-1171",46.32554,-88.95121,"L37327","111860249"
"36-1172",46.32526,-88.95871,"L40298","111860279"
"36-1177",46.32971,-88.9826,"L40634","123395412"
"36-1178",46.32554,-88.9705,"L36754","123395468"
"36-1189",46.29943,-88.93288,"L42085","111860441"
"36-1194",46.31721,-88.98399,"L38740","123395611"
"36-121.1",45.99268,-88.345,"L43337","111861503"
"36-123",45.99804,-88.33843,"L44529","111861459"
"36-127",45.99779,-88.31938,"L44523","111861453"
"36-1275",46.24943,-88.9601,"L40299","123396674"
"36-1293",46.40785,-88.20498,NA,NA
"36-131",46.07804,-88.42676,"L48237","111864605"
"36-132",46.06582,-88.44621,"L48239","111864605"
"36-1342",46.3336,-88.19032,"L44140","110735563"
"36-1346",46.40387,-88.32704,"L39365","110735335"
"36-1353",46.40443,-88.36177,"L37669","111859809"
"36-136",46.06137,-88.47676,NA,NA
"36-1360",46.37471,-88.30704,"L37677","110735435"
"36-1368",46.36082,-88.31871,"L37581","110735495"
"36-137",46.05693,-88.50593,"L46155","111861285"
"36-1370",46.33749,-88.35204,"L37617","110735601"
"36-1373",46.34054,-88.3276,"L41708","110735573"
"36-138",46.04249,-88.49676,"L44934","111861321"
"36-139",46.04596,-88.45045,"L44023","111861303"
"36-1390",46.40986,-88.47981,"L35663","111859821"
"36-1400",46.38054,-88.40399,"L35435","111859857"
"36-1401",46.38915,-88.41399,"L35111","111859847"
"36-1419",46.36693,-88.4101,"L36360","111859877"
"36-142",46.04346,-88.44985,"L44694","111861325"
"36-1468",46.37832,-88.53149,"L32125","111859869"
"36-147",46.04012,-88.38032,"L43629","111861327"
"36-1473",46.38637,-88.59121,"L34356","111859865"
"36-1480",46.35249,-88.59177,"L36249","111859951"
"36-1488",46.41471,-88.68593,"L34900","117627709"
"36-1490",46.41137,-88.69315,"L35841","117627713"
"36-1491",46.4161,-88.69232,"L34229","117627707"
"36-150",46.03165,-88.4126,"L46154","111861351"
"36-1500",46.39688,-88.73342,"L32229","123393219"
"36-1501",46.38558,-88.72665,"L34761","899fee32-c15f-4e71-a991-e1e9c05c69b6"
"36-1502",46.39443,-88.69315,"L36055","117627725"
"36-1510",46.38175,-88.64917,NA,NA
"36-1513",46.38276,-88.73815,"L32321","123393874"
"36-152",46.03946,-88.45236,"L44071","111861333"
"36-1521",46.3686,-88.73899,"L34562","cf7fc4ef-5cb3-4659-978a-66bdebc8a5a6"
"36-1522",46.37332,-88.73621,"L35751","866ec7a5-937b-4797-aabd-e89fa8a7e623"
"36-1528",46.36943,-88.68788,"L34566","117627733"
"36-1529",46.36221,-88.66177,"L32215","117627737"
"36-153",46.02499,-88.45232,"L46076","111861371"
"36-153.1",46.01054,-88.46232,"L45855","111861409"
"36-1536",46.3536,-88.72093,"L45526","5e0d70a9-30a4-4e18-b063-5287b5d4a411"
"36-1537",46.35693,-88.73343,"L44924","a1255526-2065-4ac9-861a-fa19b8b996f5"
"36-154",46.02443,-88.43593,"L45654","111861373"
"36-1541",46.33471,-88.69454,"L45131","117627749"
"36-1542",46.33493,-88.68318,"L44342","{D7926FA7-617F-48BE-A71F-71A40F614B37}"
"36-1547",46.41221,-88.77565,"L33464","123393077"
"36-1548",46.40832,-88.77649,"L32837","123393108"
"36-155",46.01665,-88.43343,"L45861","111861385"
"36-1556",46.40983,-88.79857,"L35341","123393105"
"36-1570",46.40415,-88.80565,"L35901","123393168"
"36-1572",46.41637,-88.84204,"L34302","123393060"
"36-158",46.00415,-88.44093,"L44151","111861443"
"36-159",46.01079,-88.45676,"L46194","111861431"
"36-161",46.00831,-88.46864,"L45130","111861433"
"36-162",45.9967,-88.42921,"L44384","111861507"
"36-1635",46.39665,-88.82343,"L36280","123393732"
"36-1638",46.40248,-88.76565,"L35059","123393216"
"36-1639",46.39776,-88.76149,"L33165","123393310"
"36-1651",46.3999,-88.75204,"L35721","123393319"
"36-167",46.07026,-88.5351,"L44038","111861235"
"36-1685",46.37776,-88.81815,"L33713","123394022"
"36-17",45.98415,-88.33149,"L44309","111861517"
"36-170",46.03332,-88.51815,"L43525","111861359"
"36-172",46.03276,-88.55176,"L45820","111861365"
"36-173",46.05887,-88.70676,"L44956","111861279"
"36-174",46.04332,-88.72315,"L45720","111861361"
"36-1744",46.36443,-88.80538,"L33502","111859913"
"36-175",46.05221,-88.69426,"L44561","111861339"
"36-1758",46.36492,-88.7596,"L32175","111859917"
"36-1760",46.34582,-88.76454,"L44991","111860053"
"36-1768",46.35415,-88.8126,"L33330","111860005"
"36-1769",46.35971,-88.81204,"L34809","111859965"
"36-177",46.05721,-88.64649,"L45362","111861319"
"36-178",46.0336,-88.68065,"L43195","111861389"
"36-1781",46.35276,-88.82899,"L34358","111860017"
"36-1794",46.34554,-88.8301,"L32679","111860097"
"36-1799",46.34222,-88.81654,"L35240","111860117"
"36-18",45.97846,-88.33274,"L43966","111861541"
"36-1800",46.34137,-88.78538,"L45585","111860107"
"36-1802",46.33582,-88.79315,"L43336","111860147"
"36-1854",46.41256,-88.98749,"L41542","123393242"
"36-186",46.02248,-88.63704,"L45621","111861411"
"36-187",46.00971,-88.65788,"L44050","111861501"
"36-188",46.07526,-88.74454,"L45849","111861265"
"36-19",45.97332,-88.32982,"L44352","111861555"
"36-190",46.05971,-88.77982,"L45276","111861293"
"36-192",46.05776,-88.83843,"L46366","111861383"
"36-193",46.04415,-88.78621,"L44943","111861379"
"36-1931",46.39721,-88.86871,"L42871","123393761"
"36-1932",46.39202,-88.87603,"L39571","123393860"
"36-1936",46.38528,-88.87804,"L42913","123393951"
"36-194",46.04332,-88.77176,"L45653","111861377"
"36-195",46.05387,-88.75899,"L43638","111861345"
"36-1953",46.38554,-88.90149,"L40855","123394005"
"36-1966",46.37637,-88.93343,"L41548","123394245"
"36-1978",46.38387,-88.95427,"L42946","123394039"
"36-2",45.95601,-88.19692,"L43368","110736763"
"36-2003",46.37693,-88.97177,"L39928","123394260"
"36-2012",46.36161,-88.98242,"L38006","123394532"
"36-2017",46.36998,-88.95454,"L41510","123394353"
"36-2018",46.36915,-88.95121,"L37926","123394364"
"36-2019",46.37341,-88.95568,"L41999","123394268"
"36-202",46.1561,-88.17315,"L44724","110736521"
"36-2024",46.3611,-88.95843,"L42133","123394543"
"36-2031",46.37165,-88.92927,"L37676","123394280"
"36-204",46.15992,-88.23498,"L44033","110736531"
"36-2047",46.36165,-88.89038,"L34953","111859967"
"36-2053",46.36526,-88.90427,"L42424","111859947"
"36-206",46.13273,-88.23172,NA,NA
"36-2060",46.3643,-88.87892,"L34897","123394401"
"36-2062",46.37082,-88.88065,"L42822","123394302"
"36-2063",46.37026,-88.88593,"L36860","123394263"
"36-2066",46.34443,-88.87704,"L35527","111860081"
"36-2067",46.35221,-88.88927,"L33194","111860119"
"36-2068",46.35943,-88.88204,"L33553","111859993"
"36-2069",46.3486,-88.89316,"L35100","111860091"
"36-2072",46.35553,-88.90558,"L34718","111860041"
"36-2073",46.3561,-88.91621,"L34585","111860009"
"36-2074",46.36054,-88.91843,"L34607","111860001"
"36-2077",46.34332,-88.93899,"L42456","111860145"
"36-2078",46.35304,-88.94371,"L38579","111860067"
"36-2083",46.35752,-88.94388,"L38576","111860039"
"36-2084",46.35622,-88.94928,"L39082","111860055"
"36-2093",46.35221,-88.95982,"L38651","123394733"
"36-2097",46.34443,-88.96343,"L39505","123394841"
"36-2102",46.34943,-88.98065,"L40653","123394801"
"36-2117",46.33471,-88.98288,"L40457","123395128"
"36-2120",46.34598,-88.98981,"L42957","123394867"
"36-2121",46.34582,-88.95927,"L42985","123394844"
"36-2132",46.34376,-88.8898,NA,NA
"36-2152",46.05938,-88.27773,"L48240","120007813"
"36-2153",46.18994,-88.41483,"L46335","111860685"
"36-2154",46.3931,-88.3863,"L36669","111859835"
"36-2155",46.30783,-88.17238,NA,NA
"36-2156",46.33289,-88.68135,"L43250","117627755"
"36-2157",46.30477,-88.96276,"L42085","111860441"
"36-2158",46.35824,-88.9481,"L38174","111860035"
"36-217",46.11797,-88.17252,"L44042","110736559"
"36-219",46.115656,-88.217156,"L43260","110736567"
"36-231",46.10499,-88.12538,"L43165","155413309"
"36-237",46.0961,-88.13538,"L45661","110736587"
"36-24.1",46.07137,-88.1326,"L45427","110736625"
"36-256",46.07582,-88.18343,"L43492","110736621"
"36-26",46.07304,-88.14093,"L46065","110736623"
"36-264",46.14387,-88.34399,"L43438","111860839"
"36-27",46.06221,-88.15676,"L43624","110736643"
"36-270",46.1479,-88.35573,"L45549","111860827"
"36-272",46.11721,-88.27426,"L43110","110736569"
"36-278",46.1084,-88.33557,NA,NA
"36-279",46.12172,-88.36673,"L46339","111860935"
"36-280",46.12249,-88.36232,"L46447","111860925"
"36-289",46.1011,-88.2976,"L44456","111861007"
"36-292",46.11201,-88.28993,"L44380","111860965"
"36-306",46.14665,-88.37565,"L43284","111860841"
"36-307",46.16332,-88.39482,"L45765","111860805"
"36-310",46.1511,-88.46871,NA,NA
"36-32",45.9911,-88.20871,"L43636","110736743"
"36-331",46.12082,-88.44982,"L45289","111860947"
"36-336",46.11409,-88.46352,"L44571","111861001"
"36-338",46.1086,-88.42482,"L43153","111861023"
"36-339",46.10048,-88.41853,"L46115","111861057"
"36-34",46.05721,-88.22176,"L45545","110736651"
"36-35",46.07165,-88.23982,"L45519","110736637"
"36-351",46.09469,-88.41357,"L43640","111861071"
"36-352",46.08915,-88.42093,"L45344","111864605"
"36-355",46.13221,-88.59038,"L43837","111860937"
"36-357",46.13721,-88.56093,"L44131","111860917"
"36-359",46.18037,-88.13773,"L43568","110736423"
"36-363",46.11249,-88.50149,"L43855","111861049"
"36-366",46.12637,-88.54788,"L43581","111860957"
"36-367",46.12443,-88.5676,"L45994","111860979"
"36-369",46.11804,-88.61121,"L45072","111861019"
"36-371",46.1011,-88.61426,"L45329","111861097"
"36-373",46.0986,-88.5626,"L46372","111861115"
"36-38",46.04425,-88.22238,"L44443","110736679"
"36-382",46.16137,-88.62482,"L43244","111860837"
"36-384",46.14471,-88.65232,"L44906","111860863"
"36-390",46.13915,-88.68482,"L45823","111860929"
"36-4",45.96402,-88.24468,"L46574","120008460"
"36-403",46.1568,-88.74877,"L45321","111860881"
"36-405",46.14876,-88.75539,NA,NA
"36-407",46.14998,-88.82926,"L45078","111860897"
"36-408",46.14248,-88.8251,"L45537","111860961"
"36-410",46.12026,-88.8026,"L46289","111861061"
"36-411",46.11804,-88.81093,"L43828","111861069"
"36-412",46.12498,-88.83343,"L45367","111861031"
"36-414",46.10248,-88.84204,"L44941","111861183"
"36-415",46.10193,-88.78926,"L45176","111861165"
"36-416",46.10415,-88.75343,"L44347","111861113"
"36-417",46.0861,-88.76204,"L45846","111861257"
"36-422",46.08582,-88.85871,"L44843","111861249"
"36-424",46.09943,-88.86204,"L44937","111861199"
"36-440",46.1361,-88.98315,"L45748","111861045"
"36-445",46.12015,-88.9184,"L43602","70330417"
"36-447",46.11804,-88.92593,"L44056","70330485"
"36-451",46.12498,-88.9826,"L45632","{13840EA4-69BB-4AAE-817E-0F9859ED1568}"
"36-452",46.11526,-88.95232,"L46426","111861135"
"36-456",46.09554,-88.94176,"L44271","70330495"
"36-457",46.11387,-88.9426,"L44739","111861139"
"36-463",46.09748,-88.90871,"L44095","111861213"
"36-464",46.09943,-88.93149,"L44586","{24988455-ED07-405B-B60C-B973922DDF8E}"
"36-466",46.08332,-88.92788,"L46050","111861263"
"36-472",46.2411,-88.14899,"L45364","110736127"
"36-486",46.22819,-88.17954,NA,NA
"36-490",46.21971,-88.11843,"L44150","110736213"
"36-497",46.20999,-88.15371,"L44033","110736531"
"36-498",46.21387,-88.15927,"L43604","110736243"
"36-5",45.96137,-88.13926,"L43210","75472831"
"36-512",46.20055,-88.22645,"L45110","110736333"
"36-533",46.19116,-88.16132,NA,NA
"36-548",46.17317,-88.13937,"L43150","110736463"
"36-553",46.1736,-88.15065,"L44911","110736461"
"36-556",46.18637,-88.1601,"L43138","110736427"
"36-599",46.17137,-88.15899,"L43408","110736469"
"36-612",46.23055,-88.30384,"L45708","110736215"
"36-621",46.21614,-88.24615,NA,NA
"36-622",46.21847,-88.2526,"L45568","110736249"
"36-624",46.19776,-88.24704,"L44033","110736531"
"36-628",46.21304,-88.31288,"L43310","110736305"
"36-630",46.20554,-88.33065,"L45727","110736311"
"36-633",46.19276,-88.33649,"L43663","110736421"
"36-636",46.18471,-88.24732,"L44191","110736457"
"36-651",46.16443,-88.3276,"L45718","111860751"
"36-654",46.16971,-88.28621,"L46101","110736497"
"36-660",46.16077,-88.25011,"L46264","110736517"
"36-661",46.16646,-88.25094,"L43373","110736495"
"36-666",46.23415,-88.39593,"L43305","{3BD78EF1-ECB7-4C6E-B444-6EEBE231A206}"
"36-674",46.23554,-88.46704,"L44312","111860573"
"36-680",46.20165,-88.4226,"L45406","111860649"
"36-686",46.19276,-88.46927,"L45648","111860699"
"36-690",46.19971,-88.44315,"L44581","111860663"
"36-696",46.17332,-88.41343,"L43697","111860721"
"36-703",46.17415,-88.43899,"L44888","111860731"
"36-704",46.17387,-88.45288,"L43622","111860737"
"36-71",45.9986,-88.13426,"L43860","110736731"
"36-717",46.19635,-88.496889,"L43249","111860683"
"36-74",45.996314,-88.121366,"L45791","75472741"
"36-747",46.22501,-88.8437,"L33746","111860659"
"36-76",46.0586,-88.26676,NA,NA
"36-760",46.17915,-88.75899,"L45813","111860781"
"36-768",46.24739,-88.98586,"L45675","123397067"
"36-77",46.02138,-88.25863,"L48241","120007813"
"36-771",46.20137,-88.90704,"L46259","111860707"
"36-773",46.19059,-88.98308,"L45026","111860789"
"36-774",46.1861,-88.86676,"L43667","111860785"
"36-777",46.17554,-88.88676,"L43896","111860797"
"36-78",46.06999,-88.3301,"L45206","111861201"
"36-790",46.31909,-88.16761,"L45416","110735629"
