"new_key","lat_dd","long_dd","mdnrid","nhdid"
"10-84",44.75777,-85.92954,"L39719","129224120"
"10-88",44.76054,-85.88565,"L37221","129224119"
"10-89",44.75443,-85.87454,"L37397","129226203"
"10-95",44.74054,-85.86149,"L38858","129225118"
"10-96",44.73249,-85.86287,"L41130","129225124"
"10-97",44.74027,-85.86815,"L38916","129225119"
"11-100",41.89388,-86.39148,"L29292","155637762"
"11-101",41.87915,-86.45537,"L32015","121206326"
"11-102",41.87138,-86.44842,"L28698","121206351"
"11-103",41.87415,-86.41509,"L31387","121206333"
"11-104",41.88443,-86.42704,"L23339","121206319"
"11-106",41.88415,-86.40037,"L25942","121206318"
"11-11",42.22276,-86.35676,"L30904","152274986"
"11-114",41.84851,-86.4449,"L29714","121206414"
"11-116",41.84721,-86.3812,"L28123","155638213"
"11-119",41.9163,-86.3704,NA,NA
"11-121",41.83471,-86.39954,"L25359","155638443"
"11-122",41.83721,-86.4187,"L24918","155638448"
"11-124.1",41.83221,-86.42176,"L25052","155638505"
"11-127",41.83832,-86.44231,"L29113","121206439"
"11-128",41.83443,-86.44759,"L31111","121206456"
"11-132",41.8211,-86.41315,"L25875","155638751"
"11-133",41.81655,-86.34598,"L23099","155638723"
"11-138",41.84304,-86.46259,"L27062","121206434"
"11-139",41.83749,-86.46009,"L25723","121206445"
"11-14",42.14443,-86.3162,"L25663","155636270"
"11-142",41.83749,-86.47426,"L26757","121206451"
"11-149",41.80977,-86.30916,"L23665","324a8481-e6f3-457a-9d0f-c4f3360bfd1d"
"11-154",41.79402,-86.43093,"L28891","121206513"
"11-155",41.79443,-86.4087,"L30186","155639117"
"11-158",41.76059,-86.3768,"L25493","123165454"
"11-160",41.79499,-86.47426,"L29036","121206519"
"11-164",41.75971,-86.53204,"L29713","121206601"
"11-170",41.76888,-86.59509,"L28700","121206581"
"11-175",41.95302,-86.22624,"L24480","155637352"
"11-176",42.19617,-86.24078,"L26410","155636097"
"11-177",41.89309,-86.2998,"L31714","155637710"
"11-178",42.10873,-86.25483,"L31968","155636422"
"11-179",42.09766,-86.39593,"L23493","155636508"
"11-180",42.20928,-86.31345,"L28110","155636064"
"11-181",42.09226,-86.36333,"L31905","155636520"
"11-182",42.19824,-86.37565,"L24487","155636131"
"11-183",42.20245,-86.37018,"L30964","155636099"
"11-184",41.79205,-86.5184,"L29490","121206527"
"11-185",41.88227,-86.38489,"L31843","155637839"
"11-186",41.80898,-86.34137,"L28109","155638859"
"11-187",41.8971,-86.32231,"L23581","155637708"
"11-188",41.9525,-86.25152,"L24486","155637365"
"11-189",41.76134,-86.79222,"L26399","121206676"
"11-190",41.76073,-86.78723,"L30465","121206679"
"11-2",42.21888,-86.28981,"L30765","155636018"
"11-20",42.08388,-86.24287,"L23034","155636516"
"11-3",42.20749,-86.26315,"L26207","155636047"
"11-33",42.06888,-86.23731,"L32023","155636589"
"11-34",42.0586,-86.24981,"L25800","155636646"
"11-36",42.06165,-86.28648,"L31406","155636626"
"11-4",42.21644,-86.23728,"L29583","155636013"
"11-42",42.01693,-86.28954,"L27509","155636938"
"11-48",41.9861,-86.22704,"L29430","155637106"
"11-54",42.01501,-86.54296,"L25491","121206262"
"11-56",42.00832,-86.54592,"L31696","121206263"
"11-57",42.00094,-86.54595,"L24148","121206266"
"11-58",41.97471,-86.22704,"L25896","155637211"
"11-59",41.97211,-86.23542,"L23668","155637231"
"11-60",41.97443,-86.25204,"L25794","155637235"
"11-61",41.9682,-86.24944,"L24294","155637269"
"11-62",41.97107,-86.26478,NA,NA
