subject_id,workflow_id,subject_set_id,Full Subject Set Name,filename_1,filename_2,url_1,url_2,Notes
58746621,17771,93238,SS1 - GROW Double - B First,Otsego_Bear_GROW_032.jpeg,Otsego_Bear_GROW_031.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_031.jpeg,"duplicate
"
59687937,17771,93838,SS2 - GROW Double - B First,Otsego_Bear_GROW_032.jpeg,Otsego_Bear_GROW_031.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_031.jpeg,"duplicate
"
58746614,17771,93238,SS1 - GROW Double - B First,Otsego_Bear_GROW_076.jpeg,Otsego_Bear_GROW_075.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_076.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_075.jpeg,"duplicate
"
59687935,17771,93838,SS2 - GROW Double - B First,Otsego_Bear_GROW_076.jpeg,Otsego_Bear_GROW_075.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_076.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_075.jpeg,"duplicate
"
58746615,17771,93238,SS1 - GROW Double - B First,Otsego_Bear_GROW_078.jpeg,Otsego_Bear_GROW_077.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_078.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_077.jpeg,"duplicate
"
59687936,17771,93838,SS2 - GROW Double - B First,Otsego_Bear_GROW_078.jpeg,Otsego_Bear_GROW_077.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_078.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_077.jpeg,"duplicate
"
58746613,17771,93238,SS1 - GROW Double - B First,Otsego_Bear_GROW_100.jpeg,Otsego_Bear_GROW_099.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_100.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_099.jpeg,"duplicate
"
59687934,17771,93838,SS2 - GROW Double - B First,Otsego_Bear_GROW_100.jpeg,Otsego_Bear_GROW_099.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_100.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_099.jpeg,"duplicate
"
58746617,17771,93238,SS1 - GROW Double - B First,Otsego_Bear_GROW_102.jpeg,Otsego_Bear_GROW_101.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_102.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_101.jpeg,"duplicate
"
59687933,17771,93838,SS2 - GROW Double - B First,Otsego_Bear_GROW_102.jpeg,Otsego_Bear_GROW_101.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_102.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_101.jpeg,"duplicate
"
