"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
58642857,"78-142","FISH BIG","StJoseph",2,6,215.9,266.7,241.3,3,"June",1983,NA,"June",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StJoseph_BigFish_GROW_32.jpeg",NA
58746040,"80-247","SHAFER","VanBuren",1,1,325.12,NA,325.12,30,"September",1987,1,"October",1987,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Shafer_GROW_019.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Shafer_GROW_018.jpeg"
58746087,"80-273","CEDAR BIG","VanBuren",1,1,281.94,NA,281.94,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_BigCedar_GROW_015.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_BigCedar_GROW_014.jpeg"
58746195,"75-529","NINETEENBEAR","Schoolcraft",2,4,185.42,264.16,224.79,26,"May",1966,25,"November",1966,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_NineteenBear_GROW_060.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_NineteenBear_GROW_059.jpeg"
58746195,"75-529","NINETEENBEAR","Schoolcraft",3,2,251.46,292.1,271.78,26,"May",1966,25,"November",1966,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_NineteenBear_GROW_060.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_NineteenBear_GROW_059.jpeg"
58746195,"75-529","NINETEENBEAR","Schoolcraft",4,3,386.08,411.48,397.764,26,"May",1966,25,"November",1966,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_NineteenBear_GROW_060.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_NineteenBear_GROW_059.jpeg"
58746198,"75-529","NINETEENBEAR","Schoolcraft",2,1,NA,NA,373.38,5,"September",1963,5,"September",1963,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_NineteenBear_GROW_044.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_NineteenBear_GROW_043.jpeg"
58746232,"75-298","ISLAND","Schoolcraft",1,5,195.58,228.6,213.36,15,"June",1992,19,"June",1992,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Island_GROW_020.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Island_GROW_019.jpeg"
58746251,"75-468","HERMAN","Schoolcraft",1,1,160.02,NA,160.02,12,"July",1978,13,"July",1978,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Herman_GROW_002.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Herman_GROW_001.jpeg"
58746281,"75-297","DODGE","Schoolcraft",1,7,213.36,248.92,236.22,19,"June",1985,20,"June",1985,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Dodge_GROW_042.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Dodge_GROW_041.jpeg"
