subject_id,orig_subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,url_front,url_back,
72069496,59962460,T9,[['8.2']],1,1,8.2,8.2,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_SELKIRK_GROW_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_SELKIRK_GROW_0010_2.jpeg,
72069499,59962462,T45,"[['11.7-13.0', '11.7-12.0']]",2,1,11.7-13.0,11.7-13.0,8th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALPENA_9THSTREETDAM_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALPENA_9THSTREETDAM_GROW_0002_2.jpeg,
72069504,59962490,T33,"[['10-11.5', '10.0-11.5']]",2,1,10-11.5,10.0-11.5,6th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALPENA_SEVENMILE_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALPENA_SEVENMILE_GROW_0003_2.jpeg,
72069527,59962585,T4,[['6.6']],1,1,6.6,6.6,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARAGA_PARENT_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARAGA_PARENT_GROW_0002_2.jpeg,
72069527,59962585,T10,[['9.5']],1,1,9.5,9.5,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARAGA_PARENT_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARAGA_PARENT_GROW_0002_2.jpeg,
72069528,59962591,T15,[['8.6']],1,1,8.6,8.6,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARAGA_PRICKETT_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARAGA_PRICKETT_GROW_0001_2.jpeg,
72069534,59962603,T3,"[['7.6', '---']]",2,1,7.6,7.6,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_ALGONQUIN_GROW_0006_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_ALGONQUIN_GROW_0006_2.jpeg,
72069534,59962603,T9,"[['8.2', '---']]",2,1,8.2,8.2,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_ALGONQUIN_GROW_0006_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_ALGONQUIN_GROW_0006_2.jpeg,
72069536,59962612,T2,"[['1', '2']]",2,1,1,1,First row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_BRISTOL_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_BRISTOL_GROW_0001_2.jpeg,
72069536,59962612,T3,"[['6.6', '7.0-8.3']]",2,1,6.6,6.6,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_BRISTOL_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_BRISTOL_GROW_0001_2.jpeg,
72069536,59962612,T8,[['2']],1,1,2,2,Second row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_BRISTOL_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_BRISTOL_GROW_0001_2.jpeg,
72069536,59962612,T9,[['7.0-8.3']],1,1,7.0-8.3,7.0-8.3,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_BRISTOL_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_BRISTOL_GROW_0001_2.jpeg,
