subject_id,new_key,lakename,county,url_front,url_back,
59963689,60-184,ROBARGE,MONTMORENCY,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/MONTMORENCY_ROBARGE_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/MONTMORENCY_ROBARGE_GROW_0001_2.jpeg,match by TRS 
61360528,41-615,SAND,MONTCALM,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/MONTCALM_SAND_GROW_0002.jpeg,NA,MDNRID L20356; also in Kent county
61362093,41-615,SAND,MONTCALM,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/MONTCALM_SAND_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/MONTCALM_SAND_GROW_0001_2.jpeg,MDNRID L20356; also in Kent county
58746338,73-78,SANDH,SAGINAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Saginaw_SandH_GROW_010.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Saginaw_SandH_GROW_009.jpeg,also known as Haithco Lake
59688072,75-946,SECTIONSEVEN,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/Luce_Section7_FISHs_001.jpg,NA,matched by TRS and NAME 
58746175,NA,SENEY,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Seney_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Seney_GROW_023.jpeg,too many lakes in the Seney refuge
58746177,NA,SENEY,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Seney_GROW_018.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Seney_GROW_017.jpeg,too many lakes in the Seney refuge
58746178,NA,SENEY,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Seney_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Seney_GROW_019.jpeg,too many lakes in the Seney refuge
58746179,NA,SENEY,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Seney_GROW_014.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Seney_GROW_013.jpeg,too many lakes in the Seney refuge
58746184,NA,SENEY,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Seney_GROW_022.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Seney_GROW_021.jpeg,too many lakes in the Seney refuge
