subject_id,metadata,filename,T6,T8,T9,T10,T12,county,lakename,TR,matching,new key,Notes
58642964,"{""id"":""Gladwin_Secord_LIMN_001.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/LIMN/single/Gladwin_Secord_LIMN_001.jpg""}",Gladwin_Secord_LIMN_001.jpg,,19N,1E,15,J. P. Baker,Gladwin,SECORD,T19NR1E,SECORD  Gladwin T19NR1E,26-23,
58642968,"{""id"":""Gladwin_Secord_LIMN_008.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/LIMN/single/Gladwin_Secord_LIMN_008.jpg""}",Gladwin_Secord_LIMN_008.jpg,,19N,01E,15,C. Jeffery,Gladwin,SECORD,T19NR1E,SECORD  Gladwin T19NR1E,26-23,
58754375,"{""id"":""Gladwin_Secord_GROW_011.jpg_Gladwin_Secord_GROW_012.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Secord_GROW_011.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Secord_GROW_012.jpg""}",Gladwin_Secord_GROW_011.jpg_Gladwin_Secord_GROW_012.jpg,,19N,1E,10,"Lake, C. Jeffery",Gladwin,SECORD,T19NR1E,SECORD  Gladwin T19NR1E,26-23,
58754376,"{""id"":""Gladwin_Secord_GROW_013.jpg_Gladwin_Secord_GROW_014.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Secord_GROW_013.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Secord_GROW_014.jpg""}",Gladwin_Secord_GROW_013.jpg_Gladwin_Secord_GROW_014.jpg,"July 12, 17-20, 1967","19N, 20N",1E,"10, 15, 35","Lake, Burcham",Gladwin,SECORD,T19NR1E,SECORD  Gladwin T19NR1E,26-23,
58754377,"{""id"":""Gladwin_Secord_GROW_152.jpg_Gladwin_Secord_GROW_153.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Secord_GROW_152.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Secord_GROW_153.jpg""}",Gladwin_Secord_GROW_152.jpg_Gladwin_Secord_GROW_153.jpg,Date Prepared: 02/26/93,19N,1E,"15, 10","ESS, MDP, SPS Gerald Casey",Gladwin,SECORD,T19NR1E,SECORD  Gladwin T19NR1E,26-23,
58754378,"{""id"":""Gladwin_Secord_GROW_158.jpg_Gladwin_Secord_GROW_159.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Secord_GROW_158.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Secord_GROW_159.jpg""}",Gladwin_Secord_GROW_158.jpg_Gladwin_Secord_GROW_159.jpg,,19N,1E,"15,10 10","MDP, ESS, CAJ, SPS, GLC Edward Smiddy, Gerald Casey",Gladwin,SECORD,T19NR1E,SECORD  Gladwin T19NR1E,26-23,
58754379,"{""id"":""Gladwin_Secord_GROW_160.jpg_Gladwin_Secord_GROW_161.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Secord_GROW_160.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Secord_GROW_161.jpg""}",Gladwin_Secord_GROW_160.jpg_Gladwin_Secord_GROW_161.jpg,05/04-07/92,19N,1E,"15, 10 D-7, D-7, D-7 Grayling","MDP, ESS, CAJ, SPS, GLC, Edward Smiddy, & Gerald Casey",Gladwin,SECORD,T19NR1E,SECORD  Gladwin T19NR1E,26-23,
58754381,"{""id"":""Gladwin_Six Mile_GROW_003.jpg_Gladwin_Six Mile_GROW_004.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Six Mile_GROW_003.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Six Mile_GROW_004.jpg""}",Gladwin_Six Mile_GROW_003.jpg_Gladwin_Six Mile_GROW_004.jpg,,42N,29W,22,Nurenberg,Gladwin,SIXMILE,T42NR29W,SIXMILE  Dickinson T42NR29W,22-188,
58687397,"{""id"":""Gladwin_Slaughter-House_SUMM_003.jpg_Gladwin_Slaughter-House_SUMM_004.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Slaughter-House_SUMM_003.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Slaughter-House_SUMM_004.jpg""}",Gladwin_Slaughter-House_SUMM_003.jpg_Gladwin_Slaughter-House_SUMM_004.jpg,,18N,2W,12,Jack R. Hammond,Gladwin,SLAUGHTER-HOUSE,T18NR2W,SLAUGHTERHOUSE  Gladwin T18NR2W,26-5,
58687071,"{""id"":""Gladwin_Streaked_LIMN_023.jpg_Gladwin_Streaked_LIMN_024.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/LIMN/double/a_first/Gladwin_Streaked_LIMN_023.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/LIMN/double/a_first/Gladwin_Streaked_LIMN_024.jpg""}",Gladwin_Streaked_LIMN_023.jpg_Gladwin_Streaked_LIMN_024.jpg,,20N,02W,16,R. Shepherd,Gladwin,STREAKED,T20NR2W,STREAKED  Gladwin T20NR2W,26-35,
