subject_id,new_key,lakename,county,url_front,url_back,
58755307,81-7,JOSLIN,WASHTENAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Washtenaw_Joslin_GROW_20200225125514132_0046.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Washtenaw_Joslin_GROW_20200225125514132_0047.jpeg,
58755308,81-7,JOSLIN,WASHTENAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Washtenaw_Joslin_GROW_20200225125514132_0014.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Washtenaw_Joslin_GROW_20200225125514132_0015.jpeg,
58755309,81-7,JOSLIN,WASHTENAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Washtenaw_Joslin_GROW_20200225125514132_0074.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Washtenaw_Joslin_GROW_20200225125514132_0075.jpeg,
58755310,81-7,JOSLIN,WASHTENAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Washtenaw_Joslin_GROW_20200225125514132_0055.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Washtenaw_Joslin_GROW_20200225125514132_0056.jpeg,
58755311,81-7,JOSLIN,WASHTENAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Washtenaw_Joslin_GROW_20200225125514132_0057.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Washtenaw_Joslin_GROW_20200225125514132_0058.jpeg,
58755312,81-7,JOSLIN,WASHTENAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Washtenaw_Joslin_GROW_20200225125514132_0072.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Washtenaw_Joslin_GROW_20200225125514132_0073.jpeg,
58642820,65-8,LAKEGEORGEBIG,OGEMAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/OGEMAW_LAKEGEORGE_GROW_0001.jpeg,NA,
59964471,65-8,LAKEGEORGEBIG,OGEMAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_LAKEGEORGE_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_LAKEGEORGE_GROW_0003_2.jpeg,
59964474,65-8,LAKEGEORGEBIG,OGEMAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_LAKEGEORGE_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_LAKEGEORGE_GROW_0004_2.jpeg,
59964477,65-151,LAKEGEORGE,OGEMAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_LAKEGEORGE_GROW_0009_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_LAKEGEORGE_GROW_0009_2.jpeg,
59964479,65-8,LAKEGEORGEBIG,OGEMAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_LAKEGEORGE_GROW_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_LAKEGEORGE_GROW_0010_2.jpeg,
58754925,38-25,PORTAGE,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Jackson_Lime_GROW_016.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Jackson_Lime_GROW_017.jpg,
58754927,38-25,PORTAGE,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Jackson_Lime_GROW_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Jackson_Lime_GROW_019.jpg,
58754928,38-425,LIME,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Jackson_Lime_GROW_082.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Jackson_Lime_GROW_083.jpg,
58754929,38-425,LIME,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Jackson_Lime_GROW_070.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Jackson_Lime_GROW_071.jpg,
