subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back,comments
59966179,"[['S38-11', 'S38', 'S38-11', 'S39-11'], ['', '-', '', ''], ['', '11', '', '']]",1.333333333,S38-11 - 11,S38-11,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_CRAIG_FISHc_0023_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_CRAIG_FISHc_0023_2.jpeg,
59966192,"[['', '', 'FP'], ['FP4178', 'FP4178', '4178']]",1.5,FP FP4178,FP4178,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_GOODRICH_FISHc_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_GOODRICH_FISHc_0004_2.jpeg,
59966200,"[['', 'FP', ''], ['FP4183', '4183', 'FP4183']]",1.5,FP FP4183,FP4183,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_GOODRICH_FISHc_0009_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_GOODRICH_FISHc_0009_2.jpeg,
59966205,"[['', 'FP', ''], ['FP4160', '4160', 'FP4160']]",1.5,FP FP4160,FP4160,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_LONGT7SR6W_FISHc_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_LONGT7SR6W_FISHc_0004_2.jpeg,
59966207,"[['', 'FP', ''], ['FP4163', '4163', 'FP4163']]",1.5,FP FP4163,FP4163,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_LONGT7SR6W_FISHc_0006_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_LONGT7SR6W_FISHc_0006_2.jpeg,
59966213,"[['FP', '', ''], ['4169', 'FP4169', 'FP4169']]",1.5,FP FP4169,FP4169,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_LONGT7SR6W_FISHc_0012_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_LONGT7SR6W_FISHc_0012_2.jpeg,
59966215,"[['', '', 'FP'], ['FP4171', 'FP4171', '4171']]",1.5,FP FP4171,FP4171,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_LONGT7SR6W_FISHc_0014_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_LONGT7SR6W_FISHc_0014_2.jpeg,
59966218,"[['', '', 'FP'], ['FP4172', 'FP4172', '4172']]",1.5,FP FP4172,FP4172,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_LONGT7SR6W_FISHc_0015_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_LONGT7SR6W_FISHc_0015_2.jpeg,
59966238,"[['F.P.4123', 'F.', 'F.P.'], ['', 'P.', ''], ['', '4123', '4123']]",1.333333333,F.P.4123 P. 4123,FP4123,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_MESSENGER_FISHc_0009_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_MESSENGER_FISHc_0009_2.jpeg,
59966290,"[['S', '', ''], ['38-23', 'S38-23', 'S38-23']]",1.5,S S38-23,S38-23,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_RANDALL_FISHc_0006_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_RANDALL_FISHc_0006_2.jpeg,
