subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back,comments,
59964587,"[['7:15', '7:15', '7:15'], ['P.M.', 'P.M.-9:15', 'PM-9:15'], ['-', '', ''], ['9:15', '', ''], ['A.M.', 'A.M.', 'AM']]",1.6,7:15 P.M. - 9:15 A.M.,7:15 P.M. - 9:15 A.M.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALLEGAN_GREEN_FISHc_0012_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALLEGAN_GREEN_FISHc_0012_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALLEGAN_GREEN_FISHc_0012_2.jpeg,
59964600,"[['6:50', '6:50PM-9:40AM', '6:50'], ['pm', '', 'P.M.'], ['-', '', '-'], ['9:40', '', '9:40'], ['am', '', 'A.M.']]",1.6,6:50 pm - 9:40 am,6:50 pm - 9:40 am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALLEGAN_GREEN_FISHc_0025_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALLEGAN_GREEN_FISHc_0025_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALLEGAN_GREEN_FISHc_0025_2.jpeg,
59964632,"[['7:20', '7:20', '7:20PM-9:15AM'], ['p.m.', 'pm', ''], ['-', '-', ''], ['9:15', '9:15', ''], ['a.m.', 'am', '']]",1.6,7:20 p.m. - 9:15 a.m.,7:20 p.m. - 9:15 a.m.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALLEGAN_SCOTTLOWER_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALLEGAN_SCOTTLOWER_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALLEGAN_SCOTTLOWER_FISHc_0001_2.jpeg,
59964749,"[['10:00', '10:00', '10:00'], ['a.m.-11:00', 'a.m.', 'AM-11:00'], ['', '-', 'AM'], ['', '11:00', ''], ['a.m.', 'a.m.', '']]",1.6,10:00 a.m.-11:00 - 11:00 a.m.,10:00 a.m.-11:00 a.m.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALPENA_LONG_FISHc_0027_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALPENA_LONG_FISHc_0027_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALPENA_LONG_FISHc_0027_2.jpeg,
59964753,"[['11:30', '11:30', '11:30AM-10:00AM'], ['am', 'a.m.', ''], ['-', '-', ''], ['10:00', '10:00', ''], ['am', 'a.m.', '']]",1.6,11:30 am - 10:00 am,11:30 am - 10:00 am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALPENA_LONG_FISHc_0028_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALPENA_LONG_FISHc_0028_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALPENA_LONG_FISHc_0028_2.jpeg,
59964859,"[['1:30', '1.30pm', '1:30'], ['am', '', 'p.m.'], ['-', '-', '-'], ['1:00', '10am', '1.'], ['pm', '', 'p.m.']]",1.6,1:30 am - 1:00 pm,1:30 am - 1:00 pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_CLAM_FISHc_0012_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_CLAM_FISHc_0012_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_CLAM_FISHc_0012_2.jpeg,
59964860,"[['3', '3', '3'], ['p.m.', 'P.', 'P.M.'], ['-', '', '-'], ['9:15', 'm-9:15', '9.15'], ['a.m.', 'A.M', 'A.M.']]",1.6,3 p.m. - 9:15 a.m.,3 p.m. - 9:15 a.m.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_CLAM_FISHc_0017_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_CLAM_FISHc_0017_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_CLAM_FISHc_0017_2.jpeg,
59964868,"[['4', '4:00', '4'], ['P.M.-', 'pm', 'PM'], ['', '-', '-'], ['10', '10:00', '10'], ['A.M.', 'am', 'AM']]",1.6,4 P.M.- - 10 A.M.,4 P.M.- 10 A.M.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_CLAM_FISHc_0019_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_CLAM_FISHc_0019_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_CLAM_FISHc_0019_2.jpeg,
59964901,"[['4:00', '4:00', ''], ['', 'PM', ''], ['', 'to', ''], ['PM-4:00', '4:00', '4:00'], ['PM', 'PM', 'pm']]",1.6,4:00 PM to 4:00 PM,4:00 PM - 4:00 PM,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_ELK_FISHc_0040_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_ELK_FISHc_0040_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_ELK_FISHc_0040_2.jpeg,
59964993,"[['5:45', '5:45PM-9:30AM', '5:45'], ['pm', '', 'PM'], ['-', '', '-'], ['9:30', '', '9:30'], ['am', '', 'AM']]",1.6,5:45 pm - 9:30 am,5:45 pm - 9:30 am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SIXMILE_FISHc_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SIXMILE_FISHc_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SIXMILE_FISHc_0003_2.jpeg,
