subject_id,date,review,date2,review2,date3,review3,date4,review4,column_name,date,Comment,front,back
58748781,June,1,August,1,NA,NA,NA,NA,begin_date_month,August,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_096_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_096_FISHc_0002.jpg
58748781,June,1,August,1,NA,NA,NA,NA,end_date_month,August,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_096_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_096_FISHc_0002.jpg
58748808,September,1,August,1,NA,NA,NA,NA,begin_date_month,August,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_121_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_121_FISHc_0002.jpg
58748952,January,1,July,1,NA,NA,NA,NA,begin_date_month,July,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Douglas_FISHc_099.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Douglas_FISHc_100.jpg
58748984,1925,1,1959,1,NA,NA,NA,NA,begin_date_year,1959,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Douglas_FISHc_183.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Douglas_FISHc_184.jpg
58749005,August,1,July,1,NA,NA,NA,NA,end_date_month,July,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Long_FISHc_037.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Long_FISHc_038.jpg
58749128,1879,1,1979,1,NA,NA,NA,NA,end_date_year,1979,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Twins_FISHc_037.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Twins_FISHc_038.jpg
58749265,2,1,21,1,NA,NA,NA,NA,begin_date_day,21,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Monacle_FISHc_060.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Monacle_FISHc_061.jpg
58749288,5,1,3,1,NA,NA,NA,NA,end_date_day,3,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Piatt_FISHc_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Piatt_FISHc_012.jpg
58749288,1956,1,1955,1,NA,NA,NA,NA,end_date_year,1955,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Piatt_FISHc_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Piatt_FISHc_012.jpg
58749318,14,1,11,1,NA,NA,NA,NA,begin_date_day,14,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_TroutBig_FISHc_035.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_TroutBig_FISHc_036.jpg
58749446,12,1,11,1,NA,NA,NA,NA,begin_date_day,12,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Budd_FISHc_084.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Budd_FISHc_085.jpg
58749565,1969,1,1869,1,NA,NA,NA,NA,begin_date_year,1969,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Crooked_FISHc_161.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Crooked_FISHc_162.jpg
58749614,1986,1,1968,1,NA,NA,NA,NA,begin_date_year,1968,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_FiveLakes_FISHc_084.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_FiveLakes_FISHc_085.jpg
58749650,25,1,24,1,NA,NA,NA,NA,begin_date_day,24,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_135.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_136.jpg
58749681,12,1,1,1,NA,NA,NA,NA,begin_date_day,1,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_LittleLong_FISHc_081.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_LittleLong_FISHc_082.jpg
58749714,1950,1,1930,1,NA,NA,NA,NA,begin_date_year,1950,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Long20N_4W_S22-26-27_FISHc_065.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Long20N_4W_S22-26-27_FISHc_066.jpg
58749732,1969,1,1949,1,NA,NA,NA,NA,end_date_year,1969,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Pike_FISHc_021.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Pike_FISHc_022.jpg
58749777,1959,1,1958,1,NA,NA,NA,NA,begin_date_year,1958,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Windover_FISHc_086.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Windover_FISHc_087.jpg
58749777,1959,1,1958,1,NA,NA,NA,NA,end_date_year,1958,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Windover_FISHc_086.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Windover_FISHc_087.jpg
58749902,20,1,29,1,NA,NA,NA,NA,begin_date_day,29,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Genesse_Lobdell_25-11_1946_FISHc_004_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Genesse_Lobdell_25-11_1946_FISHc_004_02.jpg
58749922,3,1,29,1,NA,NA,NA,NA,begin_date_day,29,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Elk_FISHc_026.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Elk_FISHc_027.jpg
58750001,20,1,30,1,NA,NA,NA,NA,end_date_day,30,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Ross_FISHc_035.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Ross_FISHc_036.jpg
58750013,1970,1,1910,1,NA,NA,NA,NA,begin_date_year,1970,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Ross_FISHc_063.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Ross_FISHc_064.jpg
58750014,1,1,12,1,NA,NA,NA,NA,begin_date_day,1,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Ross_FISHc_065.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Ross_FISHc_066.jpg
58750036,2,1,1,1,NA,NA,NA,NA,end_date_day,2,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Ross_FISHc_107.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Ross_FISHc_108.jpg
58750039,February,1,July,1,NA,NA,NA,NA,end_date_month,July,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Ross_FISHc_115.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Ross_FISHc_116.jpg
58750049,12,1,13,1,NA,NA,NA,NA,end_date_day,13,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Secord_FISHc_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Secord_FISHc_028.jpg
58750183,1965,1,1963,1,NA,NA,NA,NA,begin_date_year,1965,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Wiggins_FISHc_034.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Wiggins_FISHc_035.jpg
58750297,July,1,April,1,NA,NA,NA,NA,begin_date_month,July,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_BeatonsLittle_FISHc_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_BeatonsLittle_FISHc_008.jpg
58750297,11,1,10,1,NA,NA,NA,NA,begin_date_day,10,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_BeatonsLittle_FISHc_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_BeatonsLittle_FISHc_008.jpg
58750323,15,1,14,1,NA,NA,NA,NA,begin_date_day,14,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cisco_FISHc_035.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cisco_FISHc_036.jpg
58750330,20,1,23,1,NA,NA,NA,NA,begin_date_day,23,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cisco_FISHc_043.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cisco_FISHc_044.jpg
58750333,27,1,23,1,NA,NA,NA,NA,begin_date_day,27,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cisco_FISHc_049.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cisco_FISHc_050.jpg
58750351,25,1,26,1,NA,NA,NA,NA,begin_date_day,26,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cloverleaf_FISHc_052.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cloverleaf_FISHc_053.jpg
58750368,2,1,22,1,NA,NA,NA,NA,begin_date_day,22,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Crooked_FISHc_044.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Crooked_FISHc_045.jpg
58750372,24,1,25,1,NA,NA,NA,NA,begin_date_day,24,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cyrus_FISHc_016.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cyrus_FISHc_017.jpg
58750391,1957,1,1956,1,NA,NA,NA,NA,begin_date_year,1956,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Duck_FISHc_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Duck_FISHc_047.jpg
58750399,1905,1,1956,1,NA,NA,NA,NA,begin_date_year,1956,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Duck_FISHc_054.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Duck_FISHc_055.jpg
58750421,24,1,25,1,NA,NA,NA,NA,begin_date_day,24,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Eel_FISHc_032.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Eel_FISHc_033.jpg
58750422,27,1,28,1,NA,NA,NA,NA,begin_date_day,27,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Eel_FISHc_038.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Eel_FISHc_039.jpg
58750423,27,1,28,1,NA,NA,NA,NA,begin_date_day,27,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Eel_FISHc_042.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Eel_FISHc_043.jpg
58750428,28,1,25,1,NA,NA,NA,NA,begin_date_day,27,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Eel_FISHc_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Eel_FISHc_047.jpg
58750448,30,1,29,1,NA,NA,NA,NA,begin_date_day,29,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Gogebic_FISHc_068.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Gogebic_FISHc_069.jpg
58750457,September,1,August,1,NA,NA,NA,NA,begin_date_month,August,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Gogebic_FISHc_086.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Gogebic_FISHc_087.jpg
58750457,8,1,9,1,NA,NA,NA,NA,begin_date_day,3,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Gogebic_FISHc_086.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Gogebic_FISHc_087.jpg
58750599,24,1,23,1,NA,NA,NA,NA,begin_date_day,23,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Hilltop_FISHc_033.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Hilltop_FISHc_034.jpg
58750623,15,1,14,1,NA,NA,NA,NA,begin_date_day,14,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Imp_FISHc_062.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Imp_FISHc_063.jpg
58750624,14,1,15,1,NA,NA,NA,NA,begin_date_day,14,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Imp_FISHc_064.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Imp_FISHc_065.jpg
58750642,12,1,18,1,NA,NA,NA,NA,begin_date_day,12,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Imp_FISHc_100.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Imp_FISHc_101.jpg
58750701,24,1,21,1,NA,NA,NA,NA,begin_date_day,21,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Lindsley_FISHc_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Lindsley_FISHc_016.jpg
58750707,18,1,19,1,NA,NA,NA,NA,begin_date_day,18,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Lindsley_FISHc_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Lindsley_FISHc_028.jpg
58750708,19,1,20,1,NA,NA,NA,NA,begin_date_day,19,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Lindsley_FISHc_029.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Lindsley_FISHc_030.jpg
58750725,15,1,10,1,NA,NA,NA,NA,begin_date_day,10,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_072.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_073.jpg
58750741,May,1,March,1,NA,NA,NA,NA,begin_date_month,May,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_102.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_103.jpg
58750741,15,1,17,1,NA,NA,NA,NA,begin_date_day,15,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_102.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_103.jpg
58750746,23,1,24,1,NA,NA,NA,NA,begin_date_day,23,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_114.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_115.jpg
58750755,1936,1,1938,1,NA,NA,NA,NA,begin_date_year,1938,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_136.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_137.jpg
58750755,1936,1,1938,1,NA,NA,NA,NA,end_date_year,1938,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_136.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_137.jpg
58750759,1938,1,1936,1,NA,NA,NA,NA,begin_date_year,1938,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_146.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_147.jpg
