subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back
58752544,"[[""5'"", '5', ""5'-12'."", ""5-12'""], ['', 'ft', '', ''], ['-', '-', '', ''], [""12'"", '12', '', ''], ['', 'ft', '', '']]",1.2,5' ft - 12' ft,5-12 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Portage_FISHc_144.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Portage_FISHc_145.jpg
58752574,"[['', ""6'"", '6', '6’'], ['', '', 'ft', ''], ['', '-', '-', '-'], [""6'-16'"", ""16'"", '16', '16’'], ['', '', 'ft', '']]",1.4,6' ft - 6'-16' ft,6-16 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Sweezy_FISHc_032.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Sweezy_FISHc_033.jpg
58752597,"[[""10-19'"", ""10'"", ""10'-19'"", '10'], ['', '', '', 'ft'], ['', '-', '', '-'], ['', ""19'"", '', '19'], ['', '', '', 'ft']]",1.2,10-19' ft - 19' ft,10-19 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Vineyard_FISHc_087.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Vineyard_FISHc_088.jpg
58752698,"[['3-15', '3-15', '74'], ['', '', 'degree'], ['ft.', 'ft.', 'F.'], ['', '', '-'], ['', '', '70'], ['', '', 'degree'], ['', '', 'F']]",1.285714286,3-15 degree ft. - 70 degree F,3-15 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kalamazoo_Lost_FISHc_012.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kalamazoo_Lost_FISHc_013.jpg
58752788,"[['1’-3’', '1', ""1'-3'"", ""1-3'""], ['', 'ft', '', ''], ['', '-', '', ''], ['', '3', '', ''], ['', 'ft', '', '']]",1,1’-3’ ft - 3 ft,1-3 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kalkaska_KalkaskaMillPond_FISHc_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kalkaska_KalkaskaMillPond_FISHc_010.jpg
58752789,"[[""3'"", ""3-35'"", ""3'"", ""3'-35'""], ['-', '', '', ''], [""35'"", '', ""-35'"", '']]",1.333333333,3' - 35',3-35 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kalkaska_Log_FISHc_045.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kalkaska_Log_FISHc_046.jpg
58752936,"[['1', ""1-6'"", ""1-5'"", ""1-5'""], ['-', '', '', ''], [""5'"", '', '', '']]",1.333333333,1-5' - 5',1-5 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Murray_FISHc_040.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Murray_FISHc_041.jpg
58752961,"[['1-10’', ""1-10'"", '1', ""1-10'""], ['', '', '-', ''], ['', '', ""10'"", '']]",1.333333333,1-10' - 10',1-10 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_PineIslandBig_FISHc_049.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_PineIslandBig_FISHc_050.jpg
58753002,"[['5-22', ""5-22'"", '5', '5-22ft'], ['', '', '-', ''], ['', '', '22', ''], ['ft', '', 'ft.', '']]",1,5-22 - 22 ft,5-22 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Sand10N_10W_S5-32_FISHc_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Sand10N_10W_S5-32_FISHc_032.jpg
58753007,"[['3', ""3-18'"", '3-18', ""3-18'""], ['-', '', '', ''], ['18', '', '', ''], ['ft', '', 'feet', '']]",1.25,3-18' - 18 ft,3-18 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Scally_FISHc_028.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Scally_FISHc_029.jpg
58753014,"[[""3'-5'"", ""3'"", ""3-5'"", ""3'-5'""], ['', '-', '', ''], ['', ""5'"", '', '']]",1.333333333,3'-5' - 5',3-5 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Scram_FISHc_029.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Scram_FISHc_030.jpg
58753058,"[[""3'-5'"", ""3'-5'"", ""3'-5'"", '3'], ['', '', '', 'ft'], ['', '', '', '-'], ['', '', '', '5'], ['', '', '', 'ft']]",1.4,3'-5' ft - 5 ft,3-5 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Bailey_FISHc_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Bailey_FISHc_012.jpg
