"subject_id","new_key","lakename","county","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","url_front","url_back"
58751585,"35-205","COOKEIMPOUNDMENT","IOSCO","10","September","1956","13","September","1956","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iosco_CookeImpoundment_FISHc_007.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iosco_CookeImpoundment_FISHc_008.jpg"
58751587,"35-205","COOKEIMPOUNDMENT","IOSCO","12","September","1956","13","September","1956","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iosco_CookeImpoundment_FISHc_009.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iosco_CookeImpoundment_FISHc_010.jpg"
58751589,NA,"COOKEIMPOUNDMENT","IOSCO","12","September","1956","13","September","1956","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iosco_CookeImpoundment_FISHc_011.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iosco_CookeImpoundment_FISHc_012.jpg"
59105904,"75-522","COOKSON","SCHOOLCRAFT","29","July","1957","30","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_100.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_099.jpeg"
59105905,"75-522","COOKSON","SCHOOLCRAFT","29","July","1957","30","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_104.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_103.jpeg"
59105906,"75-522","COOKSON","SCHOOLCRAFT","30","July","1957","31","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_098.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_097.jpeg"
59105907,"75-522","COOKSON","SCHOOLCRAFT","30","July","1957","31","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_102.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_101.jpeg"
59105908,"75-522","COOKSON","SCHOOLCRAFT","31","July","1957","1","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_096.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_095.jpeg"
59105909,"75-522","COOKSON","SCHOOLCRAFT","29","July","1957","30","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_094.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_093.jpeg"
59105910,"75-522","COOKSON","SCHOOLCRAFT","30","July","1957","31","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_088.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_087.jpeg"
59105911,"75-522","COOKSON","SCHOOLCRAFT","30","July","1957","31","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_092.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_091.jpeg"
59105912,"75-522","COOKSON","SCHOOLCRAFT","29","July","1957","30","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_090.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_089.jpeg"
59105913,"75-522","COOKSON","SCHOOLCRAFT","31","July","1957","1","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_086.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_085.jpeg"
59105914,"75-522","COOKSON","SCHOOLCRAFT","1","August","1957","2","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_084.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_083.jpeg"
59105915,"75-522","COOKSON","SCHOOLCRAFT","29","July","1957","31","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_082.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_081.jpeg"
59105916,"75-522","COOKSON","SCHOOLCRAFT","30","July","1957","31","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_080.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_079.jpeg"
59105917,"75-522","COOKSON","SCHOOLCRAFT","1","August","1957","2","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_076.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_075.jpeg"
59105918,"75-522","COOKSON","SCHOOLCRAFT","31","July","1957","1","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_078.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_077.jpeg"
59105919,"75-522","COOKSON","SCHOOLCRAFT","29","July","1957","30","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_074.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_073.jpeg"
59105920,"75-522","COOKSON","SCHOOLCRAFT","30","July","1957","31","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_072.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_071.jpeg"
